ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4959.4 at 2013-07-19T16:41:05. Report at Friday, July 19, 2013. Processed Saturday at 2013-07-20T01:00:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,.09,.085,TDO,3D Oil,.087,+.2,1025,.087,.09,-,,-,-,-,-3.61,-,,
.045,.014,-,-,DDD,3D Res,-,-,-,.02,.028,-,,-,-,-,-.10,-,,
.14,.021,.035,.035,ARH,A'asian Resources,.035,-,60,.033,.034,-,,-,-,-,-2.33,-,,
.30,.125,.15,.15,AYC,A1 Gold,.15,-1,32,.14,.145,-,,-,-,-,-.47,-,,
.065,.021,.036,.031,ABU,ABM Res,.034,-.2,72299,.034,.035,-,,-,-,-,-.43,-,,
.025,.007,.01,.01,AJC,Acacia Coal,.01,-,2000,.009,.01,-,,-,-,-,-.42,-,,
.165,.045,.071,.053,ACB,A-Cap Res,.071,+2,2954,.071,.085,-,,-,-,-,-1.08,-,,
.335,.15,-,-,ACS,Accent Res,.19,-,-,.19,.25,-,,-,-,-,-.86,-,,
.022,.010,-,-,AIV,ActiveX,.02,-,-,.016,.019,-,,-,-,-,-.48,-,,
.021,.002,-,-,ADD,Adavale Resources,-,-,-,.003,.004,-,,-,-,-,-1.58,-,,
.25,.035,.086,.078,ADN,Adelaide Res,.078,-.5,1413,.078,.08,-,,-,-,-,-3.84,-,,
.60,.335,.39,.385,ABY,Aditya Birla,.385,-,1111,.38,.385,5.00,,-,1.63,12.99,-2.66,-,,
.05,.018,-,-,ADY,Admiralty Res,.02,-,-,.02,.021,-,,-,-,-,-2.52,-,,
.007,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.30,-,,
.04,.012,.016,.016,ADX,ADX Energy,.016,-,351,.016,.018,-,,-,-,-,-3.10,-,,
.335,.06,-,-,AQR,AEON Metals,.195,-,-,.20,.21,-,,-,-,-,-.13,-,,
.205,.063,.089,.089,AFR,African Energy Res cdi,.089,+.2,464,.088,.096,-,,-,-,-,-3.36,-,,
.215,.045,.051,.051,AGR,Aguia Res,.051,+.1,556,.048,.051,-,,-,-,-,-11.68,-,,
6.860,1.94,2.57,2.43,AQG,Alacer Gold cdi,2.52,-8,9046,2.51,2.54,-,,-,-,-,-130.01,-,,
.335,.039,.048,.046,AUQ,Alara Res,.048,+.1,800,.042,.048,-,,-,-,-,-2.58,-,,
.16,.028,-,-,ALY,Alchemy Resources,.039,-,-,.041,.045,-,,-,-,-,-.39,-,,
.017,.004,.006,.005,AWD,Aleator Energy,.005,-,75488,.005,.006,-,,-,-,-,-.32,-,,
.005,.001,-,-,AWDO,  opt jan15,.002,-,-,.001,.002,-,,-,-,-,-,-,,
.26,.15,-,-,AQI,Alicanto Min,-,-,-,.10,.15,-,,-,-,-,-1.50,-,,
1.19,.245,.455,.44,ALK,Alkane Res,.45,+.5,2881,.445,.45,-,,-,-,-,19.00,2.4,,
.081,.012,-,-,AHQ,Allegiance Coal,.015,-,-,.015,.017,-,,-,-,-,-.29,-,,
.02,.001,-,-,AHQO,  opt mar14,-,-,-,-,.001,-,,-,-,-,-,-,,
.355,.093,.13,.125,AGS,Alliance Res,.125,+.5,2757,.125,.13,-,,-,-,-,-1.25,-,,
.125,.025,.032,.03,AGE,Alligator Energy,.03,-.1,3395,.03,.042,-,,-,-,-,-.64,-,,
.022,.003,.006,.006,AYR,Alloy Res,.006,+.1,2924,.005,.006,-,,-,-,-,-.34,-,,
.05,.005,-,-,AYM,Altuis Mining,-,-,-,.009,.014,-,,-,.04,-,-1.04,-,,
.33,.115,.14,.14,AOH,Altona Min,.14,+.5,3485,.135,.14,-,,-,-,-,.90,15.6,,
.21,.076,.13,.13,AJM,Altura Min,.13,-,300,.13,.135,-,,-,-,-,-.72,-,,
1.405,.63,1.062,1.015,AWC,Alumina,1.02,-3,105249,1.02,1.025,-,,-,.93,-,-2.41,-,,
.275,.075,.17,.155,AQO,Ambassador Oil & Gas,.17,-,809,.155,.17,-,,-,-,-,-4.44,-,,
.05,.006,-,-,AQOO,  opt oct13,.012,-,-,.012,.02,-,,-,-,-,-,-,,
1.73,.73,-,-,AXZ,Amex Res,1.03,-,-,1.03,1.05,-,,-,-,-,-4.67,-,,
.79,.105,.125,.115,AMX,Ampella Min,.125,+.5,13209,.12,.125,-,,-,-,-,-16.08,-,,
.09,.032,-,-,AEK,Anatolia Energy,.09,-,-,.06,.085,-,,-,-,-,-1.15,-,,
.002,.002,-,-,AEKO,  opt jun17,-,-,-,.001,-,-,,-,-,-,-,-,,
.19,.12,-,-,AHR,Anchor Res,-,-,-,.051,.18,-,,-,-,-,-2.31,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,-,-,-,-,-,2.11,,2.67,-,-,5.64,-,,
.012,.003,.004,.004,AAR,Anglo Aust Res,.004,-,3500,.004,.005,-,,-,-,-,-1.15,-,,
7.06,2.63,2.81,2.75,AGG,Anglogold Ashanti cdi,2.81,+4,19,2.79,3.20,4.69,,44.15,14.37,1.67,207.05,1.4,,
.08,.02,.027,.027,AWV,Anova Metals,.027,-.3,555,.022,.026,-,,-,-,-,-10.35,-,,
.60,.27,-,-,AZZ,Antares Energy,.465,-,-,.475,.44,-,,-,-,-,-3.10,-,,
.255,.035,.041,.04,AZY,Antipa Min,.041,-,2677,.04,.041,-,,-,-,-,-1.44,-,,
.155,.01,-,-,AZYOA,  opt dec14,.013,-,-,.012,.013,-,,-,-,-,-,-,,
.07,.001,-,-,AOM,AO Energy,.023,-,-,.023,.024,-,,-,-,-,-8.14,-,,
.006,.002,-,-,AAL,APAC Coal,-,-,-,.002,.027,-,,-,-,-,-.25,-,,
.117,.01,-,-,AXM,Apex Minerals,-,-,-,-,-,-,,-,-,-,-46.09,-,,
.088,.024,-,-,AQQ,Aphrodite Gold,.025,-,-,.026,.028,-,,-,-,-,-.41,-,,
.015,.001,-,-,AQQO,  opt dec13,-,-,-,-,.001,-,,-,-,-,-,-,,
.295,.021,.035,.032,AOP,Apollo Cons,.032,-1.3,200,.032,.045,-,,-,-,-,-10.32,-,,
.08,.023,.029,.028,AON,Apollo Minerals,.029,+.1,1154,.028,.03,-,,-,-,-,-1.03,-,,
1.20,.475,.745,.715,AQP,Aquarius Platinum,.735,+1.5,4701,.73,.745,-,,-,-,-,-46.34,-,,
3.27,1.63,2.17,2.01,AQA,Aquila Res,2.08,+2,3892,2.08,2.11,-,,-,-,-,62.34,3.3,,
.245,.062,.11,.099,ARU,Arafura Resources,.10,-1.5,9216,.099,.10,-,,-,-,-,-1.41,-,,
.008,.002,.003,.003,ARX,ARC Explore,.003,-,500,.003,.004,-,,-,-,-,-.13,-,,
.28,.11,.13,.11,AXE,Archer Explore,.11,-2,5039,.11,.12,-,,-,-,-,5.30,2.1,,
.105,.027,-,-,ARD,Argent Minerals,.046,-,-,.047,.069,-,,-,-,-,-3.07,-,,
.086,.01,-,-,AVK,Argentina Min,.012,-,-,.012,.017,-,,-,-,-,-7.08,-,,
.02,.001,-,-,AVKO,  opt mar15,.001,-,-,.001,.016,-,,-,-,-,-,-,,
.032,.009,.018,.018,AXT,Argo Explore,.018,-,2500,.018,.024,-,,-,-,-,-6.85,-,,
.093,.02,.021,.021,ARE,Argonaut Res,.021,+.1,21,.022,.025,-,,-,-,-,-.20,-,,
.145,.042,-,-,AGY,Argosy Minerals,-,-,-,.039,.059,-,,-,-,-,-.78,-,,
.14,.05,-,-,AHK,Ark Mines,-,-,-,.068,.084,-,,-,-,-,-4.10,-,,
.41,.165,.29,.265,AJQ,Armour Energy,.275,-1,2865,.26,.28,-,,-,-,-,-.50,-,,
.14,.03,.084,.084,AJQO,  opt aug14,.084,+.4,263,.075,.09,-,,-,-,-,-,-,,
.024,.006,.011,.009,ARV,Artemis Res,.011,+.1,10006,.009,.011,-,,-,-,-,-.17,-,,
.097,.032,-,-,AAJ,Aruma Res,.032,-,-,.015,.035,-,,-,-,-,-1.72,-,,
.24,.20,-,-,AJY,Asaplus Res cdi,.24,-,-,-,.245,-,,-,-,-,-,-,,
.19,.05,-,-,AZQ,Ascot Res,.05,-,-,-,.05,-,,-,-,-,-3.60,-,,
.005,.001,.003,.003,ATN,Ashburton Min,.003,-,34834,.003,.004,-,,-,-,-,-.15,-,,
.001,.001,-,-,ATNO,  opt apr14,-,-,-,-,.001,-,,-,-,-,-,-,,
.18,.035,.053,.049,AKM,Aspire Min,.049,-.4,2340,.049,.053,-,,-,-,-,-1.34,-,,
.002,.001,.001,.001,ARO,Astro Res,.001,-,20000,-,.001,-,,-,-,-,-.07,-,,
.001,.001,-,-,AROOA,  opt jun14,-,-,-,-,.001,-,,-,-,-,-,-,,
.07,.015,.016,.016,AHN,Athena Res,.016,+.1,125,.016,.022,-,,-,-,-,-.08,-,,
.51,.12,.25,.245,ATI,Atlantic,.25,+1,540,.24,.26,-,,-,-,-,-14.80,-,,
.043,.018,-,-,ATV,Atlantic Gold,.022,-,-,.021,.022,-,,-,-,-,-.28,-,,
.003,.003,-,-,ATVCD,  ctg,-,-,-,.001,-,-,,-,-,-,-,-,,
1.945,.685,.905,.855,AGO,Atlas Iron,.875,-,95176,.87,.875,3.00,,-,1.60,3.43,-42.00,-,,
1.32,.15,.80,.745,ATU,Atrum Coal,.78,+7.5,1127,.78,.80,-,,-,-,-,-3.31,-,,
1.05,.33,.435,.365,AYA,Attila Res,.42,+5.5,469,.43,.45,-,,-,-,-,-28.74,-,,
.77,.30,-,-,AYAO,  opt jun14,-,-,-,.08,.25,-,,-,-,-,-,-,,
.25,.16,-,-,ACP,Audalia Res,-,-,-,-,-,-,,-,-,-,-.31,-,,
.02,.02,-,-,ACPO,  opt apr14,-,-,-,-,.01,-,,-,-,-,-,-,,
.055,.013,-,-,AUK,Augur Res,.02,-,-,.013,.02,-,,-,-,-,-5.54,-,,
.18,.046,.062,.062,AEE,Aura Energy,.062,+.2,76,.063,.068,-,,-,-,-,-1.77,-,,
.05,.001,-,-,AEEO,  opt dec14,.001,-,-,.002,.005,-,,-,-,-,-,-,,
.41,.084,-,-,AOU,Auroch Min,.09,-,-,-,.09,-,,-,-,-,-5.94,-,,
.095,.045,-,-,ARM,Aurora Minerals,.052,-,-,.052,.063,-,,-,-,-,-2.10,-,,
4.20,2.63,3.58,3.50,AUT,Aurora Oil & Gas,3.50,-4,8375,3.50,3.51,-,,-,-,-,13.10,26.7,,
.052,.011,.015,.015,AIW,Aust-American Min,.015,-,2600,.015,.016,-,,-,-,-,-4.25,-,,
.40,.013,.019,.019,AUC,Ausgold,.019,-,909,.019,.02,-,,-,-,-,-6.68,-,,
.16,.018,-,-,AOA,Ausmon Resources,-,-,-,.005,.017,-,,-,-,-,-1.23,-,,
.023,.005,-,-,ANW,AusNiCo,.009,-,-,.008,.009,-,,-,-,-,-.17,-,,
.027,.009,.011,.011,AQC,Aust Pacific Coal,.011,-,18143,.01,.012,-,,-,-,-,-.30,-,,
