ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5102.3 at 2013-08-19T16:48:36. Report at Monday, August 19, 2013. Processed Tuesday at 2013-08-20T01:00:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.06,-,-,TDO,3D Oil,.09,-,-,.09,.095,-,,-,-,-,-3.61,-,,
.045,.014,-,-,DDD,3D Res,.027,-,-,.017,.027,-,,-,-,-,-.10,-,,
.11,.021,.034,.033,ARH,A'asian Resources,.034,+.2,198,.034,.039,-,,-,-,-,-2.33,-,,
.30,.125,-,-,AYC,A1 Gold,.135,-,-,.15,.20,-,,-,-,-,-.47,-,,
.065,.021,.035,.034,ABU,ABM Res,.035,-,63134,.034,.035,-,,-,-,-,-.43,-,,
.023,.007,.011,.011,AJC,Acacia Coal,.011,-.1,1058,.011,.013,-,,-,-,-,-.42,-,,
.155,.045,.067,.066,ACB,A-Cap Res,.066,-.1,351,.066,.069,-,,-,-,-,-1.08,-,,
.275,.15,-,-,ACS,Accent Res,.19,-,-,.18,.25,-,,-,-,-,-.86,-,,
.022,.010,-,-,AIV,ActiveX,.018,-,-,.013,.017,-,,-,-,-,-.48,-,,
.021,.002,-,-,ADD,Adavale Resources,.005,-,-,.005,.01,-,,-,-,-,-1.58,-,,
.25,.035,.076,.075,ADN,Adelaide Res,.075,-.1,3579,.074,.075,-,,-,-,-,-3.84,-,,
.60,.335,.39,.385,ABY,Aditya Birla,.385,-.5,251,.385,.395,5.00,,-,1.63,12.99,-2.66,-,,
.045,.018,.02,.019,ADY,Admiralty Res,.02,-,1092,.019,.021,-,,-,-,-,-2.52,-,,
.007,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.30,-,,
.04,.012,-,-,ADX,ADX Energy,.017,-,-,.017,.018,-,,-,-,-,-3.10,-,,
.335,.06,-,-,AQR,AEON Metals,.20,-,-,.19,.21,-,,-,-,-,-.13,-,,
.205,.063,.081,.08,AFR,African Energy Res cdi,.08,-.8,1310,.08,.088,-,,-,-,-,-3.36,-,,
.215,.045,.065,.057,AGR,Aguia Res,.065,+.8,6989,.063,.065,-,,-,-,-,-11.68,-,,
6.860,1.94,3.39,3.22,AQG,Alacer Gold cdi,3.37,+12,10194,3.37,3.38,-,,-,-,-,-130.01,-,,
.315,.038,.06,.055,AUQ,Alara Res,.058,-,4279,.058,.068,-,,-,-,-,-2.58,-,,
.16,.028,.07,.06,ALY,Alchemy Resources,.062,-.8,1991,.065,.069,-,,-,-,-,-.39,-,,
.038,.004,.005,.004,AYN,Alcyone Res,.004,-.1,308025,.004,.005,-,,-,-,-,-.13,-,,
.03,.001,.001,.001,AYNO,  opt may15,.001,-,25000,.001,.002,-,,-,-,-,-,-,,
.001,.001,.001,.001,AYNOA,  opt jul15,.001,-,152756,.001,.001,-,,-,-,-,-,-,,
.016,.004,.006,.005,AWD,Aleator Energy,.006,-,27500,.005,.006,-,,-,-,-,-.32,-,,
.005,.001,.001,.001,AWDO,  opt jan15,.001,-,20000,.001,.002,-,,-,-,-,-,-,,
.26,.145,.15,.15,AQI,Alicanto Min,.15,-.5,4100,.15,.22,-,,-,-,-,-1.50,-,,
1.16,.245,.375,.365,ALK,Alkane Res,.365,-,3262,.365,.37,-,,-,-,-,19.00,1.9,,
.075,.012,-,-,AHQ,Allegiance Coal,.02,-,-,.02,.022,-,,-,-,-,-.29,-,,
.015,.001,-,-,AHQO,  opt mar14,-,-,-,-,.001,-,,-,-,-,-,-,,
.355,.093,.18,.16,AGS,Alliance Res,.16,-,8403,.15,.165,-,,-,-,-,-1.25,-,,
.125,.025,-,-,AGE,Alligator Energy,.034,-,-,.032,.042,-,,-,-,-,-.64,-,,
.022,.003,-,-,AYR,Alloy Res,.01,-,-,.009,.009,-,,-,-,-,-.34,-,,
.025,.005,-,-,AYM,Altuis Mining,-,-,-,.006,.014,-,,-,.04,-,-1.04,-,,
.33,.115,.155,.145,AOH,Altona Min,.15,-,1482,.145,.15,-,,-,-,-,.90,16.7,,
.21,.076,.12,.12,AJM,Altura Min,.12,-,1008,.12,.13,-,,-,-,-,-.72,-,,
1.405,.705,1.01,.97,AWC,Alumina,.98,-3,88594,.98,.985,-,,-,.93,-,-2.41,-,,
.275,.078,.16,.16,AQO,Ambassador Oil & Gas,.16,-,313,.15,.16,-,,-,-,-,-4.44,-,,
.05,.004,-,-,AQOO,  opt oct13,.004,-,-,.004,.01,-,,-,-,-,-,-,,
1.73,.73,-,-,AXZ,Amex Res,.95,-,-,.95,.99,-,,-,-,-,-4.67,-,,
.79,.105,.17,.16,AMX,Ampella Min,.17,+2,15516,.165,.17,-,,-,-,-,-16.08,-,,
.09,.032,.07,.066,AEK,Anatolia Energy,.07,+.4,1677,.07,.08,-,,-,-,-,-1.15,-,,
.002,.002,-,-,AEKO,  opt jun17,-,-,-,.001,-,-,,-,-,-,-,-,,
.19,.12,-,-,AHR,Anchor Res,-,-,-,.05,.175,-,,-,-,-,-2.31,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,-,-,-,-,-,2.11,,2.67,-,-,5.64,-,,
.012,.003,-,-,AAR,Anglo Aust Res,.004,-,-,.004,.005,-,,-,-,-,-1.15,-,,
7.06,2.63,3.70,3.51,AGG,Anglogold Ashanti cdi,3.70,+34,222,3.70,4.00,4.69,,-,8.89,1.27,-401.41,-,,
.08,.02,.03,.028,AWV,Anova Metals,.03,+.8,3850,.027,.03,-,,-,-,-,-10.35,-,,
.60,.27,.47,.455,AZZ,Antares Energy,.47,+1,3974,.465,.47,-,,-,-,-,-3.10,-,,
.255,.035,.037,.037,AZY,Antipa Min,.037,+.2,1000,.034,.037,-,,-,-,-,-1.44,-,,
.155,.006,-,-,AZYOA,  opt dec14,.006,-,-,.006,.014,-,,-,-,-,-,-,,
.07,.001,-,-,AOM,AO Energy,.02,-,-,.02,.025,-,,-,-,-,-8.14,-,,
.006,.002,-,-,AAL,APAC Coal,-,-,-,.002,.005,-,,-,-,-,-.25,-,,
.088,.022,.028,.028,AQQ,Aphrodite Gold,.028,-.2,1000,.028,.03,-,,-,-,-,-.41,-,,
.008,.001,-,-,AQQO,  opt dec13,-,-,-,-,.001,-,,-,-,-,-,-,,
.295,.021,-,-,AOP,Apollo Cons,.037,-,-,.04,.07,-,,-,-,-,-10.32,-,,
.08,.023,.025,.025,AON,Apollo Minerals,.025,-.3,200,.025,.027,-,,-,-,-,-1.03,-,,
1.20,.53,.795,.77,AQP,Aquarius Platinum,.77,+1,885,.77,.785,-,,-,-,-,-65.91,-,,
3.27,1.63,2.27,2.17,AQA,Aquila Res,2.27,+11,1917,2.25,2.27,-,,-,-,-,62.34,3.6,,
.245,.062,.093,.088,ARU,Arafura Resources,.092,-.2,7959,.092,.093,-,,-,-,-,-1.41,-,,
.007,.002,-,-,ARX,ARC Explore,.004,-,-,.003,.004,-,,-,-,-,-.13,-,,
.28,.11,.185,.165,AXE,Archer Explore,.18,+1.5,6033,.175,.18,-,,-,-,-,5.30,3.4,,
.105,.027,-,-,ARD,Argent Minerals,.046,-,-,.05,.056,-,,-,-,-,-3.07,-,,
.086,.01,-,-,AVK,Argentina Min,.012,-,-,.012,.013,-,,-,-,-,-7.08,-,,
