ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5385.7 at 2013-10-25T16:46:06. Report at Friday, October 25, 2013. Processed Saturday at 2013-10-26T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.078,.10,.095,TDO,3D Oil,.095,-.2,200,.095,.10,-,,-,-,-,-.92,-,,
.042,.014,-,-,DDD,3D Res,.02,-,-,.017,.02,-,,-,-,-,-.12,-,,
.16,.021,.064,.059,ARH,A'asian Resources,.064,-.1,1294,.059,.064,-,,-,-,-,-4.70,-,,
.29,.125,-,-,AYC,A1 Gold,.185,-,-,.185,.19,-,,-,-,-,-.89,-,,
.052,.021,.028,.027,ABU,ABM Res,.027,-,20310,.027,.028,-,,-,-,-,-.46,-,,
.023,.007,.011,.011,AJC,Acacia Coal,.011,-,1234,.011,.012,-,,-,-,-,-.08,-,,
.155,.045,.053,.05,ACB,A-Cap Res,.05,-.3,1000,.05,.055,-,,-,-,-,-.93,-,,
.24,.15,.205,.205,ACS,Accent Res,.205,-1.5,28,.205,.25,-,,-,-,-,-.40,-,,
.022,.010,-,-,AIV,ActiveX,.012,-,-,.013,.016,-,,-,-,-,-1.33,-,,
.021,.002,-,-,ADD,Adavale Resources,.003,-,-,.003,.006,-,,-,-,-,-1.38,-,,
.25,.036,.062,.059,ADN,Adelaide Res,.059,-.4,5649,.059,.064,-,,-,-,-,-3.63,-,,
.60,.335,.35,.335,ABY,Aditya Birla,.345,+1,1405,.345,.35,-,,-,1.63,-,-2.66,-,,
.045,.017,.018,.018,ADY,Admiralty Res,.018,+.1,3724,.018,.019,-,,-,-,-,-2.90,-,,
.003,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.13,-,,
.04,.012,.019,.018,ADX,ADX Energy,.018,-.1,1700,.018,.019,-,,-,-,-,-3.21,-,,
.335,.06,.18,.15,AQR,AEON Metals,.16,-2,400,.16,.185,-,,-,-,-,-.04,-,,
.19,.063,.115,.10,AFR,African Energy Res cdi,.115,+1.5,8763,.11,.115,-,,-,-,-,-3.86,-,,
.215,.045,.073,.072,AGR,Aguia Res,.073,+.3,5144,.068,.074,-,,-,-,-,-2.01,-,,
5.049,1.94,3.14,3.05,AQG,Alacer Gold cdi,3.08,+5,1717,3.07,3.09,-,,-,-,-,-318.93,-,,
.27,.035,.056,.056,AUQ,Alara Res,.056,-.4,868,.058,.061,-,,-,-,-,-2.84,-,,
.16,.028,.043,.039,ALY,Alchemy Resources,.039,-.4,3560,.04,.047,-,,-,-,-,-1.36,-,,
.031,.002,.004,.003,AYN,Alcyone Res,.003,-,1663613,.002,.003,-,,-,-,-,-.68,-,,
.023,.001,-,-,AYNO,  opt may15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.002,.001,.001,.001,AYNOA,  opt jul15,.001,-,61662,.001,.002,-,,-,-,-,-,-,,
.013,.004,.008,.007,AWD,Aleator Energy,.008,-,218969,.008,.009,-,,-,-,-,-.19,-,,
.004,.001,.002,.002,AWDO,  opt jan15,.002,-,254330,.002,.003,-,,-,-,-,-,-,,
.26,.145,-,-,AQI,Alicanto Min,.22,-,-,.20,.25,-,,-,-,-,-4.80,-,,
.895,.245,.40,.38,ALK,Alkane Res,.38,-2,2167,.38,.395,-,,-,-,-,19.00,2.0,,
.075,.012,.014,.014,AHQ,Allegiance Coal,.014,-,150,.013,.02,-,,-,-,-,-.88,-,,
.01,.001,-,-,AHQO,  opt mar14,-,-,-,-,.001,-,,-,-,-,-,-,,
.28,.093,.145,.145,AGS,Alliance Res,.145,+1,37,.14,.145,-,,-,-,-,-2.14,-,,
.093,.023,.075,.068,AGE,Alligator Energy,.073,+.7,4127,.07,.074,-,,-,-,-,-.93,-,,
.018,.003,.008,.008,AYR,Alloy Res,.008,-,17050,.007,.008,-,,-,-,-,-.42,-,,
.022,.005,-,-,AYM,Altuis Mining,.009,-,-,.01,.018,-,,-,-,-,-.52,-,,
.31,.115,.15,.145,AOH,Altona Min,.15,+.5,7840,.145,.15,-,,-,-,-,2.40,6.3,,
.20,.076,.115,.11,AJM,Altura Min,.11,-.5,80,.115,.12,-,,-,-,-,-.22,-,,
1.405,.815,1.05,1.03,AWC,Alumina,1.03,-.5,128578,1.03,1.04,-,,-,1.01,-,-1.92,-,,
.275,.13,.175,.175,AQO,Ambassador Oil & Gas,.175,-,500,.175,.18,-,,-,-,-,-3.78,-,,
.05,.001,-,-,AQOO,  opt oct13,.001,-,-,-,-,-,,-,-,-,-,-,,
1.73,.89,-,-,AXZ,Amex Res,1.20,-,-,1.05,1.20,-,,-,-,-,-4.51,-,,
.60,.105,.115,.11,AMX,Ampella Min,.11,-.5,2684,.11,.12,-,,-,-,-,-10.56,-,,
.10,.032,.06,.06,AEK,Anatolia Energy,.06,-1,3,.06,.07,-,,-,-,-,-.60,-,,
.002,.002,.002,.002,AEKO,  opt jun17,.002,-,2500,.002,-,-,,-,-,-,-,-,,
.19,.12,-,-,AHR,Anchor Res,.19,-,-,.05,.21,-,,-,-,-,-2.61,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,-,-,-,-,-,2.11,,2.45,-,-,5.18,-,,
.009,.003,-,-,AAR,Anglo Aust Res,.003,-,-,.003,.004,-,,-,-,-,-.17,-,,
6.52,2.63,3.30,3.25,AGG,Anglogold Ashanti cdi,3.29,-1,17,3.25,3.29,4.69,,-,8.89,1.43,-401.41,-,,
.08,.019,.019,.019,AWV,Anova Metals,.019,-.2,300,.019,.022,-,,-,-,-,-8.67,-,,
.585,.27,.495,.49,AZZ,Antares Energy,.49,-,1337,.49,.50,-,,-,-,-,5.50,8.9,,
.255,.03,.04,.04,AZY,Antipa Min,.04,-,900,.035,.04,-,,-,-,-,-1.10,-,,
.155,.006,-,-,AZYOA,  opt dec14,.01,-,-,.01,.018,-,,-,-,-,-,-,,
.052,.001,.01,.01,AOM,AO Energy,.01,-,2789,.01,.013,-,,-,-,-,-9.20,-,,
.005,.002,-,-,AAL,APAC Coal,.003,-,-,.003,.009,-,,-,-,-,-.11,-,,
.088,.022,-,-,AQQ,Aphrodite Gold,.03,-,-,.026,.03,-,,-,-,-,-.54,-,,
.008,.001,-,-,AQQO,  opt dec13,-,-,-,-,.001,-,,-,-,-,-,-,,
.165,.021,.05,.045,AOP,Apollo Cons,.045,-.5,300,.041,.055,-,,-,-,-,-2.13,-,,
.08,.023,.035,.032,AON,Apollo Minerals,.032,+.2,15521,.031,.033,-,,-,-,-,-.56,-,,
1.20,.535,.80,.775,AQP,Aquarius Platinum,.795,-,2152,.775,.795,-,,-,-,-,-65.91,-,,
3.27,1.63,2.41,2.34,AQA,Aquila Res,2.35,+1,2779,2.33,2.36,-,,-,-,-,77.10,3.0,,
.225,.062,.095,.095,ARU,Arafura Resources,.095,+.2,385,.095,.098,-,,-,-,-,-2.80,-,,
.007,.002,.007,.005,ARX,ARC Explore,.007,+.1,5697,.006,.007,-,,-,-,-,-.06,-,,
.28,.11,.155,.15,AXE,Archer Explore,.155,-,903,.155,.16,-,,-,-,-,-.44,-,,
.105,.027,-,-,ARD,Argent Minerals,.04,-,-,.041,.046,-,,-,-,-,-2.40,-,,
.08,.008,.016,.016,AVK,Argentina Min,.016,+.1,100,.016,.023,-,,-,-,-,-7.42,-,,
.015,.001,.001,.001,AVKO,  opt mar15,.001,-,50,.001,.005,-,,-,-,-,-,-,,
.032,.009,.021,.021,AXT,Argo Explore,.021,-,100,.021,.026,-,,-,-,-,-7.08,-,,
.093,.019,.026,.026,ARE,Argonaut Res,.026,-.1,855,.025,.026,-,,-,-,-,-4.33,-,,
.145,.02,-,-,AGY,Argosy Minerals,.03,-,-,.03,.048,-,,-,-,-,-1.22,-,,
.14,.05,-,-,AHK,Ark Mines,.095,-,-,.05,.094,-,,-,-,-,-8.22,-,,
.40,.185,.29,.29,AJQ,Armour Energy,.29,-,1100,.29,.295,-,,-,-,-,.53,54.7,,
.135,.035,.067,.067,AJQO,  opt aug14,.067,-.1,1000,.055,.067,-,,-,-,-,-,-,,
.022,.004,-,-,ARV,Artemis Res,.005,-,-,.004,.005,-,,-,-,-,-.23,-,,
.001,.001,-,-,ARVO,  opt mar14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.002,.001,-,-,ARVOA,  opt aug16,.001,-,-,.001,.002,-,,-,-,-,-,-,,
.084,.02,-,-,AAJ,Aruma Res,.025,-,-,.017,.024,-,,-,-,-,-2.31,-,,
.245,.20,-,-,AJY,Asaplus Res cdi,.245,-,-,-,.25,-,,-,-,-,-,-,,
.19,.05,-,-,AZQ,Ascot Res,.059,-,-,.055,.059,-,,-,-,-,-8.63,-,,
.18,.035,.073,.073,AKM,Aspire Min,.073,+.3,490,.067,.073,-,,-,-,-,-1.22,-,,
.002,.001,.001,.001,ARO,Astro Res,.001,-,3500,.001,.001,-,,-,-,-,-.02,-,,
.001,.001,-,-,AROOA,  opt jun14,-,-,-,-,.001,-,,-,-,-,-,-,,
.052,.015,-,-,AHN,Athena Res,.032,-,-,.03,.05,-,,-,-,-,.02,160.0,,
.32,.12,.19,.175,ATI,Atlantic,.18,+2,1423,.18,.195,-,,-,-,-,-14.80,-,,
.04,.017,.022,.02,ATV,Atlantic Gold,.02,-.2,5040,.02,.022,-,,-,-,-,-.33,-,,
.003,.001,-,-,ATVCD,  ctg,.001,-,-,.003,-,-,,-,-,-,-,-,,
1.945,.685,1.105,1.05,AGO,Atlas Iron,1.06,-2,123273,1.055,1.06,3.00,,-,1.62,2.83,-27.00,-,,
2.10,.15,1.675,1.555,ATU,Atrum Coal,1.62,+6,1567,1.615,1.64,-,,-,-,-,-10.84,-,,
1.00,.33,-,-,AYA,Attila Res,.64,-,-,.62,.66,-,,-,-,-,-33.45,-,,
.75,.24,-,-,AYAO,  opt jun14,.45,-,-,.34,.45,-,,-,-,-,-,-,,
.25,.039,-,-,ACP,Audalia Res,.05,-,-,.005,-,-,,-,-,-,-.36,-,,
.02,.02,-,-,ACPO,  opt apr14,-,-,-,-,-,-,,-,-,-,-,-,,
.04,.011,-,-,AUK,Augur Res,.02,-,-,.021,.028,-,,-,-,-,-.51,-,,
.18,.044,-,-,AEE,Aura Energy,.054,-,-,.052,.055,-,,-,-,-,-1.65,-,,
.039,.001,-,-,AEEO,  opt dec14,.003,-,-,.003,.005,-,,-,-,-,-,-,,
.41,.06,-,-,AOU,Auroch Min,.065,-,-,.06,.067,-,,-,-,-,-2.20,-,,
.092,.045,-,-,ARM,Aurora Minerals,.056,-,-,.056,.06,-,,-,-,-,-2.63,-,,
3.97,2.63,3.28,3.24,AUT,Aurora Oil & Gas,3.28,+4,5586,3.27,3.29,-,,-,1.23,-,21.95,14.9,,
.052,.008,.01,.008,AIW,Aust-American Min,.009,-,16600,.008,.009,-,,-,-,-,-3.80,-,,
.19,.013,-,-,AUC,Ausgold,.022,-,-,.022,.027,-,,-,-,-,-5.55,-,,
.035,.017,-,-,AOA,Ausmon Resources,.019,-,-,.008,.03,-,,-,-,-,-1.03,-,,
.018,.004,.01,.009,ANW,AusNiCo,.009,-.1,3575,.008,.009,-,,-,-,-,-.50,-,,
.027,.008,.01,.01,AQC,Aust Pacific Coal,.01,-,1476,.009,.01,-,,-,-,-,-.31,-,,
.068,.009,.017,.017,AQD,AusQuest,.017,-,1279,.018,.02,-,,-,-,-,-4.30,-,,
.30,.15,.18,.16,ABZ,Aust Bauxite,.17,+1,6250,.165,.17,-,,-,-,-,-1.06,-,,
.18,.067,.105,.095,AKA,Aust Minerals &  Min,.095,-.5,5417,.082,.10,-,,-,-,-,-1.30,-,,
.015,.005,-,-,AKAOB,  opt mar14,.005,-,-,.001,.009,-,,-,-,-,-,-,,
.03,.005,-,-,AUZ,Aust Mines,.007,-,-,.006,.007,-,,-,-,-,-1.23,-,,
.105,.023,-,-,AOC,Aust Oil Co,.096,-,-,.096,.098,-,,-,-,-,-1.50,-,,
1.50,.60,.96,.92,ARW,Aust Renewable,.96,+4,983,.96,.985,-,,-,.01,-,.08,1200.0,,
.175,.105,.14,.135,AOK,AusTex Oil,.135,-.5,7482,.135,.14,-,,-,-,-,-.43,-,,
.033,.011,.012,.011,AKK,Austin Explore,.011,-.1,15199,.011,.012,-,,-,-,-,-.19,-,,
.04,.013,.034,.029,APG,Austpac Res,.03,+.1,4331,.03,.031,-,,-,-,-,.26,11.5,,
.20,.11,-,-,AGD,Austral Gold,.17,-,-,.11,.17,-,,-,-,-,-4.40,-,,
.073,.006,.012,.01,AVI,Avalon Minerals,.012,+.4,6417,.01,.012,-,,-,-,-,-1.40,-,,
.135,.05,.073,.068,AVB,Avanco Res,.07,+.1,44673,.069,.07,-,,-,-,-,-.20,-,,
.193,.038,-,-,AVY,Avenue Res,.039,-,-,.025,.04,-,,-,-,-,-14.28,-,,
.185,.08,-,-,AVA,Aviva Corp,.125,-,-,.13,.135,-,,-,-,-,7.69,1.6,,
.023,.005,-,-,AVZ,AVZ Minerals,.006,-,-,.006,.009,-,,-,-,-,-1.13,-,,
1.47,1.105,1.245,1.215,AWE,AWE,1.23,-,12154,1.225,1.23,-,f,-,1.44,-,3.84,32.0,,
.027,.01,-,-,AVQ,Axiom Min cdi,.02,-,-,.021,.02,-,,-,-,-,-.26,-,,
.105,.029,-,-,AZK,Aziana,.04,-,-,.034,.042,-,,-,-,-,-2.29,-,,
.135,.024,.03,.029,AZM,Azumah Res,.029,-.1,1295,.029,.032,-,,-,-,-,-5.70,-,,
.096,.016,.042,.039,AZS,Azure Minerals,.04,+.2,35236,.04,.041,-,,-,-,-,-.70,-,,
.145,.06,.092,.092,BMB,Balamara Res,.092,-.2,58,.091,.092,-,,-,-,-,-3.06,-,,
.355,.097,.215,.20,BND,Bandanna Energy,.215,+1.5,5050,.21,.215,-,,-,-,-,-1.44,-,,
.135,.048,.05,.048,BMN,Bannerman Res,.048,-.2,761,.048,.05,-,,-,-,-,-1.80,-,,
.267,.08,-,-,BNX,Bannon,.17,-,-,.145,.17,-,,-,-,-,-2.06,-,,
.045,.015,-,-,BNXO,  opt aug15,.026,-,-,.01,-,-,,-,-,-,-,-,,
.012,.003,.005,.005,BKP,Baraka Energy,.005,-,4000,.004,.005,-,,-,-,-,-.02,-,,
.023,.006,-,-,BAR,Barra Res,.01,-,-,.008,.011,-,,-,-,-,-.36,-,,
.085,.027,-,-,BAC,Baru Resources,.027,-,-,.031,.039,-,,-,-,-,-2.57,-,,
.015,.002,-,-,BACO,  opt dec16,.003,-,-,.001,.01,-,,-,-,-,-,-,,
.435,.22,.39,.375,BSE,Base Res,.385,+1.5,9978,.385,.39,-,,-,-,-,-1.25,-,,
.018,.004,.008,.008,BSM,Bass Metals,.008,-.1,500,.008,.009,-,,-,-,-,-3.93,-,,
.002,.001,-,-,BSMO,  opt sep14,-,-,-,-,.001,-,,-,-,-,-,-,,
.018,.006,-,-,BAS,Bass Strait Oil Co,.009,-,-,.009,.01,-,,-,-,-,-.74,-,,
.04,.005,.007,.007,BSR,Bassari Res,.007,-,2250,.007,.008,-,,-,-,-,-.33,-,,
.23,.11,.23,.197,BRL,Bathurst Res NZ,.22,+3.5,98522,.215,.22,-,,-,-,-,-,-,,
.15,.10,.115,.105,BAU,Bauxite Resources,.11,-.5,2766,.11,.115,-,,-,-,-,-2.30,-,,
.10,.009,-,-,BBX,BBX Minerals,.015,-,-,.005,.015,-,,-,-,-,-1.77,-,,
.011,.011,-,-,BBXO,  opt jun14,-,-,-,-,-,-,,-,-,-,-,-,,
