ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5410.7 at 2013-10-29T16:51:06. Report at Tuesday, October 29, 2013. Processed Wednesday at 2013-10-30T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.078,.093,.093,TDO,3D Oil,.093,-,500,.095,.10,-,,-,-,-,-.92,-,,
.042,.014,.02,.017,DDD,3D Res,.017,-.3,1375,.017,.02,-,,-,-,-,-.12,-,,
.16,.021,.06,.05,ARH,A'asian Resources,.05,-.9,2865,.05,.059,-,,-,-,-,-4.70,-,,
.29,.125,-,-,AYC,A1 Gold,.185,-,-,.185,.19,-,,-,-,-,-.89,-,,
.052,.021,.027,.027,ABU,ABM Res,.027,-,70236,.026,.027,-,,-,-,-,-.46,-,,
.023,.007,-,-,AJC,Acacia Coal,.011,-,-,.01,.011,-,,-,-,-,-.08,-,,
.155,.045,.058,.058,ACB,A-Cap Res,.058,-,291,.058,.065,-,,-,-,-,-.93,-,,
.24,.15,-,-,ACS,Accent Res,.205,-,-,.205,.25,-,,-,-,-,-.40,-,,
.022,.010,.014,.014,AIV,ActiveX,.014,-,330,.012,.018,-,,-,-,-,-1.33,-,,
.021,.002,-,-,ADD,Adavale Resources,.003,-,-,.003,.006,-,,-,-,-,-1.38,-,,
.25,.036,.06,.058,ADN,Adelaide Res,.058,-.2,3441,.06,.068,-,,-,-,-,-3.63,-,,
.60,.335,.35,.34,ABY,Aditya Birla,.35,+.5,1203,.34,.35,-,,-,1.63,-,-2.66,-,,
.045,.017,.018,.018,ADY,Admiralty Res,.018,-,388,.018,.019,-,,-,-,-,-2.90,-,,
.003,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.13,-,,
.04,.012,.019,.019,ADX,ADX Energy,.019,-,590,.018,.019,-,,-,-,-,-3.21,-,,
.335,.06,.16,.16,AQR,AEON Metals,.16,-,94,.15,.16,-,,-,-,-,-.04,-,,
.19,.063,.14,.125,AFR,African Energy Res cdi,.135,+1,4194,.12,.14,-,,-,-,-,-3.86,-,,
.215,.045,.074,.074,AGR,Aguia Res,.074,-,1000,.068,.073,-,,-,-,-,-2.01,-,,
5.049,1.94,3.20,3.12,AQG,Alacer Gold cdi,3.20,+4,5410,3.19,3.20,-,,-,-,-,-318.93,-,,
.27,.035,.099,.059,AUQ,Alara Res,.079,+2.3,65319,.079,.084,-,,-,-,-,-2.84,-,,
.16,.028,-,-,ALY,Alchemy Resources,.045,-,-,.045,.049,-,,-,-,-,-1.36,-,,
.031,.002,.003,.003,AYN,Alcyone Res,.003,-.1,272159,.003,.004,-,,-,-,-,-.68,-,,
.023,.001,-,-,AYNO,  opt may15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.002,.001,.001,.001,AYNOA,  opt jul15,.001,-,160000,.001,.002,-,,-,-,-,-,-,,
.013,.004,-,-,AWD,Aleator Energy,.007,-,-,.008,.007,-,,-,-,-,-.19,-,,
.004,.001,-,-,AWDO,  opt jan15,.002,-,-,.003,.002,-,,-,-,-,-,-,,
.26,.145,-,-,AQI,Alicanto Min,.22,-,-,.21,.25,-,,-,-,-,-4.80,-,,
.895,.245,.395,.385,ALK,Alkane Res,.395,+1,1258,.39,.395,-,,-,-,-,19.00,2.1,,
.075,.012,.02,.02,AHQ,Allegiance Coal,.02,+.6,3303,.02,.022,-,,-,-,-,-.88,-,,
.01,.001,-,-,AHQO,  opt mar14,-,-,-,-,.001,-,,-,-,-,-,-,,
.27,.093,.14,.14,AGS,Alliance Res,.14,-.5,656,.135,.14,-,,-,-,-,-2.14,-,,
.093,.023,.075,.072,AGE,Alligator Energy,.072,-.3,1785,.073,.08,-,,-,-,-,-.93,-,,
.018,.003,.008,.007,AYR,Alloy Res,.008,-,5304,.007,.008,-,,-,-,-,-.42,-,,
.022,.005,-,-,AYM,Altuis Mining,.009,-,-,.01,.018,-,,-,-,-,-.52,-,,
.31,.115,.15,.145,AOH,Altona Min,.15,-,3621,.14,.15,-,,-,-,-,2.40,6.3,,
.20,.076,.125,.125,AJM,Altura Min,.125,-.5,500,.125,.13,-,,-,-,-,-.22,-,,
1.405,.815,1.035,1.005,AWC,Alumina,1.015,-2.5,93615,1.01,1.02,-,,-,1.01,-,-1.92,-,,
.275,.13,.185,.18,AQO,Ambassador Oil & Gas,.18,-,2925,.175,.18,-,,-,-,-,-3.78,-,,
1.73,.89,-,-,AXZ,Amex Res,1.20,-,-,1.05,1.20,-,,-,-,-,-4.51,-,,
.50,.105,.115,.11,AMX,Ampella Min,.11,-,9016,.105,.11,-,,-,-,-,-10.56,-,,
.10,.032,.07,.065,AEK,Anatolia Energy,.07,+1,1075,.067,.07,-,,-,-,-,-.60,-,,
.002,.002,-,-,AEKO,  opt jun17,.002,-,-,.002,-,-,,-,-,-,-,-,,
.19,.12,-,-,AHR,Anchor Res,.19,-,-,.05,.21,-,,-,-,-,-2.61,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,-,-,-,-,-,2.11,,2.45,-,-,5.18,-,,
.009,.003,.003,.003,AAR,Anglo Aust Res,.003,-,53214,.003,.004,-,,-,-,-,-.17,-,,
6.52,2.63,3.40,3.36,AGG,Anglogold Ashanti cdi,3.36,+6,87,3.11,3.50,4.69,,-,8.89,1.40,-401.41,-,,
.08,.019,-,-,AWV,Anova Metals,.022,-,-,.022,.025,-,,-,-,-,-8.67,-,,
.585,.27,.50,.485,AZZ,Antares Energy,.49,-,2403,.485,.495,-,,-,-,-,5.50,8.9,,
.255,.03,.039,.039,AZY,Antipa Min,.039,-,490,.038,.039,-,,-,-,-,-1.10,-,,
.155,.006,-,-,AZYOA,  opt dec14,.007,-,-,.007,.01,-,,-,-,-,-,-,,
.052,.001,-,-,AOM,AO Energy,.01,-,-,.011,.013,-,,-,-,-,-9.20,-,,
