ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5402.2 at 2014-02-18T16:38:36. Report at Tuesday, February 18, 2014. Processed Wednesday at 2014-02-19T01:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.075,.115,.115,TDO,3D Oil,.115,-.5,870,.10,.115,-,,-,-,-,-.92,-,,
.036,.012,-,-,DDD,3D Res,.028,-,-,.02,.025,-,,-,-,-,-.12,-,,
.16,.021,.036,.03,ARH,A'asian Resources,.03,-.4,2208,.03,.039,-,,-,-,-,-4.70,-,,
.255,.085,.11,.11,AYC,A1 Gold,.11,+1,63,.10,.11,-,,-,-,-,-.89,-,,
.046,.021,.032,.03,ABU,ABM Res,.03,-.1,22820,.03,.031,-,,-,-,-,-.46,-,,
.019,.007,.01,.009,AJC,Acacia Coal,.01,+.1,4400,.009,.01,-,,-,-,-,-.08,-,,
.13,.042,.06,.055,ACB,A-Cap Res,.055,-.3,1980,.055,.057,-,,-,-,-,-.93,-,,
.23,.14,-,-,ACS,Accent Res,.185,-,-,.19,.23,-,,-,-,-,-.40,-,,
.021,.009,.012,.011,AIV,ActiveX,.011,-,885,.011,.014,-,,-,-,-,-1.23,-,,
.019,.002,.007,.005,ADD,Adavale Resources,.007,+.3,2323,.005,.007,-,,-,-,-,-1.38,-,,
.25,.036,.077,.064,ADN,Adelaide Res,.065,-.8,20802,.065,.067,-,,-,-,-,-3.63,-,,
.55,.30,.325,.315,ABY,Aditya Birla,.32,+.5,113,.32,.33,-,,-,1.59,-,-.21,-,,
.04,.013,-,-,ADY,Admiralty Res,.014,-,-,.014,.016,-,,-,-,-,-2.90,-,,
.002,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.13,-,,
.024,.012,.017,.016,ADX,ADX Energy,.017,+.1,1000,.015,.017,-,,-,-,-,-3.21,-,,
.335,.105,-,-,AQR,AEON Metals,.135,-,-,.11,.135,-,,-,-,-,-.04,-,,
.175,.063,.09,.086,AFR,African Energy Res cdi,.086,+.1,950,.093,.097,-,,-,-,-,-3.86,-,,
