ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5335.2 at 2014-03-17T16:49:36. Report at Monday, March 17, 2014. Processed Tuesday at 2014-03-18T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.075,-,-,TDO,3D Oil,.09,-,-,.09,.10,-,,-,-,-,-.92,-,,
.036,.012,-,-,DDD,3D Res,.028,-,-,.022,.026,-,,-,-,-,-.24,-,,
.16,.021,-,-,ARH,A'asian Resources,.031,-,-,.031,.035,-,,-,-,-,-4.70,-,,
.215,.085,-,-,AYC,A1 Gold,.12,-,-,.097,.11,-,,-,-,-,-.82,-,,
.046,.021,.027,.026,ABU,ABM Res,.027,+.2,48985,.026,.027,-,,-,-,-,-.22,-,,
.017,.007,.01,.009,AJC,Acacia Coal,.01,-,11000,.009,.01,-,,-,-,-,-.08,-,,
.10,.042,.074,.07,ACB,A-Cap Res,.07,-.5,947,.065,.07,-,,-,-,-,-.93,-,,
.23,.14,-,-,ACS,Accent Res,.21,-,-,.195,.21,-,,-,-,-,-.40,-,,
.021,.01,.017,.017,AIV,ActiveX,.017,-,1170,.012,.017,-,,-,-,-,-1.23,-,,
.016,.002,.004,.004,ADD,Adavale Resources,.004,-.1,533,.003,.007,-,,-,-,-,-1.38,-,,
.25,.036,.061,.061,ADN,Adelaide Res,.061,+.1,585,.059,.061,-,,-,-,-,-.49,-,,
.475,.30,.315,.31,ABY,Aditya Birla,.315,-,1030,.31,.32,-,,-,1.59,-,-.21,-,,
.035,.013,.014,.014,ADY,Admiralty Res,.014,+.1,4455,.014,.015,-,,-,-,-,-2.90,-,,
.001,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.13,-,,
.022,.012,.014,.013,ADX,ADX Energy,.013,-.1,4778,.013,.015,-,,-,-,-,-3.21,-,,
.30,.105,-,-,AQR,AEON Metals,.15,-,-,.14,.155,-,,-,-,-,-.04,-,,
.009,.001,.005,.005,ACJ,African Chrome Flds Ltd,.005,-,8987,.005,.006,-,,-,-,-,-.16,-,,
.175,.063,.092,.087,AFR,African Energy Res cdi,.087,-.5,3500,.087,.091,-,,-,-,-,-3.86,-,,
.14,.045,.06,.06,AGR,Aguia Res,.06,-,950,.058,.06,-,,-,-,-,-2.01,-,,
3.78,1.94,3.63,3.56,AQG,Alacer Gold cdi,3.60,+8,10904,3.60,3.63,-,,-,-,-,-173.22,-,,
.145,.035,.105,.088,AUQ,Alara Res,.088,-.7,30711,.088,.093,-,,-,-,-,-.67,-,,
.12,.022,.022,.022,ALY,Alchemy Resources,.022,-,222,.022,.031,-,,-,-,-,-1.48,-,,
.012,.001,-,-,AYN,Alcyone Res,.001,-,-,.001,.001,-,,-,-,-,-.68,-,,
.005,.001,-,-,AYNO,  opt may15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.002,.001,-,-,AYNOA,  opt jul15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.013,.001,.002,.001,AWD,Aleator Energy,.002,-,26199,.001,.002,-,,-,-,-,-.19,-,,
.004,.001,.001,.001,AWDO,  opt jan15,.001,-.1,2500,.002,.001,-,,-,-,-,-,-,,
.33,.145,.285,.285,AQI,Alicanto Min,.285,-,25,.225,.285,-,,-,-,-,-4.80,-,,
.62,.245,.365,.34,ALK,Alkane Res,.34,-.5,3074,.34,.345,-,,-,-,-,20.27,1.7,,
.055,.012,-,-,AHQ,Allegiance Coal,.012,-,-,.012,.03,-,,-,-,-,-.88,-,,
.003,.001,-,-,AHQO,  opt mar14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.26,.093,.245,.23,AGS,Alliance Res,.24,-.5,2396,.23,.24,-,,-,-,-,-2.14,-,,
.085,.023,-,-,AGE,Alligator Energy,.052,-,-,.053,.06,-,,-,-,-,-.68,-,,
.013,.003,-,-,AYR,Alloy Res,.007,-,-,.006,.007,-,,-,-,-,-.42,-,,
.019,.005,-,-,AYM,Altuis Mining,.006,-,-,.007,.01,-,,-,-,-,-.52,-,,
.23,.115,-,-,AOH,Altona Min,.155,-,-,.52,.16,-,,-,-,-,2.40,6.5,,
.245,.076,.205,.205,AJM,Altura Min,.205,-.5,272,.205,.21,-,,-,-,-,-.40,-,,
1.345,.89,1.215,1.18,AWC,Alumina,1.19,-1.5,91543,1.185,1.195,-,,-,1.02,-,.02,5950.0,,
.275,.13,.185,.18,AQO,Ambassador Oil & Gas,.18,-.5,580,.175,.18,-,,-,-,-,-.50,-,,
1.50,.92,1.30,1.30,AXZ,Amex Res,1.30,-,50,-,1.32,-,,-,-,-,-.03,-,,
.27,.075,.205,.20,AMX,Ampella Min,.20,-.5,1227,.20,.21,-,,-,-,-,-10.56,-,,
.10,.032,.09,.087,AEK,Anatolia Energy,.09,+1,5000,.08,.09,-,,-,-,-,-.60,-,,
