ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5351.0 at 2014-03-25T16:41:36. Report at Tuesday, March 25, 2014. Processed Wednesday at 2014-03-26T01:00:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.075,-,-,TDO,3D Oil,.091,-,-,.09,.091,-,,-,-,-,-.56,-,,
.036,.012,-,-,DDD,3D Res,.02,-,-,.02,.022,-,,-,-,-,-.24,-,,
.16,.021,.029,.029,ARH,A'asian Resources,.029,-.1,527,.029,.031,-,,-,-,-,-4.20,-,,
.215,.085,-,-,AYC,A1 Gold,.12,-,-,.10,.12,-,,-,-,-,-.82,-,,
.043,.021,.027,.025,ABU,ABM Res,.026,-,13118,.025,.026,-,,-,-,-,-.22,-,,
.017,.007,.011,.01,AJC,Acacia Coal,.01,-.1,17000,.01,.012,-,,-,-,-,-.19,-,,
.095,.042,-,-,ACB,A-Cap Res,.062,-,-,.062,.066,-,,-,-,-,-1.33,-,,
.23,.14,-,-,ACS,Accent Res,.195,-,-,.195,.23,-,,-,-,-,-1.44,-,,
.021,.01,-,-,AIV,ActiveX,.016,-,-,.016,.017,-,,-,-,-,-1.23,-,,
.011,.002,-,-,ADD,Adavale Resources,.004,-,-,.003,.008,-,,-,-,-,-.26,-,,
.25,.036,.06,.056,ADN,Adelaide Res,.056,-,1404,.056,.06,-,,-,-,-,-.49,-,,
.46,.295,-,-,ABY,Aditya Birla,.295,-,-,.28,.26,-,,-,1.59,-,-.21,-,,
.035,.013,-,-,ADY,Admiralty Res,.014,-,-,.014,.015,-,,-,-,-,-2.92,-,,
.001,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.13,-,,
.022,.012,-,-,ADX,ADX Energy,.013,-,-,.013,.014,-,,-,-,-,-3.21,-,,
.27,.105,-,-,AQR,AEON Metals,.15,-,-,.125,.15,-,,-,-,-,-.80,-,,
.009,.001,.006,.006,ACJ,African Chrome Flds,.006,+.1,1213,.005,.006,-,,-,-,-,-.14,-,,
.175,.063,-,-,AFR,African Energy Res cdi,.086,-,-,.085,.088,-,,-,-,-,-3.35,-,,
.12,.045,-,-,AGR,Aguia Res,.058,-,-,.058,.069,-,,-,-,-,-1.76,-,,
3.78,1.94,2.91,2.83,AQG,Alacer Gold cdi,2.88,-17,4882,2.88,3.04,2.20,,-,-,.76,-173.22,-,,
.145,.035,.10,.084,AUQ,Alara Res,.10,+1,6175,.085,.10,-,,-,-,-,-.67,-,,
.12,.021,-,-,ALY,Alchemy Resources,.023,-,-,.021,.023,-,,-,-,-,-1.48,-,,
.012,.001,-,-,AYN,Alcyone Res,.001,-,-,-,-,-,,-,-,-,-.68,-,,
.005,.001,-,-,AYNO,  opt may15,.001,-,-,-,-,-,,-,-,-,-,-,,
.002,.001,-,-,AYNOA,  opt jul15,.001,-,-,-,-,-,,-,-,-,-,-,,
.013,.001,.001,.001,AWD,Aleator Energy,.001,-,50140,.001,.002,-,,-,-,-,-.15,-,,
.004,.001,-,-,AWDO,  opt jan15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.33,.145,-,-,AQI,Alicanto Min,.285,-,-,.235,.285,-,,-,-,-,-6.70,-,,
.60,.245,.335,.31,ALK,Alkane Res,.335,+3,3854,.32,.335,-,,-,-,-,20.27,1.7,,
.055,.012,-,-,AHQ,Allegiance Coal,.012,-,-,.011,.029,-,,-,-,-,-.95,-,,
.26,.093,.22,.20,AGS,Alliance Res,.215,+.5,3206,.20,.22,-,,-,-,-,-2.11,-,,
.085,.023,-,-,AGE,Alligator Energy,.051,-,-,.051,.06,-,,-,-,-,-.68,-,,
.013,.003,.006,.006,AYR,Alloy Res,.006,-,9417,.005,.006,-,,-,-,-,-.37,-,,
.018,.005,-,-,AYM,Altuis Mining,.006,-,-,.008,.01,-,,-,.04,-,-.28,-,,
.22,.115,.165,.16,AOH,Altona Min,.16,-.5,1283,.155,.165,-,,-,-,-,2.40,6.7,,
.245,.076,.195,.195,AJM,Altura Min,.195,-.5,205,.195,.20,-,,-,-,-,-.40,-,,
1.345,.89,1.172,1.145,AWC,Alumina,1.165,-.5,94948,1.16,1.17,-,,-,1.02,-,.02,5825.0,,
.275,.13,-,-,AQO,Ambassador Oil & Gas,.17,-,-,.165,.17,-,,-,-,-,-.50,-,,
1.45,.92,-,-,AXZ,Amex Res,1.30,-,-,1.15,1.32,-,,-,-,-,-.03,-,,
.265,.075,.21,.20,AMX,Ampella Min,.205,+1.5,2815,.205,.21,-,,-,-,-,-7.27,-,,
.10,.032,.078,.078,AEK,Anatolia Energy,.078,-.2,146,.072,.086,-,,-,-,-,-.58,-,,
.002,.002,-,-,AEKO,  opt jun17,.002,-,-,.002,-,-,,-,-,-,-,-,,
.19,.19,-,-,AHR,Anchor Res,.19,-,-,.03,.175,-,,-,-,-,-2.51,-,,
1.25,1.079,-,-,ATM,Aneka Tambang cdi,1.10,-,-,1.10,-,2.11,,186.96,-,1.92,394.49,.3,,
.07,.004,.016,.016,AAR,Anglo Aust Res,.016,-,32,.016,.018,-,,-,-,-,-1.52,-,,
4.74,2.49,3.97,3.96,AGG,Anglogold Ashanti cdi,3.97,-3,1,3.41,3.96,2.72,,-,8.89,.69,-401.41,-,,
.07,.019,.04,.04,AWV,Anova Metals,.04,-.2,500,.035,.042,-,,-,-,-,-.81,-,,
.58,.27,.492,.47,AZZ,Antares Energy,.49,-,10418,.47,.495,-,,-,-,-,5.50,8.9,,
.165,.02,.022,.022,AZY,Antipa Min,.022,-,980,.022,.026,-,,-,-,-,-.78,-,,
.086,.002,-,-,AZYOA,  opt dec14,.005,-,-,.001,.004,-,,-,-,-,-,-,,
.045,.009,-,-,AOM,AO Energy,.025,-,-,-,-,-,,-,-,-,-9.20,-,,
.004,.002,-,-,AAL,APAC Coal,.003,-,-,.003,.012,-,,-,-,-,-.27,-,,
.051,.017,.019,.019,AQQ,Aphrodite Gold,.019,-,474,.017,.019,-,,-,-,-,.06,31.7,,
.12,.021,.072,.065,AOP,Apollo Cons,.065,-.9,2000,.065,.08,-,,-,-,-,-2.05,-,,
.068,.015,.015,.015,AON,Apollo Minerals,.015,-,17079,.014,.017,-,,-,-,-,-4.13,-,,
.92,.535,.675,.655,AQP,Aquarius Platinum,.675,-.5,312,.655,.675,-,,-,-,-,-34.48,-,,
2.85,1.63,2.35,2.27,AQA,Aquila Res,2.32,-5,3410,2.29,2.32,-,,-,-,-,21.86,10.6,,
.14,.062,.084,.08,ARU,Arafura Resources,.083,+.4,930,.082,.083,-,,-,-,-,-3.28,-,,
.009,.002,.005,.005,ARX,ARC Explore,.005,-.1,2855,.005,.006,-,,-,-,-,-.06,-,,
.23,.11,.205,.19,AXE,Archer Explore,.19,-,6595,.19,.20,-,,-,-,-,-.64,-,,
.091,.027,-,-,ARD,Argent Minerals,.031,-,-,.03,.035,-,,-,-,-,-.79,-,,
.015,.01,-,-,ARDO,  opt mar16,.011,-,-,.011,.015,-,,-,-,-,-,-,,
.04,.008,-,-,AVK,Argentina Min,.016,-,-,-,-,-,,-,-,-,-7.42,-,,
.002,.001,-,-,AVKO,  opt mar15,.001,-,-,-,-,-,,-,-,-,-,-,,
.031,.015,-,-,AXT,Argo Explore,.017,-,-,.01,.018,-,,-,-,-,-.91,-,,
.052,.018,.022,.021,ARE,Argonaut Res,.021,-,3988,.021,.026,-,,-,-,-,-3.69,-,,
.053,.007,-,-,AGY,Argosy Minerals,.045,-,-,-,.041,-,,-,-,-,-1.31,-,,
.135,.05,-,-,AHK,Ark Mines,.095,-,-,.002,.07,-,,-,-,-,-5.72,-,,
.375,.15,.18,.175,AJQ,Armour Energy,.18,-1,1467,.17,.18,-,,-,-,-,1.29,14.0,,
.10,.005,-,-,AJQO,  opt aug14,.01,-,-,.003,.015,-,,-,-,-,-,-,,
.013,.003,-,-,ARV,Artemis Res,.003,-,-,.003,.004,-,,-,-,-,-.34,-,,
.001,.001,-,-,ARVO,  opt mar14,.001,-,-,-,-,-,,-,-,-,-,-,,
.002,.001,-,-,ARVOA,  opt aug16,.002,-,-,.001,.002,-,,-,-,-,-,-,,
.065,.015,-,-,AAJ,Aruma Res,.024,-,-,.022,.027,-,,-,-,-,-1.97,-,,
.245,.225,-,-,AJY,Asaplus Res cdi,.245,-,-,-,-,-,,-,-,-,-.21,-,,
.145,.048,-,-,AZQ,Ascot Res,.098,-,-,.095,.098,-,,-,-,-,-9.67,-,,
