ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5412.6 at 2014-04-16T16:41:06. Report at Wednesday, April 16, 2014. Processed Thursday at 2014-04-17T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.14,.075,-,-,TDO,3D Oil,.09,-,-,.085,.09,-,,-,-,-,-.56,-,,
.030,.012,-,-,DDD,3D Res,.018,-,-,.018,.02,-,,-,-,-,-.24,-,,
.16,.021,.031,.031,ARH,A'asian Resources,.031,+.2,500,.029,.033,-,,-,-,-,-4.20,-,,
.215,.085,.10,.10,AYC,A1 Gold,.10,-1.5,100,.095,.115,-,,-,-,-,-.82,-,,
.04,.021,.024,.023,ABU,ABM Res,.023,-.1,28791,.023,.024,-,,-,-,-,-.22,-,,
.016,.007,.01,.01,AJC,Acacia Coal,.01,+.1,1000,.009,.01,-,,-,-,-,-.19,-,,
.09,.042,-,-,ACB,A-Cap Res,.05,-,-,.05,.053,-,,-,-,-,-1.33,-,,
.23,.14,-,-,ACS,Accent Res,.19,-,-,.19,.22,-,,-,-,-,-1.44,-,,
.021,.01,.02,.018,AIV,ActiveX,.02,+.1,10000,.013,.02,-,,-,-,-,-1.23,-,,
.009,.002,-,-,ADD,Adavale Resources,.003,-,-,.003,.004,-,,-,-,-,-.26,-,,
.25,.036,-,-,ADN,Adelaide Res,.05,-,-,.052,.053,-,,-,-,-,-.49,-,,
.42,.295,-,-,ABY,Aditya Birla,.295,-,-,-,-,-,,-,1.59,-,-.21,-,,
.035,.012,-,-,ADY,Admiralty Res,.013,-,-,.013,.014,-,,-,-,-,-2.92,-,,
.001,.001,-,-,AVD,Advance Energy,.001,-,-,-,.001,-,,-,-,-,-.32,-,,
.022,.012,-,-,ADX,ADX Energy,.012,-,-,.011,.012,-,,-,-,-,-1.33,-,,
.27,.105,.15,.15,AQR,AEON Metals,.15,-,940,.145,.15,-,,-,-,-,-.80,-,,
.009,.001,.004,.003,ACJ,African Chrome Flds,.003,-,20000,.003,.004,-,,-,-,-,-.14,-,,
.175,.063,.085,.08,AFR,African Energy Res cdi,.081,+.1,1224,.081,.085,-,,-,-,-,-3.35,-,,
.095,.045,.064,.064,AGR,Aguia Res,.064,+.7,2500,.057,.064,-,,-,-,-,-1.76,-,,
3.78,1.94,2.705,2.66,AQG,Alacer Gold cdi,2.70,-4,3019,2.67,2.79,2.20,,-,-,.81,-173.22,-,,
.12,.035,.11,.105,AUQ,Alara Res,.11,+1,1210,.105,.11,-,,-,-,-,-.67,-,,
.12,.021,-,-,ALY,Alchemy Resources,.03,-,-,.025,.029,-,,-,-,-,-1.48,-,,
