ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5382.0 at 2014-06-30T16:46:05. Report at Monday, June 30, 2014. Processed Tuesday at 2014-07-01T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.135,.064,.07,.07,TDO,3D Oil,.07,+.6,920,.065,.07,-,,-,-,-,-.56,-,,
.030,.012,.015,.015,DDD,3D Res,.015,-,59,.012,.014,-,,-,-,-,-.24,-,,
.16,.018,.03,.023,ARH,A'asian Resources,.023,-,942,.022,.026,-,,-,-,-,-4.20,-,,
.186,.05,.055,.055,AYC,A1 Gold,.055,-,10,.02,.055,-,,-,-,-,-.82,-,,
.04,.016,.02,.019,ABU,ABM Res,.02,-,34348,.019,.02,-,,-,-,-,-.22,-,,
.016,.005,.005,.005,AJC,Acacia Coal,.005,-,13909,.005,.006,-,,-,-,-,-.19,-,,
.086,.042,.046,.045,ACB,A-Cap Res,.045,-.1,3843,.045,.047,-,,-,-,-,-1.33,-,,
.23,.14,.205,.205,ACS,Accent Res,.205,-,121,.18,.205,-,,-,-,-,-1.44,-,,
.022,.01,-,-,AIV,ActiveX,.018,-,-,.018,.019,-,,-,-,-,-1.23,-,,
.008,.002,.002,.002,ADD,Adavale Resources,.002,-,15025,.001,.002,-,,-,-,-,-.26,-,,
.10,.038,.043,.042,ADN,Adelaide Res,.042,-.1,6637,.042,.045,-,,-,-,-,-.49,-,,
.395,.15,.205,.19,ABY,Aditya Birla,.19,-,2997,.19,.205,-,,-,1.64,-,-.07,-,,
.022,.011,.012,.012,ADY,Admiralty Res,.012,-,9683,.012,.013,-,,-,-,-,-2.92,-,,
.06,.003,-,-,AVD,Advance Energy,.003,-,-,.003,.006,-,,-,-,-,-19.20,-,,
.022,.01,.013,.012,ADX,ADX Energy,.012,-,2030,.012,.014,-,,-,-,-,-1.33,-,,
.22,.105,.135,.135,AQR,AEON Metals,.135,-,2172,.13,.135,-,,-,-,-,-.80,-,,
.009,.001,.002,.002,ACJ,African Chrome Flds,.002,-.1,200,.002,.003,-,,-,-,-,-.14,-,,
.175,.069,.081,.075,AFR,African Energy Res cdi,.075,-.5,1234,.075,.081,-,,-,-,-,-3.35,-,,
.09,.04,.04,.04,AGR,Aguia Res,.04,-,1550,.04,.053,-,,-,-,-,-1.76,-,,
3.78,2.01,2.65,2.57,AQG,Alacer Gold cdi,2.58,+1,2510,2.55,2.59,2.20,,-,-,.85,-173.22,-,,
.14,.035,.05,.047,AUQ,Alara Res,.047,+.1,16843,.047,.052,-,,-,-,-,-.67,-,,
.12,.015,.019,.018,ALY,Alchemy Resources,.019,+.1,9009,.018,.025,-,,-,-,-,-1.48,-,,
.011,.001,-,-,AWD,Aleator Energy,.001,-,-,-,.001,-,,-,-,-,-.15,-,,
.003,.001,-,-,AWDO,  opt jan15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.33,.145,.16,.155,AQI,Alicanto Min,.16,-2,550,.12,.16,-,,-,-,-,-6.70,-,,
.48,.25,.27,.265,ALK,Alkane Res,.265,-,1941,.265,.27,-,,-,-,-,20.27,1.3,,
.033,.007,-,-,AHQ,Allegiance Coal,.007,-,-,.006,.015,-,,-,-,-,-.95,-,,
.27,.10,.18,.16,AGS,Alliance Res,.16,-2,8494,.16,.17,-,,-,-,-,-2.11,-,,
.085,.027,.034,.034,AGE,Alligator Energy,.034,-,540,.034,.036,-,,-,-,-,-.68,-,,
.013,.003,.007,.006,AYR,Alloy Res,.006,-.1,15098,.006,.007,-,,-,-,-,-.37,-,,
.009,.003,-,-,AYM,Altuis Mining,.004,-,-,.004,.006,-,,-,.04,-,-.28,-,,
.195,.12,.16,.16,AOH,Altona Min,.16,-.5,4083,.155,.165,-,,-,-,-,2.40,6.7,,
.245,.095,.145,.14,AJM,Altura Min,.14,-.5,1150,.14,.15,-,,-,-,-,-.40,-,,
1.537,.935,1.375,1.345,AWC,Alumina,1.35,+.5,69946,1.345,1.35,-,,-,1.02,-,.02,6750.0,,
.38,.13,.38,.37,AQO,Ambassador Oil & Gas,.38,+1,9435,.365,.38,-,,-,-,-,-.50,-,,
1.35,.92,-,-,AXZ,Amex Res,1.00,-,-,.85,.99,-,,-,-,-,-.03,-,,
.10,.032,.082,.082,AEK,Anatolia Energy,.082,-.3,100,.082,.09,-,,-,-,-,-.58,-,,
.002,.002,-,-,AEKO,  opt jun17,.002,-,-,.006,-,-,,-,-,-,-,-,,
.19,.19,-,-,AHR,Anchor Res,.19,-,-,.03,.22,-,,-,-,-,-2.51,-,,
1.10,1.075,-,-,ATM,Aneka Tambang cdi,1.10,-,-,1.10,-,2.49,,158.43,-,2.26,394.49,.3,,
.06,.004,.01,.01,AAR,Anglo Aust Res,.01,-,260,.01,.013,-,,-,-,-,-1.52,-,,
4.31,2.49,3.45,3.42,AGG,Anglogold Ashanti cdi,3.44,+3,21,3.44,3.56,1.81,,-,8.89,.53,-401.41,-,,
.05,.019,.031,.03,AWV,Anova Metals,.031,-.5,7213,.03,.035,-,,-,-,-,-.81,-,,
.58,.36,.545,.53,AZZ,Antares Energy,.53,-1,8628,.53,.535,-,,-,-,-,8.90,6.0,,
.053,.012,.015,.014,AZY,Antipa Min,.015,+.1,7858,.015,.018,-,,-,-,-,-.78,-,,
.014,.001,-,-,AZYOA,  opt dec14,.001,-,-,-,.001,-,,-,-,-,-,-,,
.007,.002,-,-,AAL,APAC Coal,.003,-,-,.003,.015,-,,-,-,-,-.27,-,,
.032,.013,.013,.013,AQQ,Aphrodite Gold,.013,-,1262,.011,.013,-,,-,-,-,.06,21.7,,
.08,.019,.057,.057,AOP,Apollo Cons,.057,-,12,.057,.072,-,,-,-,-,-2.05,-,,
.048,.012,.026,.023,AON,Apollo Minerals,.023,-.4,1620,.023,.027,-,,-,-,-,-4.13,-,,
.527,.304,.435,.42,AQP,Aquarius Platinum,.42,-,2259,.42,.425,-,,-,-,-,-34.48,-,,
3.77,1.695,3.395,3.38,AQA,Aquila Res,3.38,-,4280,3.38,3.39,-,,-,-,-,21.86,15.5,,
.135,.055,.063,.058,ARU,Arafura Resources,.058,-.8,3463,.059,.062,-,,-,-,-,-3.28,-,,
.009,.002,.003,.003,ARX,ARC Explore,.003,-.1,2654,.003,.004,-,,-,-,-,-.16,-,,
.23,.11,.155,.145,AXE,Archer Explore,.145,-.5,2096,.145,.155,-,,-,-,-,-.64,-,,
.014,.005,.011,.01,AWO,Ardent Res,.011,+.2,20650,.008,.011,-,,-,-,-,-.33,-,,
.059,.02,.03,.029,ARD,Argent Minerals,.029,+.1,1161,.029,.035,-,,-,-,-,-.79,-,,
.015,.009,-,-,ARDO,  opt mar16,.009,-,-,.01,.015,-,,-,-,-,-,-,,
.024,.007,.011,.01,AVK,Argentina Min,.01,-,3800,.01,.012,-,,-,-,-,-7.42,-,,
.001,.001,-,-,AVKO,  opt mar15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.029,.01,.011,.01,AXT,Argo Explore,.011,-,525,.012,.026,-,,-,-,-,-.91,-,,
.033,.018,.022,.022,ARE,Argonaut Res,.022,-.1,1267,.022,.026,-,,-,-,-,-3.69,-,,
.022,.007,-,-,AGY,Argosy Minerals,.009,-,-,.002,.007,-,,-,-,-,-1.31,-,,
.095,.01,-,-,AHK,Ark Mines,.084,-,-,.011,.079,-,,-,-,-,-5.72,-,,
.375,.145,.16,.155,AJQ,Armour Energy,.155,-1,7778,.155,.16,-,,-,-,-,1.29,12.0,,
.10,.001,.005,.004,AJQO,  opt aug14,.005,-.2,1000,-,.005,-,,-,-,-,-,-,,
.013,.002,.003,.002,ARV,Artemis Res,.003,-,30750,.002,.003,-,,-,-,-,-.34,-,,
.002,.001,-,-,ARVOA,  opt aug16,.002,-,-,-,.001,-,,-,-,-,-,-,,
.044,.015,.04,.038,AAJ,Aruma Res,.04,-,1500,.037,.04,-,,-,-,-,-1.97,-,,
.245,.235,-,-,AJY,Asaplus Res cdi,.245,-,-,-,.24,-,,-,-,-,-.21,-,,
.24,.096,.22,.21,AZQ,Ascot Res,.21,-1.5,245,.19,.21,-,,-,-,-,-19.34,-,,
.083,.031,.037,.034,AKM,Aspire Min,.037,-,10089,.037,.039,-,,-,-,-,-.54,-,,
.001,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.06,.015,.032,.032,AHN,Athena Res,.032,-,1550,.032,.04,-,,-,-,-,-.33,-,,
.039,.014,.017,.017,ATV,Atlantic Gold,.017,-,97,.017,.02,-,,-,-,-,-.28,-,,
.003,.001,-,-,ATVCD,  ctg,.001,-,-,-,-,-,,-,-,-,-,-,,
1.24,.545,.64,.63,AGO,Atlas Iron,.63,-.5,55221,.63,.635,3.00,,3.13,1.67,4.76,9.40,6.7,,
2.10,.65,1.75,1.69,ATU,Atrum Coal,1.71,-3,1280,1.70,1.71,-,,-,-,-,-12.97,-,,
.70,.295,.38,.36,AYA,Attila Res,.38,+1,733,.38,.385,-,,-,-,-,-13.54,-,,
.25,.039,-,-,ACP,Audalia Res,.125,-,-,.022,.135,-,,-,-,-,-.33,-,,
.084,.011,.03,.03,AUK,Augur Res,.03,-,223,.024,.035,-,,-,-,-,-.94,-,,
.076,.019,.023,.022,AEE,Aura Energy,.023,+.2,2888,.022,.024,-,,-,-,-,-1.80,-,,
.009,.001,-,-,AEEO,  opt dec14,.005,-,-,-,.005,-,,-,-,-,-,-,,
.29,.145,.245,.23,AMI,Aurelia Metals,.23,-1,841,.235,.245,-,,-,-,-,-1.39,-,,
.18,.06,.075,.075,AOU,Auroch Min,.075,-,40,.055,.063,-,,-,-,-,-.14,-,,
.072,.041,.046,.046,ARM,Aurora Minerals,.046,-.4,1019,.046,.05,-,,-,-,-,-3.00,-,,
.014,.003,.003,.003,ANW,Aus Tin Mining,.003,-.2,28099,.003,.009,-,,-,-,-,-.34,-,,
.081,.01,.048,.044,AUC,Ausgold,.048,+.3,4258,.046,.048,-,,-,-,-,-3.49,-,,
.04,.015,-,-,AUCO,  opt may15,.018,-,-,.018,.025,-,,-,-,-,-,-,,
