ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5634.5 at 2014-08-26T16:41:36. Report at Tuesday, August 26, 2014. Processed Wednesday at 2014-08-27T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.135,.064,-,-,TDO,3D Oil,.085,-,-,.085,.09,-,,-,-,-,-.56,-,,
.029,.012,-,-,DDD,3D Res,.012,-,-,.012,.014,-,,-,-,-,-.24,-,,
.16,.018,.025,.025,ARH,A'asian Resources,.025,-,300,.022,.025,-,,-,-,-,-4.20,-,,
.186,.05,.061,.061,AYC,A1 Gold,.061,-.1,100,.061,.088,-,,-,-,-,-.82,-,,
.57,.24,.395,.375,ABU,ABM Res,.38,+.5,3714,.38,.395,-,,-,-,-,-53.55,-,,
.015,.004,.005,.004,AJC,Acacia Coal,.005,+.1,14312,.004,.005,-,,-,-,-,-.19,-,,
.08,.042,.065,.061,ACB,A-Cap Res,.065,+.7,1000,.059,.065,-,,-,-,-,-1.33,-,,
.23,.14,.18,.18,ACS,Accent Res,.18,-1,150,.18,.21,-,,-,-,-,-1.44,-,,
.022,.011,-,-,AIV,ActiveX,.018,-,-,.018,.019,-,,-,-,-,-1.23,-,,
.007,.001,-,-,ADD,Adavale Resources,.004,-,-,.003,.004,-,,-,-,-,-.26,-,,
.077,.038,.044,.042,ADN,Adelaide Res,.042,-,1054,.043,.046,-,,-,-,-,-.49,-,,
.39,.15,.255,.25,ABY,Aditya Birla,.25,-,3796,.25,.265,-,,-,1.64,-,-.07,-,,
.032,.011,.025,.02,ADY,Admiralty Res,.023,-.2,8134,.022,.024,-,,-,-,-,-2.92,-,,
.022,.01,-,-,ADX,ADX Energy,.011,-,-,.011,.012,-,,-,-,-,-.60,-,,
.24,.105,.235,.23,AQR,AEON Metals,.23,+.5,1310,.225,.23,-,,-,-,-,-.80,-,,
.009,.001,.006,.005,ACJ,African Chrome Flds,.006,+.1,49472,.005,.006,-,,-,-,-,-.14,-,,
.175,.06,.062,.061,AFR,African Energy Res cdi,.061,-.1,1458,.061,.062,-,,-,-,-,-3.35,-,,
.09,.038,.043,.043,AGR,Aguia Res,.043,+.2,2500,.043,.046,-,,-,-,-,-1.76,-,,
3.65,2.01,2.33,2.29,AQG,Alacer Gold cdi,2.31,-1,2354,2.29,2.36,2.20,,-,-,.95,-5.88,-,,
.14,.035,-,-,AUQ,Alara Res,.052,-,-,.047,.055,-,,-,-,-,-.67,-,,
.12,.015,.025,.021,ALY,Alchemy Resources,.025,+.7,3218,.025,.027,-,,-,-,-,-1.48,-,,
.011,.001,.001,.001,AWD,Aleator Energy,.001,-,40000,.001,.001,-,,-,-,-,-.15,-,,
.003,.001,-,-,AWDO,  opt jan15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.33,.15,.20,.20,AQI,Alicanto Min,.20,-,300,.16,.20,-,,-,-,-,-6.70,-,,
.47,.20,.235,.22,ALK,Alkane Res,.22,-,3424,.22,.23,-,,-,-,-,20.27,1.1,,
.033,.007,-,-,AHQ,Allegiance Coal,.028,-,-,.027,.028,-,,-,-,-,-.95,-,,
.27,.11,.20,.185,AGS,Alliance Res,.185,-1,5103,.185,.19,-,,-,-,-,-2.11,-,,
.082,.027,.046,.043,AGE,Alligator Energy,.044,-.2,5781,.044,.049,-,,-,-,-,-.68,-,,
.013,.005,.008,.008,AYR,Alloy Res,.008,-,12244,.007,.008,-,,-,-,-,-.37,-,,
.009,.003,-,-,AYM,Altuis Mining,.008,-,-,.008,.018,-,,-,.04,-,-.28,-,,
.237,.13,.225,.22,AOH,Altona Min,.225,+.5,2624,.22,.225,-,,-,-,-,2.40,9.4,,
.245,.10,.16,.155,AJM,Altura Min,.155,-.5,106,.155,.16,-,,-,-,-,-.40,-,,
1.625,.935,1.555,1.51,AWC,Alumina,1.52,-2,92789,1.52,1.525,-,,-,1.00,-,-1.68,-,,
.38,.13,.33,.33,AQO,Ambassador Oil & Gas,.33,-,8084,.325,.33,-,,-,-,-,-1.02,-,,
1.35,.85,.93,.93,AXZ,Amex Res,.93,-6,22,.80,.93,-,,-,-,-,-.03,-,,
.105,.06,-,-,AEK,Anatolia Energy,.091,-,-,.10,.098,-,,-,-,-,-.58,-,,
.002,.002,-,-,AEKO,  opt jun17,.002,-,-,.006,-,-,,-,-,-,-,-,,
.19,.19,-,-,AHR,Anchor Res,.19,-,-,.075,.19,-,,-,-,-,-2.51,-,,
1.10,1.075,-,-,ATM,Aneka Tambang cdi,1.10,-,-,1.10,-,.38,,1038.13,-,.35,394.49,.3,,
.05,.004,-,-,AAR,Anglo Aust Res,.011,-,-,.01,.014,-,,-,-,-,-1.52,-,,
4.31,2.49,3.53,3.51,AGG,Anglogold Ashanti cdi,3.51,-10,20,3.50,3.80,.91,,-,8.89,.26,-401.41,-,,
.05,.019,-,-,AWV,Anova Metals,.033,-,-,.032,.035,-,,-,-,-,-.81,-,,
.68,.36,.64,.595,AZZ,Antares Energy,.62,+.5,3754,.595,.62,-,,-,-,-,8.90,7.0,,
.20,.001,.20,.19,AVD,Antilles Oil & Gas,.19,-,457,.19,.20,-,,-,-,-,-19.20,-,,
.053,.012,.015,.014,AZY,Antipa Min,.014,-.1,3950,.014,.017,-,,-,-,-,-.78,-,,
.014,.001,-,-,AZYOA,  opt dec14,.003,-,-,-,.003,-,,-,-,-,-,-,,
.007,.002,-,-,AAL,APAC Coal,.003,-,-,.003,.005,-,,-,-,-,-.27,-,,
.032,.01,-,-,AQQ,Aphrodite Gold,.013,-,-,.013,.014,-,,-,-,-,.06,21.7,,
.08,.028,.035,.035,AOP,Apollo Cons,.035,-.3,125,.035,.039,-,,-,-,-,-2.05,-,,
.039,.012,.023,.022,AON,Apollo Minerals,.022,-.1,44160,.022,.023,-,,-,-,-,-4.13,-,,
.527,.304,.425,.415,AQP,Aquarius Platinum,.425,+.5,918,.415,.425,-,,-,-,-,-1.47,-,,
.135,.055,.081,.078,ARU,Arafura Resources,.078,-.2,254,.078,.079,-,,-,-,-,-3.28,-,,
.009,.003,-,-,ARX,ARC Explore,.004,-,-,.004,.005,-,,-,-,-,-.16,-,,
.235,.14,.20,.185,AXE,Archer Explore,.185,-1.5,3717,.185,.19,-,,-,-,-,-.64,-,,
.017,.005,-,-,AWO,Ardent Res,.016,-,-,.013,.016,-,,-,-,-,-.33,-,,
.059,.02,-,-,ARD,Argent Minerals,.027,-,-,.027,.03,-,,-,-,-,-.79,-,,
.015,.009,-,-,ARDO,  opt mar16,.011,-,-,.011,-,-,,-,-,-,-,-,,
.029,.007,.021,.021,AVK,Argentina Min,.021,-.1,2000,.021,.023,-,,-,-,-,-7.42,-,,
.001,.001,-,-,AVKO,  opt mar15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.029,.01,-,-,AXT,Argo Explore,.012,-,-,.015,.02,-,,-,-,-,-.91,-,,
.035,.018,.023,.023,ARE,Argonaut Res,.023,-.2,45,.023,.024,-,,-,-,-,-3.69,-,,
.017,.003,-,-,AGY,Argosy Minerals,.004,-,-,.004,.005,-,,-,-,-,-1.31,-,,
.095,.01,-,-,AHK,Ark Mines,.07,-,-,.07,.08,-,,-,-,-,-5.72,-,,
.36,.087,.098,.097,AJQ,Armour Energy,.098,+.5,1400,.097,.098,-,,-,-,-,1.29,7.6,,
.008,.002,-,-,ARV,Artemis Res,.003,-,-,.002,.003,-,,-,-,-,-.34,-,,
.002,.001,-,-,ARVOA,  opt aug16,.002,-,-,-,.001,-,,-,-,-,-,-,,
.044,.015,.035,.035,AAJ,Aruma Res,.035,-.1,930,.027,.035,-,,-,-,-,-1.97,-,,
.245,.245,-,-,AJY,Asaplus Res cdi,.245,-,-,.001,.24,-,,-,-,-,-.54,-,,
.24,.096,.215,.21,AZQ,Ascot Res,.215,-,1450,.21,.215,-,,-,-,-,-19.34,-,,
.083,.031,.054,.053,AKM,Aspire Min,.053,-.2,1670,.053,.054,-,,-,-,-,-.54,-,,
.001,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.06,.027,-,-,AHN,Athena Res,.03,-,-,.03,.034,-,,-,-,-,-.33,-,,
.039,.014,-,-,ATV,Atlantic Gold,.02,-,-,-,-,-,,-,-,-,-.28,-,,
.001,.001,-,-,ATVCD,  ctg,.001,-,-,-,-,-,,-,-,-,-,-,,
.14,.07,.14,.14,AGB,Spur Ventures cdi,.14,+7,1,.18,.35,-,,-,-,-,-,-,,
.005,.002,.005,.005,AGBO,  opt aug18,.005,+.3,-,.008,-,-,,-,-,-,-,-,,
1.24,.545,.625,.59,AGO,Atlas Iron,.605,+1,76261,.60,.61,3.00,,3.13,1.67,4.96,9.40,6.4,,
2.10,.96,1.57,1.54,ATU,Atrum Coal,1.54,-1,150,1.53,1.57,-,,-,-,-,-12.97,-,,
.70,.295,.35,.35,AYA,Attila Res,.35,+1,1020,.35,.355,-,,-,-,-,-13.54,-,,
.16,.039,-,-,ACP,Audalia Res,.16,-,-,.095,.15,-,,-,-,-,-.33,-,,
.084,.016,-,-,AUK,Augur Res,.029,-,-,.026,.03,-,,-,-,-,-.94,-,,
.06,.019,-,-,AEE,Aura Energy,.034,-,-,.032,.033,-,,-,-,-,-1.80,-,,
.005,.001,-,-,AEEO,  opt dec14,.005,-,-,-,.01,-,,-,-,-,-,-,,
.42,.195,.405,.39,AMI,Aurelia Metals,.395,-,4580,.395,.40,-,,-,-,-,-1.39,-,,
.18,.042,-,-,AOU,Auroch Min,.042,-,-,-,-,-,,-,-,-,-.14,-,,
.072,.041,.05,.05,ARM,Aurora Minerals,.05,-,120,.05,.052,-,,-,-,-,-3.00,-,,
.011,.003,-,-,ANW,Aus Tin Mining,.007,-,-,.007,.008,-,,-,-,-,-.34,-,,
.081,.01,.051,.051,AUC,Ausgold,.051,-.1,60,.051,.053,-,,-,-,-,-3.49,-,,
.04,.015,-,-,AUCO,  opt may15,.018,-,-,.015,.029,-,,-,-,-,-,-,,
.016,.006,.01,.01,AOA,Ausmon Resources,.01,+.1,3800,.008,.01,-,,-,-,-,-.35,-,,
