ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5654.6 at 2014-09-03T16:38:36. Report at Wednesday, September 3, 2014. Processed Thursday at 2014-09-04T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.135,.064,-,-,TDO,3D Oil,.085,-,-,.082,.085,-,,-,-,-,-.56,-,,
.029,.012,-,-,DDD,3D Res,.012,-,-,.011,.014,-,,-,-,-,-.24,-,,
.16,.018,.022,.022,ARH,A'asian Resources,.022,-,500,.022,.024,-,,-,-,-,-4.20,-,,
.186,.05,-,-,AYC,A1 Gold,.06,-,-,.051,.059,-,,-,-,-,-.82,-,,
.57,.24,.39,.37,ABU,ABM Res,.39,-.5,5011,.38,.395,-,,-,-,-,-53.55,-,,
.015,.004,.006,.006,AJC,Acacia Coal,.006,-,2000,.006,.007,-,,-,-,-,-.19,-,,
.08,.042,-,-,ACB,A-Cap Res,.061,-,-,.061,.066,-,,-,-,-,-1.33,-,,
.23,.14,.18,.18,ACS,Accent Res,.18,-,6,.18,.21,-,,-,-,-,-1.44,-,,
.022,.011,-,-,AIV,ActiveX,.018,-,-,.018,.02,-,,-,-,-,-.21,-,,
.007,.001,-,-,ADD,Adavale Resources,.003,-,-,.003,.004,-,,-,-,-,-.26,-,,
.077,.038,.04,.04,ADN,Adelaide Res,.04,-.2,2,.04,.042,-,,-,-,-,-.49,-,,
.38,.15,.265,.26,ABY,Aditya Birla,.265,-,165,.265,.275,-,,-,1.64,-,-.07,-,,
.032,.011,.025,.025,ADY,Admiralty Res,.025,-,109,.025,.027,-,,-,-,-,-2.92,-,,
.022,.01,-,-,ADX,ADX Energy,.01,-,-,.01,.011,-,,-,-,-,-.60,-,,
.24,.105,.215,.20,AQR,AEON Metals,.215,+2,200,.18,.20,-,,-,-,-,-.80,-,,
.009,.001,-,-,ACJ,African Chrome Flds,.005,-,-,.005,.006,-,,-,-,-,-.14,-,,
.175,.058,.063,.06,AFR,African Energy Res cdi,.06,-.3,1230,.061,.066,-,,-,-,-,-3.35,-,,
.09,.038,-,-,AGR,Aguia Res,.046,-,-,.046,.05,-,,-,-,-,-1.76,-,,
3.65,2.01,2.38,2.34,AQG,Alacer Gold cdi,2.36,-5,1781,2.36,2.37,2.20,,-,-,.93,-5.88,-,,
.14,.035,.047,.047,AUQ,Alara Res,.047,-,12,.047,.049,-,,-,-,-,-.67,-,,
.12,.015,.025,.024,ALY,Alchemy Resources,.025,+.3,782,.024,.025,-,,-,-,-,-1.48,-,,
.011,.001,.002,.002,AWD,Aleator Energy,.002,+.1,100000,.001,.002,-,,-,-,-,-.15,-,,
.003,.001,-,-,AWDO,  opt jan15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.33,.15,-,-,AQI,Alicanto Min,.20,-,-,.16,.165,-,,-,-,-,-6.70,-,,
.47,.20,.245,.235,ALK,Alkane Res,.245,+1.5,5208,.24,.245,-,,-,-,-,20.27,1.2,,
.033,.007,.027,.027,AHQ,Allegiance Coal,.027,-.1,190,.027,.028,-,,-,-,-,-.95,-,,
.27,.11,.21,.195,AGS,Alliance Res,.21,+1,2112,.20,.21,-,,-,-,-,-2.11,-,,
.082,.027,.048,.048,AGE,Alligator Energy,.048,+.1,614,.042,.048,-,,-,-,-,-.68,-,,
.013,.005,.008,.008,AYR,Alloy Res,.008,-,3400,.008,.009,-,,-,-,-,-.37,-,,
.009,.003,-,-,AYM,Altuis Mining,.008,-,-,.006,.018,-,,-,.04,-,-.28,-,,
.237,.13,.225,.215,AOH,Altona Min,.215,-1,2752,.215,.22,-,,-,-,-,2.40,9.0,,
.245,.10,.145,.145,AJM,Altura Min,.145,-,150,.145,.15,-,,-,-,-,-.40,-,,
1.625,.935,1.617,1.57,AWC,Alumina,1.605,+1.5,105594,1.60,1.605,-,,-,1.00,-,-1.68,-,,
.38,.13,-,-,AQO,Ambassador Oil & Gas,.315,-,-,.31,.35,-,,-,-,-,-1.02,-,,
1.35,.85,.925,.89,AXZ,Amex Res,.925,+.5,123,.925,.98,-,,-,-,-,-.03,-,,
.105,.06,.08,.078,AEK,Anatolia Energy,.078,-.2,6774,.078,.085,-,,-,-,-,-.58,-,,
.006,.002,.006,.006,AEKO,  opt jun17,.006,+.4,5,.01,-,-,,-,-,-,-,-,,
.19,.19,-,-,AHR,Anchor Res,.19,-,-,.075,.19,-,,-,-,-,-2.51,-,,
1.10,1.075,-,-,ATM,Aneka Tambang cdi,1.10,-,-,-,1.10,.38,,1038.13,-,.35,394.49,.3,,
.05,.004,.01,.01,AAR,Anglo Aust Res,.01,-.1,5191,.01,.011,-,,-,-,-,-1.52,-,,
4.31,2.49,-,-,AGG,Anglogold Ashanti cdi,3.79,-,-,3.30,3.72,.91,,-,8.89,.24,-401.41,-,,
.05,.019,.035,.035,AWV,Anova Metals,.035,+.1,646,.032,.035,-,,-,-,-,-.81,-,,
.68,.36,.60,.555,AZZ,Antares Energy,.575,-2,3260,.565,.575,-,,-,-,-,8.90,6.5,,
.21,.001,-,-,AVD,Antilles Oil & Gas,.20,-,-,.20,.21,-,,-,-,-,-1536.00,-,,
.051,.012,-,-,AZY,Antipa Min,.013,-,-,.011,.015,-,,-,-,-,-.78,-,,
.014,.001,-,-,AZYOA,  opt dec14,.003,-,-,-,.003,-,,-,-,-,-,-,,
.007,.002,-,-,AAL,APAC Coal,.003,-,-,.003,.005,-,,-,-,-,-.27,-,,
.032,.01,-,-,AQQ,Aphrodite Gold,.015,-,-,.014,.016,-,,-,-,-,.06,25.0,,
.08,.028,.035,.035,AOP,Apollo Cons,.035,-,181,.035,.038,-,,-,-,-,-2.05,-,,
.037,.012,.031,.027,AON,Apollo Minerals,.03,+.3,131856,.03,.031,-,,-,-,-,-4.13,-,,
.527,.304,.43,.42,AQP,Aquarius Platinum,.42,-.5,1541,.42,.43,-,,-,-,-,-1.47,-,,
.135,.055,.08,.08,ARU,Arafura Resources,.08,-,1548,.079,.08,-,,-,-,-,-3.28,-,,
.009,.003,.005,.005,ARX,ARC Explore,.005,-,2500,.005,.006,-,,-,-,-,-.16,-,,
.235,.14,.185,.185,AXE,Archer Explore,.185,+.5,1713,.18,.185,-,,-,-,-,-.64,-,,
.017,.005,-,-,AWO,Ardent Res,.013,-,-,.013,.016,-,,-,-,-,-.33,-,,
.059,.02,-,-,ARD,Argent Minerals,.03,-,-,.026,.03,-,,-,-,-,-.79,-,,
.015,.009,-,-,ARDO,  opt mar16,.011,-,-,.011,-,-,,-,-,-,-,-,,
.029,.007,.027,.026,AVK,Argentina Min,.026,+.1,200,.022,.026,-,,-,-,-,-7.42,-,,
.001,.001,-,-,AVKO,  opt mar15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.004,.004,-,-,AVKOA,  opt dec16,.004,-,-,-,.004,-,,-,-,-,-,-,,
.029,.01,-,-,AXT,Argo Explore,.015,-,-,.015,.02,-,,-,-,-,-.91,-,,
.035,.018,-,-,ARE,Argonaut Res,.023,-,-,.022,.023,-,,-,-,-,-3.69,-,,
.017,.003,-,-,AGY,Argosy Minerals,.003,-,-,.003,.004,-,,-,-,-,-1.31,-,,
.095,.01,-,-,AHK,Ark Mines,.08,-,-,.08,.089,-,,-,-,-,-5.72,-,,
.36,.087,.097,.093,AJQ,Armour Energy,.095,-.2,2448,.092,.095,-,,-,-,-,1.29,7.4,,
.006,.002,-,-,ARV,Artemis Res,.003,-,-,.002,.003,-,,-,-,-,-.34,-,,
.002,.001,-,-,ARVOA,  opt aug16,.002,-,-,-,.001,-,,-,-,-,-,-,,
.044,.015,.03,.03,AAJ,Aruma Res,.03,-,2128,.027,.03,-,,-,-,-,-1.97,-,,
.245,.245,-,-,AJY,Asaplus Res cdi,.245,-,-,.001,.24,-,,-,-,-,-.54,-,,
.24,.096,.21,.21,AZQ,Ascot Res,.21,+1,1450,.21,.215,-,,-,-,-,-19.34,-,,
.083,.031,.052,.05,AKM,Aspire Min,.05,-.5,3240,.051,.054,-,,-,-,-,-.54,-,,
.001,.001,-,-,ARO,Astro Res,.001,-,-,-,.001,-,,-,-,-,-.04,-,,
.06,.03,.036,.033,AHN,Athena Res,.033,-,3276,.033,.035,-,,-,-,-,-.33,-,,
.50,.07,.37,.35,AGB,Spur Ventures cdi,.35,-10,158,.35,.40,-,,-,-,-,-,-,,
.005,.002,-,-,AGBO,  opt aug18,.005,-,-,.032,-,-,,-,-,-,-,-,,
1.24,.545,.585,.572,AGO,Atlas Iron,.585,-,42156,.58,.585,2.00,,.95,1.61,3.42,1.91,30.6,,
2.10,1.20,1.515,1.45,ATU,Atrum Coal,1.51,+3,645,1.46,1.515,-,,-,-,-,-12.97,-,,
.70,.295,-,-,AYA,Attila Res,.345,-,-,.345,.38,-,,-,-,-,-13.54,-,,
.16,.039,-,-,ACP,Audalia Res,.16,-,-,.022,.15,-,,-,-,-,-.33,-,,
.084,.017,-,-,AUK,Augur Res,.029,-,-,.026,.03,-,,-,-,-,-.94,-,,
.058,.019,.036,.034,AEE,Aura Energy,.035,+.5,3525,.035,.037,-,,-,-,-,-1.80,-,,
.005,.001,-,-,AEEO,  opt dec14,.005,-,-,-,.005,-,,-,-,-,-,-,,
.435,.195,.40,.39,AMI,Aurelia Metals,.39,-1,3227,.39,.40,-,,-,-,-,-1.39,-,,
.18,.042,-,-,AOU,Auroch Min,.042,-,-,-,-,-,,-,-,-,-.14,-,,
.072,.041,.05,.05,ARM,Aurora Minerals,.05,-,35,.05,.054,-,,-,-,-,-3.00,-,,
.011,.003,-,-,ANW,Aus Tin Mining,.007,-,-,.007,.008,-,,-,-,-,-.34,-,,
.081,.01,-,-,AUC,Ausgold,.049,-,-,.049,.051,-,,-,-,-,-3.49,-,,
.04,.012,-,-,AUCO,  opt may15,.012,-,-,.012,.029,-,,-,-,-,-,-,,
.016,.006,-,-,AOA,Ausmon Resources,.01,-,-,.008,.01,-,,-,-,-,-.35,-,,
.016,.004,.004,.004,AQC,Aust Pacific Coal,.004,-,15688,.004,.005,-,,-,-,-,-.27,-,,
.042,.01,-,-,AQD,AusQuest,.014,-,-,.013,.015,-,,-,-,-,-4.95,-,,
.02,.004,-,-,AQDO,  opt nov16,.007,-,-,.005,.008,-,,-,-,-,-,-,,
.29,.15,.25,.24,ABX,Aust Bauxite,.245,-,4174,.24,.245,-,,-,-,-,-1.51,-,,
.12,.07,.088,.088,AKA,Aust Minerals &  Min,.088,-,2983,.087,.088,-,,-,-,-,-1.10,-,,
.02,.005,-,-,AKAO,  opt may15,.015,-,-,.006,.025,-,,-,-,-,-,-,,
.02,.003,.016,.014,AUZ,Aust Mines,.015,-.2,37040,.015,.017,-,,-,-,-,-1.25,-,,
.165,.06,.135,.13,AOC,Aust Oil Co,.135,+1.5,1458,.125,.135,-,,-,-,-,-.03,-,,
1.30,.17,.20,.19,ARW,Aust Renewable,.20,+1,1545,.19,.20,-,,-,.54,-,-6.06,-,,
.285,.11,.265,.26,AOK,AusTex Oil,.26,-.5,3753,.26,.265,-,,-,-,-,-.26,-,,
.026,.009,.02,.019,AKK,Austin Explore,.02,-,188543,.02,.021,-,,-,-,-,-.08,-,,
.037,.015,.021,.019,APG,Austpac Res,.019,-,3549,.019,.02,-,,-,-,-,-.33,-,,
.19,.065,-,-,AGD,Austral Gold,.12,-,-,.11,.13,-,,-,-,-,-.83,-,,
.026,.006,.007,.007,AVI,Avalon Minerals,.007,-,3322,.007,.008,-,,-,-,-,-.52,-,,
.115,.054,.094,.091,AVB,Avanco Res,.092,+.1,18475,.092,.094,-,,-,-,-,-.16,-,,
.012,.006,.009,.008,AVZ,AVZ Minerals,.008,-,2282,.006,.009,-,,-,-,-,-.17,-,,
1.945,1.145,1.835,1.76,AWE,AWE,1.765,-1.5,46163,1.765,1.77,-,f,-,1.55,-,11.96,14.8,,
.019,.001,.014,.013,AXC,AXG Mining,.013,-,6097,.012,.013,-,,-,-,-,-2.85,-,,
