ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5419.0 at 2014-09-18T16:37:36. Report at Thursday, September 18, 2014. Processed Friday at 2014-09-19T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.135,.064,-,-,TDO,3D Oil,.075,-,-,.075,.085,-,,-,-,-,-.56,-,,
.029,.011,-,-,DDD,3D Res,.011,-,-,.011,.012,-,,-,-,-,-.24,-,,
.10,.018,.022,.022,ARH,A'asian Resources,.022,+.1,130,.023,.025,-,,-,-,-,-4.20,-,,
.186,.05,-,-,AYC,A1 Gold,.06,-,-,-,-,-,,-,-,-,-.82,-,,
.51,.24,.36,.335,ABU,ABM Res,.34,-2,2960,.34,.35,-,,-,-,-,-53.55,-,,
.015,.004,-,-,AJC,Acacia Coal,.006,-,-,.006,.007,-,,-,-,-,-.19,-,,
.08,.042,-,-,ACB,A-Cap Res,.065,-,-,.061,.064,-,,-,-,-,-1.33,-,,
.23,.14,-,-,ACS,Accent Res,.18,-,-,.12,.18,-,,-,-,-,-1.44,-,,
.025,.011,.025,.025,AIV,ActiveX,.025,-,388,.021,.025,-,,-,-,-,-.21,-,,
.007,.001,-,-,ADD,Adavale Resources,.003,-,-,.003,.004,-,,-,-,-,-.26,-,,
.077,.036,-,-,ADN,Adelaide Res,.036,-,-,.034,.039,-,,-,-,-,-.49,-,,
.38,.15,.25,.25,ABY,Aditya Birla,.25,-,74,.255,.26,-,,-,1.64,-,-.07,-,,
.032,.011,-,-,ADY,Admiralty Res,.024,-,-,.024,.025,-,,-,-,-,-2.92,-,,
.02,.01,-,-,ADX,ADX Energy,.01,-,-,.009,.01,-,,-,-,-,-.60,-,,
.24,.105,-,-,AQR,AEON Metals,.165,-,-,.16,.17,-,,-,-,-,-.80,-,,
.009,.001,.004,.004,ACJ,African Chrome Flds,.004,+.1,17200,.004,.005,-,,-,-,-,-.14,-,,
.175,.058,.069,.069,AFR,African Energy Res cdi,.069,-.1,679,.069,.07,-,,-,-,-,-3.35,-,,
.081,.038,.042,.041,AGR,Aguia Res,.042,-.1,5800,.04,.042,-,,-,-,-,-1.76,-,,
3.65,1.925,2.04,1.925,AQG,Alacer Gold cdi,1.925,-12.5,11385,1.925,1.965,2.20,,-,-,1.14,-5.88,-,,
.14,.035,.047,.046,AUQ,Alara Res,.046,-.1,3377,.044,.046,-,,-,-,-,-.67,-,,
.12,.015,-,-,ALY,Alchemy Resources,.024,-,-,.021,.022,-,,-,-,-,-1.48,-,,
.011,.001,.001,.001,AWD,Aleator Energy,.001,-,6,.001,.002,-,,-,-,-,-.15,-,,
.003,.001,-,-,AWDO,  opt jan15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.33,.155,-,-,AQI,Alicanto Min,.155,-,-,.15,.16,-,,-,-,-,-6.70,-,,
.47,.20,.26,.24,ALK,Alkane Res,.25,-,9455,.245,.26,-,,-,-,-,20.27,1.2,,
.033,.007,-,-,AHQ,Allegiance Coal,.027,-,-,.027,.028,-,,-,-,-,-.95,-,,
.27,.11,.24,.225,AGS,Alliance Res,.23,-,2904,.225,.23,-,,-,-,-,-2.11,-,,
.082,.031,.048,.043,AGE,Alligator Energy,.048,+.5,3125,.045,.048,-,,-,-,-,-.68,-,,
.013,.005,.009,.009,AYR,Alloy Res,.009,-,6800,.008,.009,-,,-,-,-,-.37,-,,
.009,.003,-,-,AYM,Altuis Mining,.008,-,-,.008,.018,-,,-,.04,-,-.28,-,,
.237,.13,.22,.22,AOH,Altona Min,.22,-,1289,.22,.225,-,,-,-,-,2.40,9.2,,
