ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5441.9 at 2014-10-27T16:44:36. Report at Monday, October 27, 2014. Processed Tuesday at 2014-10-28T01:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.43,.003,.38,.355,1PG,1-Page,.38,-.5,5629,.36,.375,-,,-,-,-,-.20,-,,
.135,.064,-,-,TDO,3D Oil,.08,-,-,.08,.085,-,,-,-,-,-.54,-,,
.029,.007,-,-,DDD,3D Res,.007,-,-,.008,.012,-,,-,-,-,.25,2.8,,
.07,.016,.016,.016,ARH,A'asian Resources,.016,-.5,165,.016,.023,-,,-,-,-,-4.20,-,,
.147,.035,-,-,AYC,A1 Gold,.035,-,-,.021,.035,-,,-,-,-,-.61,-,,
.48,.24,.36,.345,ABU,ABM Res,.345,-1,857,.345,.355,-,,-,-,-,-53.55,-,,
.015,.004,.004,.004,AJC,Acacia Coal,.004,-,100,.004,.005,-,,-,-,-,-.68,-,,
.08,.041,.05,.05,ACB,A-Cap Res,.05,-.2,150,.044,.055,-,,-,-,-,-.79,-,,
.23,.14,-,-,ACS,Accent Res,.15,-,-,.15,.20,-,,-,-,-,-1.47,-,,
.025,.011,.014,.014,AIV,ActiveX,.014,-1,100,.014,.022,-,,-,-,-,-.21,-,,
.007,.001,-,-,ADD,Adavale Resources,.003,-,-,.002,.004,-,,-,-,-,-.33,-,,
.073,.026,-,-,ADN,Adelaide Res,.03,-,-,.029,.03,-,,-,-,-,-2.96,-,,
.38,.15,-,-,ABY,Aditya Birla,.215,-,-,.205,.225,-,,-,1.64,-,-.07,-,,
.032,.011,.029,.028,ADY,Admiralty Res,.029,+.2,1263,.029,.03,-,,-,-,-,-.43,-,,
.019,.008,.009,.009,ADX,ADX Energy,.009,-,3900,.009,.01,-,,-,-,-,-.60,-,,
.24,.105,.13,.125,AQR,AEON Metals,.13,-,600,.125,.13,-,,-,-,-,-2.09,-,,
.009,.001,-,-,ACJ,African Chrome Flds,.004,-,-,.004,.005,-,,-,-,-,-.12,-,,
.175,.055,.09,.075,AFR,African Energy Res cdi,.085,+.5,4480,.075,.085,-,,-,-,-,-1.65,-,,
.075,.038,-,-,AGR,Aguia Res,.04,-,-,.04,.045,-,,-,-,-,-7.57,-,,
3.63,1.925,2.03,1.99,AQG,Alacer Gold cdi,1.99,-5,948,1.99,2.01,2.20,,-,-,1.11,-5.88,-,,
.14,.026,-,-,AUQ,Alara Res,.026,-,-,.021,.03,-,,-,-,-,.30,8.7,,
.12,.015,-,-,ALY,Alchemy Resources,.015,-,-,.015,.02,-,,-,-,-,-1.00,-,,
.007,.001,.001,.001,AWD,Aleator Energy,.001,-,5150,-,.001,-,,-,-,-,-.11,-,,
.002,.001,-,-,AWDO,  opt jan15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.33,.13,-,-,AQI,Alicanto Min,.13,-,-,.095,.13,-,,-,-,-,-6.70,-,,
.47,.17,.245,.24,ALK,Alkane Res,.245,-,628,.245,.25,-,,-,-,-,-1.70,-,,
.033,.007,-,-,AHQ,Allegiance Coal,.025,-,-,.009,.025,-,,-,-,-,-.86,-,,
.27,.11,.18,.18,AGS,Alliance Res,.18,-,50,.18,.185,-,,-,-,-,-4.98,-,,
.082,.031,.037,.036,AGE,Alligator Energy,.036,-,5923,.035,.036,-,,-,-,-,-.47,-,,
.011,.005,.008,.008,AYR,Alloy Res,.008,-,2835,.008,.009,-,,-,-,-,-.12,-,,
.24,.14,.235,.23,AOH,Altona Min,.23,-,2465,.23,.235,-,,-,-,-,2.40,9.6,,
.245,.098,.105,.098,AJM,Altura Min,.098,-.7,2350,.098,.10,-,,-,-,-,-1.54,-,,
1.775,.935,1.695,1.64,AWC,Alumina,1.65,-3.5,96096,1.645,1.66,-,,-,1.00,-,-1.68,-,,
.38,.135,-,-,AQO,Ambassador Oil & Gas,.275,-,-,-,-,-,,-,-,-,-1.02,-,,
1.35,.85,-,-,AXZ,Amex Res,.885,-,-,.61,.79,-,,-,-,-,-17.05,-,,
.105,.063,-,-,AEK,Anatolia Energy,.065,-,-,.062,.072,-,,-,-,-,-1.00,-,,
.006,.002,-,-,AEKO,  opt jun17,.006,-,-,.002,-,-,,-,-,-,-,-,,
.19,.19,-,-,AHR,Anchor Res,.19,-,-,.01,.19,-,,-,-,-,-2.05,-,,
1.10,1.075,-,-,ATM,Aneka Tambang cdi,1.10,-,-,1.10,-,.38,,-,-,.35,-3998.73,-,,
.04,.004,.012,.012,AAR,Anglo Aust Res,.012,-,1000,.012,.013,-,,-,-,-,-.67,-,,
4.31,2.20,-,-,AGG,Anglogold Ashanti cdi,2.20,-,-,2.20,2.25,-,,-,8.89,-,-401.41,-,,
.05,.019,.041,.041,AWV,Anova Metals,.041,+.2,1000,.039,.041,-,,-,-,-,-1.61,-,,
.68,.36,.535,.425,AZZ,Antares Energy,.45,+2.5,88173,.445,.46,-,,-,-,-,1.00,45.0,,
.21,.001,-,-,AVD,Antilles Oil & Gas,.195,-,-,.185,.19,-,,-,-,-,-1120.00,-,,
.032,.007,-,-,AZY,Antipa Min,.007,-,-,.005,.007,-,,-,-,-,-.73,-,,
.008,.001,-,-,AZYOA,  opt dec14,.003,-,-,-,.002,-,,-,-,-,-,-,,
.007,.002,-,-,AAL,APAC Coal,.003,-,-,.003,.004,-,,-,-,-,-.32,-,,
.03,.01,.014,.014,AQQ,Aphrodite Gold,.014,-,400,.012,.014,-,,-,-,-,-.12,-,,
.08,.028,-,-,AOP,Apollo Cons,.032,-,-,.02,.026,-,,-,-,-,-1.50,-,,
.044,.012,.014,.013,AON,Apollo Minerals,.014,-,2000,.013,.014,-,,-,-,-,-3.78,-,,
.50,.295,.335,.32,AQP,Aquarius Platinum,.32,+1,2485,.315,.32,-,,-,-,-,-1.47,-,,
.105,.055,.062,.057,ARU,Arafura Resources,.057,-.4,1480,.057,.058,-,,-,-,-,-1.60,-,,
.009,.003,-,-,ARX,ARC Explore,.003,-,-,.003,.004,-,,-,-,-,-.24,-,,
.235,.14,.16,.15,AXE,Archer Explore,.16,-,4499,.16,.165,-,,-,-,-,-.80,-,,
.017,.005,-,-,AWO,Ardent Res,.013,-,-,.013,.018,-,,-,-,-,-.25,-,,
.059,.02,.03,.03,ARD,Argent Minerals,.03,-,123,.03,.033,-,,-,-,-,-.06,-,,
.015,.009,-,-,ARDO,  opt mar16,.011,-,-,.009,.013,-,,-,-,-,-,-,,
.031,.007,.026,.026,AVK,Argentina Min,.026,-,2424,.025,.028,-,,-,-,-,-7.42,-,,
.001,.001,-,-,AVKO,  opt mar15,.001,-,-,-,.001,-,,-,-,-,-,-,,
.004,.004,-,-,AVKOA,  opt dec16,.004,-,-,-,.005,-,,-,-,-,-,-,,
.029,.01,.02,.02,AXT,Argo Explore,.02,-,50,.018,.02,-,,-,-,-,-.06,-,,
.035,.017,.018,.018,ARE,Argonaut Res,.018,-,8,.018,.021,-,,-,-,-,-.72,-,,
.005,.002,-,-,AREO,  opt mar17,.002,-,-,.002,-,-,,-,-,-,-,-,,
.017,.002,-,-,AGY,Argosy Minerals,.003,-,-,.002,.003,-,,-,-,-,-.60,-,,
.095,.01,-,-,AHK,Ark Mines,.08,-,-,-,.08,-,,-,-,-,-1.21,-,,
.28,.066,.08,.08,AJQ,Armour Energy,.08,-.3,175,.08,.083,-,,-,-,-,-.56,-,,
.006,.002,-,-,ARV,Artemis Res,.003,-,-,.002,.003,-,,-,-,-,-.29,-,,
.002,.001,-,-,ARVOA,  opt aug16,.002,-,-,-,.001,-,,-,-,-,-,-,,
.044,.015,-,-,AAJ,Aruma Res,.025,-,-,.025,.028,-,,-,-,-,-.93,-,,
.245,.24,-,-,AJY,Asaplus Res cdi,.24,-,-,-,.24,-,,-,-,-,-.54,-,,
