ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5396.6 at 2014-11-17T16:42:06. Report at Monday, November 17, 2014. Processed Tuesday at 2014-11-18T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
.43,.003,-,-,1PG,1-Page,.42,-,-,.45,.425,-,,-,-,-,-.20,-,,
.135,.064,.083,.08,TDO,3D Oil,.08,-.1,1945,.078,.08,-,,-,-,-,-.54,-,,
.029,.007,-,-,DDD,3D Res,.007,-,-,.007,.009,-,,-,-,-,.25,2.8,,
.07,.015,.015,.015,ARH,A'asian Resources,.015,-.1,500,.013,.016,-,,-,-,-,-1.30,-,,
.13,.026,-,-,AYC,A1 Gold,.03,-,-,.023,.031,-,,-,-,-,-.61,-,,
.01,.006,.007,.006,AYCO,  opt nov19,.006,-.2,8000,.005,.01,-,,-,-,-,-,-,,
.48,.24,.30,.275,ABU,ABM Res,.275,-,1017,.275,.29,-,,-,-,-,-53.55,-,,
.014,.003,-,-,AJC,Acacia Coal,.003,-,-,.003,.004,-,,-,-,-,-.68,-,,
.08,.041,.063,.063,ACB,A-Cap Res,.063,+.3,9959,.061,.068,-,,-,-,-,-.79,-,,
.23,.14,-,-,ACS,Accent Res,.14,-,-,.14,.20,-,,-,-,-,-1.47,-,,
.025,.011,-,-,AIV,ActiveX,.02,-,-,.014,.02,-,,-,-,-,-.21,-,,
.007,.001,.002,.002,ADD,Adavale Resources,.002,-.1,450,.002,.004,-,,-,-,-,-.33,-,,
.073,.025,.025,.025,ADN,Adelaide Res,.025,-.2,100,.025,.027,-,,-,-,-,-2.96,-,,
.38,.15,.205,.195,ABY,Aditya Birla,.195,-.5,2050,.195,.225,-,,-,1.64,-,-.07,-,,
.034,.011,.033,.031,ADY,Admiralty Res,.033,-,13700,.031,.032,-,,-,-,-,-.43,-,,
.018,.008,.01,.009,ADX,ADX Energy,.009,-,10210,.009,.01,-,,-,-,-,-.60,-,,
.24,.10,.105,.105,AQR,AEON Metals,.105,+.5,125,.10,.115,-,,-,-,-,-2.09,-,,
