ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5389.0 at 2015-08-13T16:37:36. Report at Thursday, August 13, 2015. Processed Friday at 2015-08-14T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
2.96,.013,2.96,2.68,1PG,1-Page,2.95,+27,13470,2.93,2.95,-,,-,.03,-,-8.67,-,,
.096,.044,-,-,TDO,3D Oil,.061,-,-,.053,.06,-,,-,-,-,.90,6.8,,
.012,.004,-,-,DDD,3D Res,.004,-,-,.004,.005,-,,-,-,-,.28,1.4,,
.038,.006,.011,.011,88E,88 Energy,.011,-,51432,.011,.012,-,,-,-,-,-10.79,-,,
.006,.002,-,-,88EO,  opt mar18,.004,-,-,.004,.005,-,,-,-,-,-,-,,
.025,.004,-,-,ARH,A'asian Resources,.006,-,-,.006,.008,-,,-,-,-,-3.90,-,,
.054,.025,.053,.05,AYC,A1 Gold,.053,+.3,6476,.052,.053,-,,-,-,-,-6.91,-,,
.03,.004,-,-,AYCO,  opt nov19,.021,-,-,.021,.028,-,,-,-,-,-,-,,
.043,.001,-,-,ABL,Abilene Oil & Gas,.04,-,-,.018,.035,-,,-,-,-,-6.27,-,,
.419,.195,.225,.22,ABU,ABM Res,.22,-.5,2520,.22,.225,-,,-,-,-,-55.10,-,,
.007,.001,.002,.002,AJC,Acacia Coal,.002,-.1,550,.002,.003,-,,-,-,-,-.02,-,,
.07,.024,-,-,ACB,A-Cap Res,.027,-,-,.021,.024,-,,-,-,-,-.72,-,,
