ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5379.8 at 2015-08-19T16:37:36. Report at Wednesday, August 19, 2015. Processed Thursday at 2015-08-20T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
3.77,.013,3.77,3.45,1PG,1-Page,3.50,-11,5309,3.49,3.54,-,,-,.03,-,-8.67,-,,
.096,.044,-,-,TDO,3D Oil,.059,-,-,.046,.057,-,,-,-,-,.90,6.6,,
.012,.004,.004,.004,DDD,3D Res,.004,-,1669,.004,.005,-,,-,-,-,.28,1.4,,
.038,.006,.011,.01,88E,88 Energy,.01,-.1,15190,.01,.011,-,,-,-,-,-10.79,-,,
.006,.002,.004,.004,88EO,  opt mar18,.004,-,28000,.003,.004,-,,-,-,-,-,-,,
.025,.004,-,-,ARH,A'asian Resources,.006,-,-,.006,.008,-,,-,-,-,-3.90,-,,
.054,.025,.043,.042,AYC,A1 Gold,.042,-.4,3916,.04,.041,-,,-,-,-,-6.91,-,,
.03,.004,-,-,AYCO,  opt nov19,.023,-,-,.018,.028,-,,-,-,-,-,-,,
.043,.001,-,-,ABL,Abilene Oil & Gas,.018,-,-,.024,.035,-,,-,-,-,-6.27,-,,
.404,.195,.22,.205,ABU,ABM Res,.215,+.5,874,.21,.22,-,,-,-,-,-55.10,-,,
.007,.001,-,-,AJC,Acacia Coal,.002,-,-,.002,.003,-,,-,-,-,-.02,-,,
.07,.021,-,-,ACB,A-Cap Res,.021,-,-,.021,.025,-,,-,-,-,-.72,-,,
.36,.115,.15,.15,ACS,Accent Resources,.15,-,100,.14,.27,-,,-,-,-,-7.57,-,,
.035,.014,-,-,AIV,ActiveX,.034,-,-,.016,.027,-,,-,-,-,-.16,-,,
.08,.002,-,-,ADD,Adavale Resources,.02,-,-,.017,.05,-,,-,-,-,-5.05,-,,
.045,.021,.035,.035,ADN,Adelaide Resources,.035,-.4,920,.035,.038,-,,-,-,-,-3.07,-,,
.009,.004,-,-,ADNO,  opt sep16,.009,-,-,.007,.011,-,,-,-,-,-,-,,
.275,.145,.155,.145,ABY,Aditya Birla,.155,+1,-,.155,.16,-,,-,.91,-,-70.11,-,,
.037,.017,-,-,ADY,Admiralty Res,.018,-,-,.018,.02,-,,-,-,-,-.42,-,,
.012,.003,.004,.003,ADX,ADX Energy,.003,-,17597,.003,.004,-,,-,-,-,.11,2.7,,
.235,.052,.052,.052,AQR,AEON Metals,.052,-.3,300,.053,.069,-,,-,-,-,-2.18,-,,
.101,.045,.046,.045,AFR,African Energy Res cdi,.045,-.1,1705,.045,.05,-,,-,-,-,-1.34,-,,
.23,.10,.22,.19,AMN,Agrimin,.22,+1,165,.19,.22,-,,-,-,-,-.85,-,,
.15,.06,-,-,AMNOA,  opt dec15,.15,-,-,.13,.15,-,,-,-,-,-,-,,
.19,.025,.19,.15,AGR,Aguia Res,.18,+3,33048,.18,.19,-,,-,-,-,-10.03,-,,
3.20,1.815,2.99,2.96,AQG,Alacer Gold cdi,2.98,+3,1000,2.95,2.98,-,,-,-,-,34.18,8.7,,
.052,.005,.024,.024,AUQ,Alara Res,.024,+.1,200,.023,.025,-,,-,-,-,-.45,-,,
.051,.013,-,-,ALY,Alchemy Resources,.032,-,-,.026,.029,-,,-,-,-,-2.98,-,,
.048,.002,.038,.027,AWD,Aleator Energy,.028,-.9,788874,.028,.029,-,,-,-,-,-1.02,-,,
.20,.048,-,-,AQI,Alicanto Min,.05,-,-,.048,.05,-,,-,-,-,-7.00,-,,
.405,.17,.23,.22,ALK,Alkane Res,.22,-.5,733,.22,.23,-,,-,-,-,-2.00,-,,
.028,.008,-,-,AHQ,Allegiance Coal,.008,-,-,.006,.01,-,,-,-,-,-.84,-,,
.255,.058,.14,.137,AGS,Alliance Res,.14,+.5,6933,.135,.14,-,,-,-,-,-4.44,-,,
.054,.021,.04,.035,AGE,Alligator Energy,.04,-.1,4258,.035,.042,-,,-,-,-,-.37,-,,
.01,.005,-,-,AYR,Alloy Res,.005,-,-,.005,.006,-,,-,-,-,-.09,-,,
.115,.045,.115,.105,ATC,Altech Chemicals,.11,+.5,11969,.105,.11,-,,-,-,-,-2.83,-,,
.015,.01,-,-,ATCOA,  opt dec15,.015,-,-,.015,.05,-,,-,-,-,-,-,,
.21,.085,.10,.097,AOH,Altona Mining,.10,-,190,.097,.105,-,,-,.27,-,6.05,1.7,,
.159,.009,.02,.019,AJM,Altura Mining,.019,+.1,514,.017,.018,-,,-,-,-,-6.99,-,,
.011,.003,.006,.006,AJMO,  opt jun16,.006,+.1,2667,.005,.006,-,,-,-,-,-,-,,
2.10,1.28,1.375,1.315,AWC,Alumina,1.335,+4,216082,1.335,1.34,2.04,f,-,.94,1.53,-4.27,-,,
.99,.35,.38,.38,AXZ,Amex Resources,.38,-,50,.26,.38,-,,-,-,-,-21.11,-,,
.10,.055,.064,.062,AEK,Anatolia Energy,.062,-.3,786,.059,.062,-,,-,-,-,-1.00,-,,
.006,.002,-,-,AEKO,  opt jun17,.006,-,-,-,-,-,,-,-,-,-,-,,
.19,.025,-,-,AHR,Anchor Res,.025,-,-,.005,.19,-,,-,-,-,-1.96,-,,
1.10,.95,-,-,ATM,Aneka Tambang cdi,.95,-,-,1.00,-,-,,-,.12,-,-851.35,-,,
.016,.006,-,-,AAR,Anglo Aust Res,.006,-,-,.007,.008,-,,-,-,-,-.51,-,,
3.80,1.50,1.875,1.79,AGG,Anglogold Ashanti cdi,1.875,+12.5,19,1.77,1.95,-,,-,7.44,-,-546.47,-,,
.06,.027,.035,.035,AWV,Anova Metals,.035,-,115,.035,.04,-,,-,-,-,-1.53,-,,
.64,.097,.10,.097,AZZ,Antares Energy,.10,-,9769,.10,.105,-,,-,-,-,-50.28,-,,
.21,.04,-,-,AVD,Antilles Oil & Gas,.04,-,-,.033,.04,-,,-,-,-,-9.72,-,,
.025,.025,-,-,AVDOB,  opt jan17,.025,-,-,-,-,-,,-,-,-,-,-,,
.023,.003,.01,.01,AZY,Antipa Min,.01,-.1,42928,.009,.01,-,,-,-,-,-.45,-,,
