ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5145.1 at 2015-09-28T16:38:35. Report at Monday, September 28, 2015. Processed Tuesday at 2015-09-29T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.69,.016,4.95,4.75,1PG,1-Page,4.76,-4,2625,4.76,4.79,-,,-,.03,-,-8.67,-,,
.096,.044,.051,.051,TDO,3D Oil,.051,+.6,250,.045,.051,-,,-,-,-,.90,5.7,,
.012,.004,-,-,DDD,3D Res,.004,-,-,.003,.004,-,,-,-,-,.28,1.4,,
.019,.006,.014,.014,88E,88 Energy,.014,-,21754,.013,.014,-,,-,-,-,-8.45,-,,
.006,.002,.006,.005,88EO,  opt mar18,.005,-.1,26250,.005,.006,-,,-,-,-,-,-,,
.021,.004,-,-,ARH,A'asian Resources,.005,-,-,.005,.007,-,,-,-,-,-3.90,-,,
.054,.025,.045,.044,AYC,A1 Gold,.044,-,4113,.044,.046,-,,-,-,-,-6.91,-,,
.03,.004,.022,.022,AYCO,  opt nov19,.022,-,2000,.017,.023,-,,-,-,-,-,-,,
.04,.001,-,-,ABL,Abilene Oil & Gas,.024,-,-,.015,.021,-,,-,-,-,-6.27,-,,
.384,.195,.215,.205,ABU,ABM Res,.215,+.5,5022,.21,.215,-,,-,-,-,-3.81,-,,
.005,.001,-,-,AJC,Acacia Coal,.002,-,-,.002,.003,-,,-,-,-,-.02,-,,
.065,.016,.017,.017,ACB,A-Cap Res,.017,+.1,40,.017,.021,-,,-,-,-,-.72,-,,
.36,.10,.13,.13,ACS,Accent Resources,.13,+1,250,.13,.15,-,,-,-,-,-7.67,-,,
.035,.014,-,-,AIV,ActiveX,.028,-,-,.007,.026,-,,-,-,-,-.15,-,,
.06,.002,-,-,ADD,Adavale Resources,.018,-,-,.017,.04,-,,-,-,-,-5.05,-,,
.041,.021,.023,.023,ADN,Adelaide Resources,.023,-,1000,.02,.023,-,,-,-,-,-3.07,-,,
.009,.004,-,-,ADNO,  opt sep16,.006,-,-,.004,.008,-,,-,-,-,-,-,,
.255,.145,-,-,ABY,Aditya Birla,.165,-,-,.165,.19,-,,-,.91,-,-70.11,-,,
.037,.014,.024,.022,ADY,Admiralty Res,.022,-,1750,.022,.025,-,,-,-,-,-.42,-,,
.012,.003,-,-,ADX,ADX Energy,.004,-,-,.003,.004,-,,-,-,-,.01,40.0,,
.155,.045,-,-,AQR,AEON Metals,.055,-,-,.055,.056,-,,-,-,-,-2.18,-,,
.101,.045,.052,.052,AFR,African Energy Res cdi,.052,-,200,.052,.061,-,,-,-,-,-1.34,-,,
.25,.10,-,-,AMN,Agrimin,.23,-,-,.20,.23,-,,-,-,-,-.85,-,,
.15,.06,-,-,AMNOA,  opt dec15,.15,-,-,.125,.35,-,,-,-,-,-,-,,
.225,.025,.195,.18,AGR,Aguia Res,.195,+1,3315,.185,.195,-,,-,-,-,-10.03,-,,
3.26,1.815,3.17,3.05,AQG,Alacer Gold cdi,3.16,-3,953,3.13,3.17,-,,-,-,-,34.18,9.2,,
.042,.005,.018,.017,AUQ,Alara Res,.017,-.1,4051,.017,.021,-,,-,-,-,-.45,-,,
.051,.013,.02,.02,ALY,Alchemy Resources,.02,+.1,511,.02,.027,-,,-,-,-,-2.41,-,,
.048,.002,.023,.021,AWD,Aleator Energy,.022,+.2,128662,.022,.023,-,,-,-,-,-1.02,-,,
.15,.048,-,-,AQI,Alicanto Min,.048,-,-,.036,.045,-,,-,-,-,-5.00,-,,
.405,.17,.245,.235,ALK,Alkane Res,.24,-,1587,.24,.245,-,,-,-,-,-1.00,-,,
.027,.006,-,-,AHQ,Allegiance Coal,.006,-,-,.006,.009,-,,-,-,-,-.84,-,,
.22,.058,.15,.145,AGS,Alliance Res,.15,+.3,1435,.145,.15,-,,-,-,-,-4.44,-,,
.048,.021,.038,.038,AGE,Alligator Energy,.038,-.2,1250,.038,.04,-,,-,-,-,-.37,-,,
.01,.005,-,-,AYR,Alloy Res,.006,-,-,.005,.006,-,,-,-,-,-.09,-,,
.12,.045,.11,.105,ATC,Altech Chemicals,.105,-,2271,.105,.11,-,,-,-,-,-1.20,-,,
.015,.01,-,-,ATCOA,  opt dec15,.012,-,-,.005,-,-,,-,-,-,-,-,,
.21,.085,.085,.085,AOH,Altona Mining,.085,-,1053,.084,.086,-,,-,.27,-,6.05,1.4,,
.109,.009,.04,.035,AJM,Altura Mining,.037,+.3,201008,.036,.038,-,,-,-,-,-6.09,-,,
.028,.003,.02,.017,AJMO,  opt jun16,.02,+.3,4984,.016,.019,-,,-,-,-,-,-,,
2.10,1.125,1.21,1.125,AWC,Alumina,1.20,+4,181508,1.20,1.205,8.46,f,.37,.95,7.05,3.13,38.3,,
.93,.35,-,-,AXZ,Amex Resources,.41,-,-,.45,.55,-,,-,-,-,-21.11,-,,
.088,.052,-,-,AEK,Anatolia Energy,.06,-,-,.055,.06,-,,-,-,-,-1.00,-,,
.006,.006,-,-,AEKO,  opt jun17,.006,-,-,-,-,-,,-,-,-,-,-,,
.19,.025,-,-,AHR,Anchor Res,.025,-,-,.005,.19,-,,-,-,-,-2.06,-,,
1.25,.95,-,-,ATM,Aneka Tambang cdi,1.25,-,-,-,-,-,,-,-,-,564.55,.2,,
.016,.006,-,-,AAR,Anglo Aust Res,.01,-,-,.005,.01,-,,-,-,-,-.51,-,,
3.39,1.50,-,-,AGG,Anglogold Ashanti cdi,2.35,-,-,2.16,2.35,-,,-,7.44,-,-546.47,-,,
.06,.026,.05,.05,AWV,Anova Metals,.05,-,500,.045,.049,-,,-,-,-,-1.40,-,,
.535,.076,-,-,AZZ,Antares Energy,.50,-,-,-,-,-,,-,-,-,-58.18,-,,
.20,.02,.045,.045,AVD,Antilles Oil & Gas,.045,-,100,.04,.045,-,,-,-,-,3.38,1.3,,
.025,.025,-,-,AVDOB,  opt jan17,.025,-,-,-,.02,-,,-,-,-,-,-,,
.023,.003,.009,.009,AZY,Antipa Min,.009,-,20822,.009,.01,-,,-,-,-,-.21,-,,
.013,.001,.003,.003,AZYO,  opt may16,.003,-,10000,.002,.003,-,,-,-,-,-,-,,
.004,.002,-,-,AAL,APAC Coal,.002,-,-,.001,.005,-,,-,-,-,-.32,-,,
.015,.006,-,-,AQQ,Aphrodite Gold,.01,-,-,.009,.011,-,,-,-,-,-.68,-,,
.038,.01,.035,.034,AOP,Apollo Cons,.035,+.3,2526,.034,.04,-,,-,-,-,-.68,-,,
.20,.03,.04,.039,AON,Apollo Minerals,.04,+.5,711,.04,.059,-,,-,-,-,-.40,-,,
.385,.125,.15,.15,AQP,Aquarius Platinum,.15,-,144,.15,.17,-,,-,-,-,-8.58,-,,
.19,.06,.115,.115,AQS,Aquis Entertain,.115,-1.5,27,.115,.12,-,,-,-,-,-2.40,-,,
.065,.037,.05,.05,ARU,Arafura Resources,.05,+.3,1526,.05,.053,-,,-,-,-,-.95,-,,
.005,.001,-,-,ARX,ARC Explore,.001,-,-,.001,.002,-,,-,-,-,-.15,-,,
.20,.081,-,-,AXE,Archer Explore,.086,-,-,.09,.093,-,,-,-,-,-1.16,-,,
.042,.006,.022,.017,AWO,Ardent Res,.017,-.6,16410,.017,.018,-,,-,-,-,-1.28,-,,
.013,.004,.007,.007,ADV,Ardiden,.007,+.1,58850,.006,.007,-,,-,-,-,-.34,-,,
.045,.019,.027,.025,ARD,Argent Minerals,.026,+.2,3650,.025,.027,-,,-,-,-,-.91,-,,
.015,.001,-,-,ARDO,  opt mar16,.001,-,-,-,.002,-,,-,-,-,-,-,,
.029,.008,-,-,AXT,Argo Explore,.026,-,-,.02,.025,-,,-,-,-,-.90,-,,
.02,.004,.005,.005,ARE,Argonaut Res,.005,-,900,.005,.006,-,,-,-,-,-1.52,-,,
.005,.002,-,-,AREO,  opt mar17,.002,-,-,-,-,-,,-,-,-,-,-,,
.005,.001,-,-,AGY,Argosy Minerals,.004,-,-,.003,.004,-,,-,-,-,.08,5.0,,
.091,.01,-,-,AHK,Ark Mines,.075,-,-,.075,.105,-,,-,-,-,-2.47,-,,
.15,.041,.125,.125,AJQ,Armour Energy,.125,-,4786,.125,.13,-,,-,-,-,-2.20,-,,
.004,.001,.002,.002,ARV,Artemis Res,.002,+.1,20000,.001,.002,-,,-,-,-,-.28,-,,
.002,.002,-,-,ARVOA,  opt aug16,.002,-,-,-,.001,-,,-,-,-,-,-,,
.001,.001,-,-,ARVOB,  opt jul16,.001,-,-,-,.001,-,,-,-,-,-,-,,
