ASX Mining & Oil Market - Daily,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5111.8 at 2015-11-13T16:39:35. Report at Friday, November 13, 2015. Processed Saturday at 2015-11-14T01:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52 Wk High,52 Wk Low,Day's High,Day's Low,ASX Code,Security Description,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div c per share,Franked Div,Div Tms Cov,NTA,Div yld %,Earn share c,P/E Ratio,
5.69,.39,4.57,4.41,1PG,1-Page,4.47,+6,3201,4.45,4.47,-,,-,.08,-,-15.05,-,,
.086,.04,.044,.044,TDO,3D Oil,.044,+.1,1266,.044,.047,-,,-,-,-,.97,4.5,,
.008,.003,-,-,DDD,3D Res,.005,-,-,.003,.005,-,,-,-,-,-.20,-,,
.019,.006,.014,.012,88E,88 Energy,.014,+.2,203386,.013,.014,-,,-,-,-,-8.45,-,,
.007,.002,.006,.005,88EO,  opt mar18,.006,+.1,55547,.005,.006,-,,-,-,-,-,-,,
.054,.027,-,-,AYC,A1 Gold,.033,-,-,.034,.034,-,,-,-,-,-5.90,-,,
.03,.004,-,-,AYCO,  opt nov19,.011,-,-,.011,.01,-,,-,-,-,-,-,,
.04,.001,.025,.025,ABL,Abilene Oil & Gas,.025,-,310,.025,.03,-,,-,-,-,-4.89,-,,
.359,.155,.16,.155,ABU,ABM Res,.155,-.5,2186,.155,.16,-,,-,-,-,-3.81,-,,
.004,.001,-,-,AJC,Acacia Coal,.003,-,-,.002,.003,-,,-,-,-,-.02,-,,
.064,.016,-,-,ACB,A-Cap Res,.018,-,-,.021,.023,-,,-,-,-,-.78,-,,
.36,.10,-,-,ACS,Accent Resources,-,-,-,.12,.15,-,,-,-,-,-7.67,-,,
.035,.013,-,-,AIV,ActiveX,.015,-,-,.011,.02,-,,-,-,-,-.15,-,,
.04,.002,-,-,ADD,Adavale Resources,-,-,-,.013,.05,-,,-,-,-,-3.69,-,,
.041,.012,.014,.014,ADN,Adelaide Resources,.014,-,1030,.013,.014,-,,-,-,-,-.44,-,,
.009,.004,-,-,ADNO,  opt sep16,.004,-,-,.002,.005,-,,-,-,-,-,-,,
.26,.145,.225,.205,ABY,Aditya Birla,.21,-.5,793,.21,.225,-,,-,.91,-,-70.11,-,,
.037,.014,.017,.017,ADY,Admiralty Res,.017,-.1,4700,.017,.02,-,,-,-,-,-.48,-,,
.01,.003,-,-,ADX,ADX Energy,.007,-,-,.007,.008,-,,-,-,-,.01,70.0,,
.12,.038,-,-,AQR,AEON Metals,.038,-,-,.04,.042,-,,-,-,-,-3.09,-,,
.092,.045,.055,.051,AFR,African Energy Res cdi,.051,-.3,1249,.051,.055,-,,-,-,-,-1.17,-,,
.25,.10,-,-,AMN,Agrimin,.19,-,-,.19,.22,-,,-,-,-,-1.41,-,,
.15,.06,-,-,AMNOA,  opt dec15,-,-,-,.125,.25,-,,-,-,-,-,-,,
.225,.025,.16,.16,AGR,Aguia Res,.16,-1,625,.155,.16,-,,-,-,-,-4.32,-,,
3.39,2.02,2.72,2.66,AQG,Alacer Gold cdi,2.69,-3,1285,2.68,2.69,-,,-,-,-,34.18,7.9,,
.042,.005,.01,.01,AUQ,Alara Res,.01,+.1,4500,.009,.01,-,,-,-,-,-.67,-,,
.051,.013,.019,.018,ALY,Alchemy Resources,.018,-,1138,.018,.022,-,,-,-,-,-2.41,-,,
.048,.002,.036,.034,AWD,Aleator Energy,.036,+.1,112771,.035,.036,-,,-,-,-,-24.57,-,,
.09,.035,-,-,AQI,Alicanto Min,.038,-,-,.038,-,-,,-,-,-,-5.00,-,,
.405,.20,.245,.24,ALK,Alkane Res,.24,-.5,600,.24,.245,-,,-,-,-,-1.00,-,,
.023,.004,-,-,AHQ,Allegiance Coal,-,-,-,.004,.006,-,,-,-,-,-.34,-,,
.038,.012,.032,.031,AGS,Alliance Res,.032,+.2,931,.031,.032,-,,-,-,-,-.87,-,,
.048,.021,.027,.027,AGE,Alligator Energy,.027,-.1,1881,.027,.03,-,,-,-,-,-.29,-,,
.011,.005,-,-,AYR,Alloy Res,.008,-,-,.008,.009,-,,-,-,-,-.60,-,,
.15,.045,.095,.088,ATC,Altech Chemicals,.09,-.5,810,.09,.095,-,,-,-,-,-1.20,-,,
.025,.01,-,-,ATCOA,  opt dec15,.025,-,-,-,.012,-,,-,-,-,-,-,,
.21,.08,.105,.10,AOH,Altona Mining,.105,-,5050,.094,.105,-,,-,-,-,5.88,1.8,,
.073,.009,.048,.04,AJM,Altura Mining,.045,-,91812,.044,.045,-,,-,-,-,-6.09,-,,
.044,.003,.031,.031,AJMO,  opt jun16,.031,+.1,3779,.025,.031,-,,-,-,-,-,-,,
2.10,1.077,1.15,1.12,AWC,Alumina,1.14,-,137713,1.14,1.145,8.46,f,.37,.95,7.42,3.13,36.4,,
.89,.35,-,-,AXZ,Amex Resources,-,-,-,.30,.495,-,,-,-,-,-21.11,-,,
.19,.025,-,-,AHR,Anchor Res,-,-,-,.005,.19,-,,-,-,-,-2.06,-,,
1.25,.95,-,-,ATM,Aneka Tambang cdi,-,-,-,1.26,-,-,,-,-,-,564.55,-,,
.013,.005,.008,.008,AAR,Anglo Aust Res,.008,-,180,.006,.008,-,,-,-,-,-4.11,-,,
3.39,1.50,2.00,1.90,AGG,Anglogold Ashanti cdi,1.90,-10,27,1.81,1.90,-,,-,7.44,-,-546.47,-,,
.06,.026,-,-,AWV,Anova Metals,.052,-,-,.048,.052,-,,-,-,-,-1.40,-,,
.20,.02,-,-,AVD,Antilles Oil & Gas,.041,-,-,.041,.05,-,,-,-,-,3.38,1.2,,
.025,.005,-,-,AVDOB,  opt jan17,.005,-,-,.004,.018,-,,-,-,-,-,-,,
.028,.003,.016,.015,AZY,Antipa Min,.016,-.1,43500,.016,.017,-,,-,-,-,-.21,-,,
.013,.001,.006,.006,AZYO,  opt may16,.006,-.1,34081,.006,.007,-,,-,-,-,-,-,,
.004,.002,-,-,AAL,APAC Coal,-,-,-,.002,.004,-,,-,-,-,-.32,-,,
.013,.006,-,-,AQQ,Aphrodite Gold,.011,-,-,.01,.011,-,,-,-,-,-.30,-,,
.05,.01,.05,.049,AOP,Apollo Cons,.05,+.4,889,.045,.05,-,,-,-,-,-.50,-,,
.14,.03,.035,.035,AON,Apollo Minerals,.035,-,329,.021,.035,-,,-,-,-,-1.91,-,,
.315,.125,.24,.235,AQP,Aquarius Platinum,.24,+.5,11663,.235,.245,-,,-,-,-,-8.58,-,,
.19,.06,.08,.078,AQS,Aquis Entertain,.08,-,1208,.07,.08,-,,-,-,-,-2.40,-,,
.065,.037,.052,.051,ARU,Arafura Resources,.051,-,893,.051,.054,-,,-,-,-,-.95,-,,
.004,.001,.002,.002,ARX,ARC Explore,.002,+.1,7000,.001,.002,-,,-,-,-,-.15,-,,
.155,.081,.09,.09,AXE,Archer Explore,.09,+.1,432,.089,.094,-,,-,-,-,-1.16,-,,
