Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4759.6 at 16:47 18/11/2009  Report at 19:05 Wednesday 18/11/2009. Processed 19:21 Wednesday 18/11/2009.,,,,,,,,,,,,


,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
APN Prop Grp,APD,0.41,0.395,0.38,,,,,,,,
Aquila Res,AQA,9.38,8.38,8.4,,,,,,,,
Argo Explore,AXT,0.064,0.059,0.057,,,,,,,,
Augur Res Ltd,AUK,0.09,0.087,0.07,,,,,,,,
Austar United,AUN,1.465,1.37,1.39,,,,,,,,
Austin Engineer,ANG,2.94,2.74,2.8,,,,,,,,
Avoca Res,AVO,2.04,1.91,1.73,,,,,,,,
Beyond Intl,BYI,0.67,0.64,0.66,,,,,,,,
BHP Billiton Ltd,BHP,41.36,39.7,40.28,,,,,,,,
Blackthorn Res,BTR,0.485,0.44,0.475
Cape Lambert Iron,CFE,0.555,0.5,0.535
Cell Aquaculture,CAQ,0.16,0.115,0.13
Chemgenex Pharmac,CXS,1.05,0.975,0.81
  opt feb12,CXSOA,0.65,0.6,0.44
Crossland Uranium,CUX,0.23,0.195,0.22
Emerging Leaders,ELI,0.95,0.93,0.935
Entek Energy Ltd opt dec09,ETEO,0.05,0.025,0.042
Flight Centre,FLT,18.56,17.75,17.47
Gippsland Ltd,GIP,0.07,0.067,0.066
Halcygen Pharma,HGN,0.62,0.5,0.53
Impedimed Ltd,IPD,0.8,0.75,0.79
Intl Gold,IGC,0.365,0.32,0.335
Iron Ore Hldgs,IOH,1.52,1.38,1.15
  opt apr11,IOHO,0.55,0.42,0.33
Ironclad Min,IFE,0.7,0.43,0.44
iShares Glb Cons cdi 1:1,IXI,62.38,61.72,61.41
iShares MSCI BRIC cdi 1:1,IBK,51.53,50.5,50.89
Kingsgate Cons,KCN,9.89,9.45,8.72
Lachlan Star Ltd,LSA,0.023,0.02,0.022
Lindsay Aust,LAU,0.225,0.205,0.21
M2 Telecommun,MTU,1.66,1.55,1.59
Macarthur Coal,MCC,10.62,9.65,9.94
Macq Media stpld,MMG,2.1,1.99,2.066
Macq Telecom Gp,MAQ,4,3.87,3.74
Manas Res Ltd opt sep11,MSRO,0.085,0.08,0.07
Medusa Min Ltd,MML,4.34,4.05,3.75
Mesoblast Ltd,MSB,1.49,1.24,1.14
Meteoric Res ctg,MEICA,0.063,0.062,0.06
Mirvac Real Estate unt,MRZ,0.605,0.53,0.58
Multiplex Sites sites,MXUPA,75.5,74,74.8
Netcomm Ltd,NTC,0.52,0.485,0.42
NIB Hldgs Ltd,NHF,1.39,1.33,1.34
Norseman Gold cdi 1:1,NGX,1.275,1.1,0.94
North Queensland,NQM,0.35,0.33,0.315
OceanaGold Corp cdi,OGC,1.575,1.52,1.33
Orica Ltd,ORI,25.69,24.87,24.44
Orotongrp Ltd,ORL,6.47,6,6.1
PaperlinX Sps Tr pref,PXUPA,48,44,46.5
Patties Foods Ltd,PFL,1.2,1.07,1.015
Promesa Ltd,PRA,0.205,0.2,-
Resolute Min,RSG,1.13,1.04,0.815
  12% cn12,RSGG,1.12,1.02,0.82
  opt dec11,RSGO,0.505,0.5,0.355
Resource And Invest,RNI,0.055,0.05,0.052
SAI Global Ltd,SAI,3.7,3.59,3.6
Sam's Seafood,SSS,0.034,0.026,0.03
Saracen Min,SAR,0.425,0.35,0.355
Silver Lake Resource,SLR,1.1,0.985,0.995
Sumatra Copper cdi 1:1,SUM,0.35,0.265,0.28
Supply Net,SNL,0.48,0.44,0.37
Thinksmart Ltd,TSM,0.85,0.73,0.775
Transol Corp,TNC,0.016,0.015,0.013
Tutt Bryant Grp,TBG,0.9,0.86,0.84
United Uranium,UUL,0.295,0.2,0.165
Washington Res,WRL,0.15,0.12,0.125
Wattyl Ltd,WYL,1.23,1.22,1.07
Wavenet Intl,WAL,0.15,0.068,0.08
Wesfarmers Ltd,WES,29.75,28.21,28.97
  part prot,WESN,29.86,28.4,29.13
Western Uranium,WTN,0.34,0.32,0.12
New Yearly Lows,,,,
Altium Ltd,ALU,0.235,0.265,0.25
Amalgamated Hldgs rts 23nov,AHDR,1.02,1.55,-
Capral Ltd def,CAADA,0.39,-,-
ICSGlobal Ltd,ICS,0.043,0.044,0.082
iShares MSCI Japan cdi 1:1,IJP,10.23,10.29,10.59
Kathmandu Hldgs def,KMD,1.715,1.74,-
