Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4895.1 at 16:34 20/1/2010  Report at 19:05 Wednesday 20/1/2010. Processed 19:07 Wednesday 20/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Alamar Res Ltd,ALG,0.245,0.185,0.195,,,,,,,,
Anchor Res,AHR,0.22,0.19,0.18,,,,,,,,
Aust Infra unt,AIX,1.95,1.855,1.8,,,,,,,,
Bandanna Energy,BND,0.8,0.735,0.64,,,,,,,,
Bassari Res,BSR,0.44,0.43,0.375,,,,,,,,
Batavia Min opt jun12,BTVO,0.09,0.08,0.075,,,,,,,,
Bendigo & Adelaide,BEN,10.44,10.15,9.91,,,,,,,,
Cape Lambert Res,CFE,0.635,0.625,0.565,,,,,,,,
Challenger Kenedix ord unt,CKT,1.045,1,1.005,,,,,,,,
Computronics,CPS,0.047,0.04,0.035,,,,,,,,
Data#3 Ltd,DTL,9.3,8.95,8.93,,,,,,,,
DKN Financial Grp,DKN,0.79,0.75,0.74,,,,,,,,
Eastern Iron opt dec10,EFEO,0.04,0.03,0.03,,,,,,,,
ETFS Metals etfs pd,ETPMPD,50.69,48.28,41.69,,,,,,,,
  etfs pt,ETPMPT,178.76,171.56,164.02,,,,,,,,
Fairfax Media Ltd,FXJ,1.885,1.79,1.745,,,,,,,,
  pref,FXJPB,89.2,88.25,88,,,,,,,,
Finbar Grp Ltd,FRI,1.04,0.92,0.96,,,,,,,,
Flight Centre,FLT,20.15,18.17,18.64,,,,,,,,
Global Gold Hld,GGH,0.05,0.04,0.04,,,,,,,,
iShares MSCI SKorea cdi 1:1,IKO,56,54,53.62,,,,,,,,
Jetset Travelworld,JET,1.7,1.55,1.43,,,,,,,,
Korab Res,KOR,0.34,0.18,0.185,,,,,,,,
Lodestar Min,LSR,0.105,0.1,0.095,,,,,,,,
Mesa Min Ltd,MAS,0.066,0.053,0.054,,,,,,,,
Nanosonics Ltd,NAN,0.72,0.65,0.675,,,,,,,,
Navitas Ltd,NVT,4.59,4.52,4.22,,,,,,,,
Nexus Bonds Ltd nexus3,NXBHC,85.1,85,80,,,,,,,,
Nick Scali Ltd,NCK,1.49,1.45,1.36,,,,,,,,
Northern Min opt dec11,NMIOB,0.18,0.17,0.17,,,,,,,,
Nyota Min Ltd,NYO,0.2,0.18,0.15,,,,,,,,
OBJ Ltd,OBJ,0.046,0.037,0.032,,,,,,,,
OceanaGold Corp cdi,OGC,2.19,1.98,1.98,,,,,,,,
Orocobre Ltd,ORE,2.04,1.45,1.3,,,,,,,,
PaperlinX Sps Tr pref,PXUPA,59,57.653,58.75,,,,,,,,
Paragon Care Ltd,PGC,0.031,0.029,0.025,,,,,,,,
Pharmanet Grp,PNO,0.022,0.011,0.009,,,,,,,,
Reckon Ltd,RKN,2,1.95,1.88,,,,,,,,
Reed Res Ltd,RDR,0.945,0.83,0.67,,,,,,,,
Saferoads Hldgs,SRH,1.15,1.08,0.805,,,,,,,,
Sky Net fpo nz,SKT,4.15,4.08,4.05,,,,,,,,
Southerncross Gold,SXG,0.21,0.08,0.096,,,,,,,,
  opt nov10,SXGO,0.06,0.017,0.016,,,,,,,,
Summit Res,SMM,2.38,2.36,2.24,,,,,,,,
Tectonic Res,TTR,0.087,0.079,0.076,,,,,,,,
TPG Telecom Ltd,TPM,1.94,1.72,1.75,,,,,,,,
Treasury Grp,TRG,6.2,5.55,5.59,,,,,,,,
Trojan Equity,TJN,0.465,0.45,0.425,,,,,,,,
Unilife Corp def,UNS,1.345,-,-,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.084,0.013,0.015,,,,,,,,
Virgin Blue Hldgs,VBA,0.635,0.59,0.59,,,,,,,,
Wide Bay Aust Ltd,WBB,10.5,10.15,9.55,,,,,,,,
Wilson Htm Invest,WIG,1.91,1.9,1.9,,,,,,,,
Zimplats Hldgs,ZIM,12.4,12.2,11.6,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Ausgold Ltd,AUC,0.19,0.22,0.2,,,,,,,,
Coretrack Ltd opt feb10,CKKO,0.03,0.07,0.06,,,,,,,,
Smarttrans Hldgs,SMA,0.004,0.005,0.006,,,,,,,,
