Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4732.7 at 16:36 22/2/2010  Report at 19:05 Monday 22/2/2010. Processed 19:06 Monday 22/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelphi Energy,ADI,0.295,0.28,0.185,,,,,,,,
Adtrans Grp,ADG,3.6,3.56,3.5,,,,,,,,
Advance Energy 9.5% cn15,AVDG,1.07,1.025,-,,,,,,,,
Ampella Min,AMX,0.97,0.95,0.765,,,,,,,,
  opt jul10,AMXO,0.72,0.7,0.595,,,,,,,,
Ansell Ltd,ANN,11.87,11.6,10.93,,,,,,,,
Anvil Min cdi,AVM,3.9,3.7,3.68,,,,,,,,
ARB Corp,ARP,5.7,5.55,5.48,,,,,,,,
Aurora Oil & Gas,AUT,0.47,0.445,0.35,,,,,,,,
AWH Corp Ltd,AWL,0.008,0.006,0.007,,,,,,,,
CPI Grp Ltd,CPI,0.315,0.3,0.225,,,,,,,,
Desane Grp Hldings,DGH,0.55,0.48,0.485,,,,,,,,
Eureka Energy Ltd,EKA,0.15,0.145,0.135,,,,,,,,
Hills Ind Ltd,HIL,2.5,2.43,2.19,,,,,,,,
Korab Res,KOR,0.37,0.34,0.34,,,,,,,,
Kresta Hldgs,KRS,0.375,0.34,0.33,,,,,,,,
Little World Bev,LWB,2.2,2.17,2.19,,,,,,,,
Lodestar Min,LSR,0.12,0.099,0.115,,,,,,,,
Logicamms Ltd,LCM,1.07,1.05,0.96,,,,,,,,
New Standard Energy,NSE,0.15,0.13,0.13,,,,,,,,
REA Grp,REA,10.17,9.85,9.92,,,,,,,,
Reece Aust Ltd,REH,26.3,26,25,,,,,,,,
Regis Res,RRL,0.88,0.8,0.8,,,,,,,,
RP Data Ltd,RPX,0.99,0.96,0.95,,,,,,,,
The Reject Shop,TRS,15.92,15.4,14.49,,,,,,,,
Thinksmart Ltd,TSM,1.02,0.91,0.955,,,,,,,,
Wesfarmers Ltd,WES,32.5,31.47,32.16,,,,,,,,
  part prot,WESN,32.5,31.52,32.2,,,,,,,,
Western Plains Res,WPG,0.67,0.6,0.53,,,,,,,,
Wilson Htm Invest,WIG,2.2,2.15,2.05,,,,,,,,
Wotif Com Hldgs,WTF,7.48,7.21,7.45,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Carnegie Wave Energy,CWE,0.115,0.12,0.13,,,,,,,,
Central Pet opt jun10,CTPOA,0.009,0.01,0.01,,,,,,,,
Circadian Tech,CIR,0.565,0.57,0.65,,,,,,,,
Coal FE Res,CES,0.02,0.031,0.03,,,,,,,,
Elementos Ltd,ELT,0.19,0.21,0.2,,,,,,,,
Esperance,ESM,0.047,0.051,0.051,,,,,,,,
Geodynamics Ltd,GDY,0.68,0.69,0.8,,,,,,,,
Global Health Ltd opt dec10,GLHO,0.001,0.008,0.008,,,,,,,,
Goldminex Res,GMX,0.3,0.325,0.43,,,,,,,,
IDT Aust Ltd,IDT,0.925,1.05,1.36,,,,,,,,
Imugene Ltd,IMU,0.052,0.053,0.07,,,,,,,,
Odin Energy Ltd opt nov12,ODNO,0.001,0.002,0.002,,,,,,,,
Odyssey Energy,ODY,0.031,0.032,0.036,,,,,,,,
Reverse Corp Ltd,REF,0.3,0.305,0.33,,,,,,,,
Tyrian Diagnostics,TDX,0.013,0.015,0.015,,,,,,,,
Xiaoxiao Education,XXL,0.245,0.25,-,,,,,,,,
