Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4913.5 at 16:37 23/4/2010  Report at 19:05 Friday 23/4/2010. Processed 19:17 Friday 23/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Apollo Gas Ltd,AZO,0.85,0.8,0.575,,,,,,,,
ARB Corp,ARP,6.19,6.09,5.78,,,,,,,,
Atlantic Ltd,ATI,0.07,0.049,0.033,,,,,,,,
  opt dec11,ATIO,0.058,0.038,0.023,,,,,,,,
Audax Res,ADX,0.205,0.17,0.175,,,,,,,,
Aurora Oil & Gas,AUT,0.58,0.5,0.475,,,,,,,,
Australand Prop stp  d,ALZDA,3.05,-,-,,,,,,,,
Blackmores Ltd,BKL,24,23.6,22.35,,,,,,,,
Burleson Energy,BUR,0.097,0.075,0.07,,,,,,,,
Carnavale Res,CAV,0.35,0.3,0.3,,,,,,,,
Carpentaria Exp opt jun10,CAPO,0.22,0.004,0.014,,,,,,,,
Centro Retail stp,CER,0.23,0.215,0.18,,,,,,,,
China West Hldgs,CWH,0.31,0.205,0.125,,,,,,,,
Cortona Res opt jan12,CRCO,0.17,0.13,0.08,,,,,,,,
Decmil Grp Ltd,DCG,1.855,1.84,1.65,,,,,,,,
Eastern Iron opt dec10,EFEO,0.062,0.025,0.02,,,,,,,,
Elders Ltd hybrids,ELDPA,65.003,62.9,57,,,,,,,,
Eldore Min opt dec12,EDMOA,0.01,0.007,-,,,,,,,,
Fairstar Res,FAS,0.145,0.072,0.09,,,,,,,,
FKP Prop Grp stp,FKP,0.895,0.81,0.775,,,,,,,,
GEO Prop Grp stp,GPM,0.23,0.215,0.22,,,,,,,,
Global Masters Fund,GFL,0.905,0.83,0.85,,,,,,,,
Goodman Grp forus,GMG,0.745,0.725,0.665,,,,,,,,
IMX Res Ltd,IXR,0.55,0.51,0.475,,,,,,,,
Industrial Min,IDM,0.185,0.145,0.125,,,,,,,,
Intrepid Mines,IAU,0.465,0.41,0.355,,,,,,,,
iShares Russell 2000  1:1,IRU,79.49,77.94,75.86,,,,,,,,
iShares S&P 500  1:1,IVV,131.64,130.6,130.09,,,,,,,,
iShares S&P SCap 600  1:1,IJR,69.46,66.97,66.77,,,,,,,,
Ishine Int Res,ISH,0.28,0.25,0.22,,,,,,,,
Leyshon Res,LRL,0.295,0.215,0.2,,,,,,,,
Matrix C & E Ltd,MCE,2.8,2.7,2.6,,,,,,,,
New Standard Energy,NSE,0.23,0.17,0.195,,,,,,,,
Pac Ore Ltd,PSF,0.07,0.045,0.038,,,,,,,,
Pac Star Net,PNW,0.065,0.06,0.06,,,,,,,,
Papillon Res Ltd,PIR,0.155,0.14,0.12,,,,,,,,
  opt dec12,PIROA,0.053,0.045,0.033,,,,,,,,
Platsearch NL,PTS,0.2,0.105,0.125,,,,,,,,
Reckon Ltd,RKN,2.09,2.08,2.07,,,,,,,,
Ridley Corp,RIC,1.28,1.27,1.15,,,,,,,,
RTL Corp Ltd,RTL,0.047,0.042,0.036,,,,,,,,
Skywest Airlines cdi  1:1,SXR,0.4,0.365,0.39,,,,,,,,
Strategic Energy,SER,0.034,0.025,0.03,,,,,,,,
Tiaro Coal Ltd,TCM,0.46,0.33,0.31,,,,,,,,
Trojan Equity,TJN,0.55,0.515,0.52,,,,,,,,
Vietnam Industrial,VII,0.52,0.47,0.4,,,,,,,,
Village Roadshow 'a' pref,VRLPA,2.67,2.65,2.4,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Aacl Hldgs Ltd,AAY,0.22,0.25,-,,,,,,,,
Apex Min NL,AXM,0.02,0.021,0.022,,,,,,,,
Cervantes Corp,CVS,0.015,0.025,0.03,,,,,,,,
Energy Res,ERA,16.71,17.57,17.66,,,,,,,,
Goldminex Res,GMX,0.22,0.24,0.235,,,,,,,,
Greater Bendigo Gold opt mar12,GBMOA,0.009,0.01,-,,,,,,,,
Hexima Ltd,HXL,0.32,0.375,0.39,,,,,,,,
Jameson Res,JAL,0.076,0.195,0.25,,,,,,,,
Laserbond Ltd,LBL,0.053,0.064,0.061,,,,,,,,
Minerals Corp 10.5%db11,MSCHF,0.41,0.45,0.64,,,,,,,,
Nufarm Ltd,NUF,7.12,7.35,8.12,,,,,,,,
Pharmanet Grp opt jun11,PNOO,0.003,0.005,-,,,,,,,,
Prophecy Intl ,PRO,0.39,0.44,0.48,,,,,,,,
Scandinavian Res,SCR,0.18,-,-,,,,,,,,
Teys Ltd,TYS,0.005,0.007,0.007,,,,,,,,
USCOM Ltd,UCM,0.49,0.54,0.5,,,,,,,,
WAM Active Ltd opt apr11,WAAO,0.015,0.021,0.022,,,,,,,,
