Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4394.8 at 16:36 22/7/2010  Report at 19:05 Thursday 22/7/2010. Processed 19:12 Thursday 22/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Ansell Ltd,ANN,13.73,13.15,13.5,,,,,,,,
Aust Gold Invest,AGV,0.145,0.057,0.037,,,,,,,,
Dexion Ltd,DEX,0.78,0.775,0.77,,,,,,,,
GoConnect Ltd,GCN,0.049,0.044,0.029,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.014,0.013,0.008,,,,,,,,
Lynas Corp,LYC,0.73,0.705,0.62,,,,,,,,
Macarthurcook Ind Pr unt,MIF,0.415,0.41,0.385,,,,,,,,
Macq Atlas Roads stp,MQA,1.17,1.05,1.085,,,,,,,,
MEC Res opt jul13,MMRO,0.55,0.37,0.24,,,,,,,,
Montezuma Min Co,MZM,0.4,0.39,0.39,,,,,,,,
Rox Res,RXL,0.051,0.015,0.021,,,,,,,,
  opt jun11,RXLO,0.011,0.002,0.002,,,,,,,,
  opt jul11,RXLOA,0.033,0.01,0.01,,,,,,,,
Sandfire Res,SFR,4.94,4.45,3.48,,,,,,,,
Sundance Energy,SEA,0.3,0.265,0.185,,,,,,,,
Trojan Equity,TJN,0.56,0.52,0.505,,,,,,,,
Vesture Ltd,VES,0.14,0.105,0.105,,,,,,,,
Viagold Capital,VIA,0.9,0.83,0.45,,,,,,,,
Webfirm Grp Ltd,WFM,0.145,0.125,0.085,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
Alcoa Inc cdi,AAI,12.5,13.5,15.5,,,,,,,,
Ambertech Ltd,AMO,0.36,0.38,0.38,,,,,,,,
ASX Ltd,ASX,28.02,28.7,28.79,,,,,,,,
Bendigo Min Ltd,BDG,0.175,0.19,0.18,,,,,,,,
Boral Ltd,BLD,4.15,4.24,4.75,,,,,,,,
Brambles Ltd,BXB,5.22,5.24,5.36,,,,,,,,
Buderim Ginger,BUG,0.23,0.24,0.24,,,,,,,,
Clancy Explore rts29juld,CLYR,0.004,0.012,-,,,,,,,,
Duluxgrp Ltd,DLX,2.44,2.5,-,,,,,,,,
E & A Ltd,EAL,0.225,0.24,0.24,,,,,,,,
Energio Ltd,EIO,0.006,0.01,0.01,,,,,,,,
Every Day Mine Serv,EDS,0.05,0.07,0.07,,,,,,,,
Forte Energy NL,FTE,0.073,0.1,0.1,,,,,,,,
Gunson Res,GUN,0.056,0.062,0.057,,,,,,,,
iShares Glb Health,IXJ,52.74,53.96,53.05,,,,,,,,
L&M Energy Ltd,LME,0.085,0.098,0.1,,,,,,,,
Monax Min Ltd,MOX,0.051,0.056,0.055,,,,,,,,
Noble Min Res opt jul11,NMGO,0.035,0.04,-,,,,,,,,
Pac Brands,PBG,0.78,0.845,0.85,,,,,,,,
Panax Geothermal,PAX,0.05,0.057,0.076,,,,,,,,
Triausmin Ltd,TRO,0.046,0.059,0.069,,,,,,,,
TZ Ltd,TZL,0.35,0.37,0.4,,,,,,,,
