Rolling Year Records - Daily Highs,,,,,,,,,,,,
XAO 4462.1 at 16:37 20/8/2010  Report at 19:05 Friday 20/8/2010. Processed 08:31 Saturday 21/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,New High,Last Week,Last Month,,,,,,,,
New Yearly Highs,,,,,,,,,,,,
Adelaide Brighton,ABC,3.45,3.26,3.2,,,,,,,,
Advanced Share,ASW,0.78,0.75,0.695,,,,,,,,
ANZ Banking Grp pref,ANZPA,104.9,104.75,104.3,,,,,,,,
Aston Res Ltd def,AZT,6.09,-,-,,,,,,,,
Aust Education unt,AEU,0.67,0.65,0.61,,,,,,,,
AWB Ltd,AWB,1.49,1.1,1.035,,,,,,,,
Blackmores Ltd,BKL,24.55,23.49,23.48,,,,,,,,
Bougainville Copper,BOC,0.93,0.815,0.87,,,,,,,,
Corazon Ltd,CZN,0.11,0.105,0.1,,,,,,,,
Dexus Rents Tr rents,DXRPA,87.7,85.5,84.95,,,,,,,,
Discovery Metals,DML,0.98,0.82,0.845,,,,,,,,
Energio Ltd,EIO,0.013,0.007,0.01,,,,,,,,
Exco Res Ltd,EXS,0.485,0.41,0.295,,,,,,,,
Forge Grp Ltd,FGE,3.47,3.16,3.17,,,,,,,,
Global Prop,GPB,0.95,0.26,0.26,,,,,,,,
Globe Intl,GLB,0.7,0.68,0.62,,,,,,,,
Integra Min Ltd,IGR,0.435,0.395,0.36,,,,,,,,
Kasbah Res,KAS,0.135,0.115,0.085,,,,,,,,
Legend Corp,LGD,0.23,0.19,0.185,,,,,,,,
Maryborough Sugar,MSF,2.55,2.36,2.35,,,,,,,,
Matrix C & E Ltd,MCE,4.16,3.72,2.85,,,,,,,,
Melbourne IT Ltd,MLB,2.35,2.27,2.24,,,,,,,,
National Can Ind,NCI,1.26,1.24,1.2,,,,,,,,
Northern Uranium opt mar12,NTUOB,0.057,0.045,0.035,,,,,,,,
Papillon Res Ltd,PIR,0.255,0.205,0.15,,,,,,,,
  opt dec12,PIROA,0.125,0.08,0.057,,,,,,,,
Perseus Min Ltd,PRU,2.71,2.45,2.4,,,,,,,,
Ross Human Direction,RHD,0.63,0.62,0.605,,,,,,,,
Sihayo Gold Ltd,SIH,0.165,0.155,0.145,,,,,,,,
Silver Mines Ltd,SVL,0.165,0.11,0.115,,,,,,,,
  opt may11,SVLO,0.07,-,-,,,,,,,,
Suncorp-Metway 5.068%prf,SUNPA,102.24,101.5,102,,,,,,,,
Trafalgar Corp stp,TGP,0.95,0.88,0.945,,,,,,,,
New Yearly Lows,,,,,,,,,,,,
ADX Energy Ltd opt mar11,ADXO,0.034,0.058,0.06,,,,,,,,
AMP Ltd,AMP,4.91,5.25,5.06,,,,,,,,
Beach Energy Ltd,BPT,0.64,0.665,0.66,,,,,,,,
Billabong Intl,BBG,7.74,8.57,8.28,,,,,,,,
Brickworks Ltd,BKW,11.16,11.44,11.76,,,,,,,,
Cardia Bioplastics,CNN,0.014,0.015,0.015,,,,,,,,
Carnavale Res opt feb13,CAVO,0.026,0.055,0.045,,,,,,,,
Carrick Gold Ltd,CRK,0.34,0.355,0.35,,,,,,,,
China Steel,CNH,0.075,0.09,0.08,,,,,,,,
Djerriwarrh Invest,DJW,3.82,3.91,3.87,,,,,,,,
Emerson Stewart Grp,ESW,0.06,0.09,0.085,,,,,,,,
Enerji Ltd,ERJ,0.022,0.024,0.025,,,,,,,,
Fisher & Paykel H,FPH,2.18,2.26,2.36,,,,,,,,
Flat Glass Ind,FGI,0.16,0.18,0.2,,,,,,,,
Gloucester Coal,GCLN,8.85,-,-,,,,,,,,
James Hardie Ind cdi,JHX,5.37,5.45,5.99,,,,,,,,
Kairiki Energy,KIK,0.079,0.086,0.095,,,,,,,,
Key Pet,KEY,0.03,0.056,0.054,,,,,,,,
Lend Lease Grp stp,LLC,6.82,6.97,7.04,,,,,,,,
Marenica Energy,MEY,0.08,0.087,0.085,,,,,,,,
Orion Gold NL,ORN,0.016,0.02,0.018,,,,,,,,
Phoslock Water,PHK,0.064,0.075,0.093,,,,,,,,
Poseidon Nick Ltd,POS,0.155,0.16,0.18,,,,,,,,
Silex Systems,SLX,4.3,4.4,4.31,,,,,,,,
XState Res opt jun13,XSTO,0.02,0.04,0.045,,,,,,,,
