ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4705.1 at 2010-11-17T16:39:04. Report at Wednesday, November 17, 2010. Processed Thursday at 2010-11-18T01:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Alamar Res opt mar13,ALGO,.21,.15,.15,,
Altera Res opt feb12,AEAO,.25,.20,.20,,
Amalgamated Hldgs,AHD,6.78,6.68,6.50,,
Aneka Tambang cdi,ATM,1.36,1.30,1.25,,
AWB,AWB,1.50,1.495,1.495,,
Azimuth Res Ltd,AZH,.21,.195,.20,,
Bougainville Copper,BOC,1.53,1.40,1.325,,
Caledon Res cdi,CCD,1.675,1.64,1.26,,
Cauldron Energy opt oct12,CXUO,.066,.06,.02,,
Charter Pacific,CHF,.155,.038,.039,,
  opt feb11,CHFO,.059,.001,.001,,
Clinuvel Pharmac def,CUVDA,1.82,-,-,,
Gazal Corp,GZL,2.10,2.09,2.07,,
Generator Income gennote2,GINHA,88.00,87.90,87.00,,
Gulf Res,GLF,.037,.025,.027,,
MAC Services (The),MSL,3.90,3.88,3.89,,
Mayan Iron Corp opt nov13,MYNO,.026,-,-,,
Medical Corp,MOD,.027,.025,.025,,
Mutiny Gold,MYG,.11,.087,.063,,
  opt jun11,MYGO,.03,.028,.015,,
  opt jul13,MYGOA,.058,.052,.02,,
Phileo Aust,PHI,1.45,1.29,1.29,,
Proto Res & Invest,PRW,.066,.057,.047,,
RIMCapital,RMC,.068,.05,.027,,
Sphere Min,SPH,3.10,3.01,2.72,,
ST George Min Ltd,SGQ,.26,-,-,,
Starpharma Hldgs,SPL,.79,.77,.715,,
Vocus Comms Ltd,VOC,1.45,1.26,1.00,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Abacus Prop stp  d,ABPDA,2.05,-,-,,
Asciano Grp def,AIODA,1.58,1.585,-,,
Ausmon Resources,AOA,.17,.185,.19,,
Ausnico Ltd,ANW,.16,.19,.20,,
Austofix Grp,AYX,.65,.80,.95,,
Bright Star Res opt oct12,BUTO,.08,-,-,,
Clean TeQ Hldgs,CLQ,.12,.13,.14,,
CPT Global,CGO,.45,.47,.50,,
Crane Grp,CRG,7.11,7.12,7.56,,
Dragon Min def,DRADA,1.53,1.61,-,,
Energy Res,ERA,11.21,11.56,12.91,,
Genera Biosystems,GBI,.395,.42,.40,,
Hill End Gold,HEG,.074,.078,.085,,
Industrea def,IDLDA,1.23,-,-,,
Kathmandu Hldgs,KMD,1.21,1.27,1.29,,
Pan Asia Corp,PZC,.009,.01,.01,,
Qld Trustees Invest,QTI,.205,.25,.25,,
Redhill Education,RDH,.94,.98,1.00,,
Rocklands Rich,RCI,.135,.145,.14,,
Select Harvests,SHV,3.01,3.08,3.11,,
Sunset Energy opt jun12,SEYO,.015,.02,.026,,
Synergy Metals,SML,.007,.008,.007,,
Telstra Corp,TLS,2.55,2.60,2.58,,
Terramin Aust,TZN,.455,.46,.50,,
Vngd Aus Prop Sec etf unt,VAP,47.78,48.55,48.95,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
