ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4868.8 at 2010-12-16T16:36:12. Report at Thursday, December 16, 2010. Processed Friday at 2010-12-17T01:00:15+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
1300 Smiles,ONT,3.71,3.65,3.61,,
A-Cap Res,ACB,.55,.44,.48,,
Acrux,ACR,3.67,3.66,3.62,,
Alara Res,AUQ,.36,.305,.30,,
Alumina,AWC,2.52,2.22,2.28,,
Astron,ATR,2.44,2.35,2.30,,
Aura Energy,AEE,.33,.245,.30,,
Aurora Oil & Gas,AUT,2.17,1.895,1.67,,
Ausdrill,ASL,2.97,2.92,2.58,,
Aust Bauxite,ABZ,.74,.66,.62,,
Cabcharge Aust,CAB,6.34,5.99,6.00,,
Cobar Cons Res,CCU,.55,.49,.455,,
Corazon Ltd opt apr13,CZNO,.045,.04,.035,,
Corp Travel Ltd,CTD,1.60,-,-,,
Coventry Res,CVY,.32,.28,.31,,
Credit Corp Grp,CCP,3.90,3.73,3.77,,
Crusader Res,CAS,1.00,.95,.90,,
Deep Yellow,DYL,.345,.28,.325,,
Domino's Pizza,DMP,6.65,6.51,6.20,,
Elemental Min opt jan12,ELMO,.94,.90,.76,,
Emeco Hldgs,EHL,1.15,1.09,1.02,,
Energy Ventures,EVE,.165,.13,.12,,
Fortis Min Ltd,FMJ,.25,-,-,,
Guildford Coal,GUF,.765,.72,.58,,
Havilah Res,HAV,.85,.75,.77,,
  opt oct13,HAVO,.405,.35,.32,,
Hawkley Oil And Gas,HOG,.365,.335,.315,,
HOT Chili Ltd,HCH,.42,.32,.30,,
Indago Res opt oct14,IDGOA,2.10,.225,.25,,
Independence Grp,IGO,8.00,7.90,7.85,,
IOOF Hldgs,IFL,7.90,7.68,7.60,,
Ishares Small Ords ishsmlord,ISO,5.12,5.08,-,,
Kentor Gold,KGL,.20,.19,.191,,
Kingsrose Min opt dec12,KRMO,1.10,1.00,.95,,
Lazco Ltd,LZC,.22,.05,.05,,
Legend Min,LEG,.048,.031,.032,,
Little World Beverages,LWB,3.40,3.30,3.29,,
Ludowici,LDW,4.75,4.40,4.13,,
Lycopodium,LYL,4.75,4.49,4.49,,
Matrix C & E,MCE,6.21,5.83,5.69,,
Medical Corp,MOD,.035,.03,.027,,
Meteoric Res,MEI,.185,.135,.145,,
Montezuma Min Co,MZM,.76,.60,.51,,
  opt aug11,MZMO,.56,.33,.33,,
My Net Fone,MNF,.26,.21,.20,,
NEW Horizon Min,NHO,.27,.25,.23,,
Norwest Energy,NWE,.063,.044,.043,,
NRW Hldgs,NWH,2.25,2.10,1.90,,
NSX,NSX,.235,.21,.20,,
Oakajee Corp,OKJ,.25,.205,.22,,
Orchid Capital,ORC,.065,.045,.034,,
Praemium,PPS,.19,.14,.15,,
Promesa opt nov12,PRAO,.08,-,-,,
QLD Mining Corp opt may12,QMNO,.052,.04,.034,,
QR National Ltd,QRN,2.90,2.73,2.88,,
Ramsay Health Care,RHC,16.34,16.23,16.07,,
Regis Res opt jan14,RRLO,1.82,1.75,1.45,,
  opt apr12,RRLOA,.50,.40,.002,,
  opt oct12,RRLOB,1.55,1.39,1.12,,
RIMCapital,RMC,.10,.065,.068,,
SAI Global,SAI,4.81,4.80,4.67,,
Scandinavian Res opt oct11,SCRO,.046,.04,.045,,
Spdrmsciauselecthdy etf unt,SYI,25.69,24.93,25.21,,
Sundance Energy,SEA,.735,.70,.615,,
Sundance Res,SDL,.475,.42,.40,,
Tatts Grp,TTS,2.56,2.54,2.55,,
Troy Resources,TRY,4.29,3.60,3.64,,
Uranex,UNX,.46,.34,.31,,
UraniumSA,USA,.52,.37,.385,,
Venus Metals Cor,VMC,2.10,1.64,1.95,,
  opt jul11,VMCO,1.50,1.16,1.33,,
Watpac,WTP,1.835,1.73,1.815,,
Wild Acre Metals,WAC,.30,.175,.19,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aquila Res bns def,AQABA,9.90,10.09,-,,
Ausnico Ltd,ANW,.15,.17,.16,,
Betashares Asx Fin etf unt,QFN,8.05,-,-,,
Betashares Asx Res etf unt,QRE,8.05,-,-,,
Central Petroleum opt mar14,CTPO,.016,.024,.022,,
Indochine Min Ltd,IDC,.155,.16,-,,
JB Hi-Fi,JBH,17.32,18.26,18.34,,
Montec Intl,MTI,.002,.003,.003,,
Petratherm,PTR,.12,.135,.135,,
Schaffer Corp,SFC,3.70,3.90,4.33,,
Senetas Corp,SEN,.028,.032,.031,,
Spotless Grp,SPT,1.94,1.95,2.03,,
Warehouse Grp,WHS,2.61,2.91,2.85,,
Zambezi Res cdi,ZRL,.013,.014,.014,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
