ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4820.9 at 2011-01-05T16:38:15. Report at Wednesday, January 5, 2011. Processed Thursday at 2011-01-06T01:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Abacus Prop stp,ABP,2.37,2.35,2.35,,
Adamus Res,ADU,.845,.81,.81,,
African Energy Res cdi,AFR,.785,.63,.71,,
Ainsworth Game Tech,AGI,.31,.23,.235,,
Alara Res,AUQ,.425,.37,.39,,
Argo Explore,AXT,.14,.135,.135,,
Aura Energy,AEE,.39,.34,.38,,
Ausdrill,ASL,3.20,3.12,3.12,,
Auspaccoal Ltd,AQC,.058,.042,.042,,
Aust Renewable,ARW,.027,.021,.021,,
  opt dec11,ARWO,.02,.013,.013,,
Baraka Pet,BKP,.02,.016,.016,,
Base Iron,BSE,.455,.365,.40,,
Bathurst Res,BTU,.80,.76,.76,,
Beadell Resources,BDR,.79,.70,.74,,
Black Range Min,BLR,.079,.052,.052,,
Boart Longyear,BLY,4.78,4.59,4.59,,
Bougainville Copper,BOC,2.20,1.725,1.79,,
Brazilian Metals Grp,BZM,.405,.38,.38,,
Brumby Res opt sep11,BMYOA,.175,.17,.17,,
Cardno,CDD,5.65,5.60,5.62,,
Cash Convert ord/div,CCV,.74,.71,.71,,
Centaurus Metals,CTM,.135,.13,.13,,
Challenger Energy,CEL,.29,.16,.16,,
  opt jun12,CELO,.12,.05,.05,,
Coal & Allied Ind,CNA,128.50,121.00,121.00,,
Coalspur Mines,CPL,1.99,1.98,1.98,,
  opt jun11,CPLO,1.87,1.865,1.865,,
Cobar Cons Res,CCU,.70,.60,.60,,
Embelton,EMB,5.66,4.69,5.00,,
Ezenet,EZE,.059,.04,.04,,
Giralia Res,GIR,4.44,4.40,4.40,,
Greenland Min & Energy,GGG,1.345,1.24,1.24,,
  opt jun11,GGGO,1.12,1.01,1.01,,
Gryphon Min,GRY,1.92,1.82,1.84,,
Gujarat NRE Min,GNM,.96,.81,.81,,
Haranga Res Ltd,HAR,.74,.655,.655,,
Hastings Divers stp,HDF,1.73,1.705,1.725,,
Hawkley Oil And Gas,HOG,.415,.385,.385,,
HOT Chili Ltd,HCH,.52,.45,.45,,
Hunnu Coal,HUN,1.445,1.335,1.395,,
IMF (Aust) 10.25% cn,IMFG,1.77,1.735,1.75,,
Incitec Pivot,IPL,4.19,4.04,4.08,,
Indago Res,IDG,6.05,5.82,5.82,,
  opt oct14,IDGOA,2.33,2.20,2.20,,
Iron Mountain,IRM,.225,.135,.135,,
  opt feb12,IRMO,.067,.039,.039,,
iShares S&P Asia 50 cdi,IAA,47.35,46.19,47.14,,
Ishares Small Ords ishsmlord,ISO,5.29,5.27,5.27,,
Jabiru Metals,JML,.71,.69,.69,,
Jatoil,JAT,.054,.05,.05,,
Jupiter Mines,JMS,.87,.78,.78,,
Key Petroleum opt nov11,KEYO,.007,.005,.006,,
Kingsrose Min,KRM,1.495,1.43,1.45,,
  opt dec12,KRMO,1.25,1.20,1.20,,
Laserbond,LBL,.105,.098,.098,,
Little World Beverages,LWB,3.55,3.44,3.44,,
Ludowici,LDW,5.09,4.98,4.98,,
Lycopodium,LYL,5.30,5.06,5.06,,
Macphersons Reward,MRP,.445,.43,.43,,
Mantle Min Corp,MNM,.29,.175,.175,,
Marbletrend Grp,MBD,.12,.11,.115,,
Medical Develop,MVP,.44,.40,.40,,
Metminco,MNC,.465,.425,.425,,
Moly Mines,MOL,1.535,1.28,1.28,,
Mt Isa Metals,MET,.45,.42,.42,,
Mutiny Gold opt jun11,MYGO,.091,.08,.09,,
Newera Uranium,NRU,.115,.085,.085,,
Oilex,OEX,.395,.34,.385,,
Orica pref,ORIPB,100.99,100.00,100.00,,
Orocobre,ORE,3.55,3.38,3.38,,
Pacific Ore,PSF,.20,.12,.125,,
  opt sep12,PSFO,.135,.07,.08,,
Peninsula Minerals,PEN,.089,.076,.08,,
  opt jun12,PENOA,.057,.048,.054,,
  opt dec15,PENOC,.057,.053,.055,,
Prima BioMed,PRR,.245,.175,.175,,
  opt dec11,PRRO,.20,.15,.15,,
Proto Res & Invest,PRW,.072,.064,.064,,
Qube Logistics unt,QUB,1.35,1.25,1.25,,
Ramsay Health Care,RHC,18.78,18.20,18.20,,
Range Res,RRS,.145,.12,.12,,
  opt dec11,RRSO,.081,.07,.07,,
Renaissance Min,RNS,.50,.45,.45,,
Resource Equip,RQL,.65,.60,.60,,
