ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4715.8 at 2011-03-18T16:35:14. Report at Friday, March 18, 2011. Processed Saturday at 2011-03-19T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Bendigo & Adelaide def,BENHA,100.50,-,-,,
Daton Grp,DTG,.57,.55,.35,,
Desane Grp Hldgs,DGH,.64,.62,.585,,
Hodges Res,HDG,.385,.35,.25,,
Kingsrose Min,KRM,1.555,1.47,1.455,,
Narhex Life Sciences,NLS,.017,-,-,,
QR National,QRN,3.31,3.27,3.22,,
Ramsay Health Care cares,RHCPA,103.75,103.50,103.35,,
Tap Oil,TAP,1.14,.995,1.09,,
Target Energy,TEX,.135,.095,.077,,
  opt oct12,TEXOB,.046,.026,.024,,
Tasmania Mines,TMM,1.70,1.66,1.00,,
United Overseas Aust,UOS,.37,.36,.35,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aust-American Min opt dec12,AIWO,.019,.026,.023,,
Aust Pharmaceutical,API,.305,.36,.395,,
Bioniche cdi,BNC,1.20,1.38,1.40,,
BrazIron,BZL,.10,.135,.145,,
Callabonna Uranium,CUU,.066,.10,.10,,
Coffey Int'l,COF,.725,.79,.77,,
Healthscope Notes 11.25% cn,HLNG,97.80,98.01,100.00,,
Hot Rock,HRL,.044,.045,.048,,
India Equities Fund,INE,.041,.044,.043,,
Intermoco,INT,.003,.004,.004,,
Ipernica,IPR,.073,.077,.082,,
K & S Corp,KSC,2.01,2.05,2.08,,
Key Petroleum,KEY,.025,.028,.028,,
Legacy Iron Ore opt jan12,LCYO,.003,.007,.006,,
Lincoln Minerals,LML,.13,.15,.16,,
MEC Res,MMR,.18,.245,.285,,
Mungana Gold,MUX,.65,.68,.79,,
NeuroDiscovery opt jan12,NDLO,.01,.012,-,,
Planet Gas,PGS,.05,.058,.06,,
Platinum Capital,PMC,1.30,1.36,1.34,,
Port Bouvard,PBD,.077,.09,.086,,
Pro Medicus,PME,.31,.365,.365,,
RCL Grp stp,RLG,.056,.065,.067,,
RedHill Education,RDH,.175,.21,.205,,
Salmat,SLM,3.58,3.62,4.10,,
Sylvastate,SYL,3.18,3.26,3.30,,
Tag Pacific,TAG,.10,.115,.13,,
Telecom Corp of NZ,TEL,1.435,1.47,1.535,,
Tower,TWR,1.24,1.28,1.435,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
