ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5064.9 at 2011-04-11T16:40:05. Report at Monday, April 11, 2011. Processed Tuesday at 2011-04-12T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Acrux,ACR,3.33,3.13,3.182,,
Aditya Birla,ABY,1.83,1.60,1.475,,
AII 200 Energy etf unt,ENY,18.26,17.48,17.34,,
AII 200 Resources etf unt,RSR,6.42,6.13,6.03,,
AII 300 Metals & Mining etf unt,MAM,5.58,5.12,5.21,,
Alacer Gold Corp cdi,AQG,10.05,9.04,9.50,,
Alamar Res opt mar13,ALGO,.335,.20,.225,,
Alcyone Res,AYN,.125,.082,.086,,
Alinta Energy Grp def,AEJDC,6.00,-,-,,
Alkane Res,ALK,2.39,2.00,1.84,,
Alumina,AWC,2.72,2.53,2.46,,
Ansell,ANN,14.51,13.71,13.70,,
Antisense Therapeutic,ANP,.021,.016,.016,,
Argent Minerals,ARD,.24,.17,.17,,
Aspire Min,AKM,1.14,1.01,.99,,
Atlantic,ATI,2.45,1.965,2.00,,
Audio Pixels Ltd,AKP,6.75,5.00,4.50,,
Aust Pacific Coal,AQC,.089,.06,.068,,
Aust Agriculture,AAC,1.705,1.68,1.70,,
Austin Engineer,ANG,5.03,4.75,4.83,,
Azimuth Res,AZH,.325,.245,.245,,
Baily Minerals,BAA,.95,.84,.92,,
BBX Hldgs,BBX,.075,.041,.041,,
BetaShares ASX Res etf unt,QRE,8.74,8.23,8.24,,
BHP Billiton,BHP,49.81,46.90,47.29,,
Calzada,CZD,.125,.057,.045,,
Cerro Res,CJO,.38,.265,.285,,
Charter Hall Off REIT unt,CQO,3.58,3.35,3.35,,
ChongHerr Invest,CDH,.013,.012,.012,,
Circadian Tech,CIR,.78,.705,.72,,
Daton Grp,DTG,.65,.56,.57,,
East Energy Res,EER,.53,.29,.265,,
EnviroGold opt dec11,EVGO,.077,.035,.034,,
Esperance Min,ESM,.13,.08,.095,,
ETFS Physical Silver,ETPMAG,39.36,37.25,37.49,,
Everest Financial Grp,EFG,.165,.12,.13,,
Exco Res,EXS,.695,.65,.60,,
Fitzroy Res,FRY,.26,.24,.24,,
Fletcher Bldg,FBU,7.06,6.88,6.83,,
FlexiGroup,FXL,2.15,2.00,1.99,,
Forge Grp,FGE,7.03,6.79,6.94,,
Gold One Int'l,GDO,.485,.43,.43,,
Gold Road Res,GOR,.605,.485,.50,,
  opt jun11,GORO,.50,.40,.40,,
Greenvale Min opt dec11,GRVO,.022,.02,.02,,
Gryphon Minerals,GRY,2.12,2.02,1.98,,
Guildford Coal,GUF,1.235,.99,.765,,
Hexima,HXL,.48,.39,.39,,
Hunnu Coal,HUN,1.78,1.65,1.525,,
Iluka Res,ILU,14.17,13.39,12.49,,
Industrea,IDL,1.55,1.44,1.40,,
Industrial Min,IDM,.28,.26,.26,,
Intrepid Mines,IAU,2.40,2.15,2.15,,
iShares S&P/ASX 20,ILC,21.57,21.11,20.99,,
Kairiki Energy opt aug11,KIKO,.031,.017,.022,,
Kimberley Metals,KBL,.355,.295,.31,,
King Island,KIS,.37,.29,.345,,
Kingsrose Min,KRM,1.965,1.745,1.715,,
  opt dec12,KRMO,1.68,1.50,1.50,,
Kula Gold,KGD,1.865,1.75,1.75,,
Lonrho Mining opt jun12,LOMO,.022,.012,.013,,
Ludowici,LDW,5.40,4.75,5.00,,
Lycopodium,LYL,7.21,6.85,7.09,,
Mamba Minerals opt jun13,MABOA,.026,.02,.02,,
Mariner Corp,MCX,.015,.01,.01,,
Maryborough Sugar,MSF,4.10,3.70,3.88,,
Medical Corp,MOD,.305,.24,.25,,
Medusa Min,MML,8.38,7.25,7.45,,
Mozambi Coal Ltd,MOZ,.42,.265,.40,,
Noble Min Res,NMG,.755,.695,.67,,
Northern Uranium,NTU,.92,.62,.75,,
  opt sep12,NTUOA,.68,.35,.48,,
  opt mar12,NTUOB,.67,.43,.51,,
Oil Search,OSH,7.64,7.27,7.27,,
Orica,ORI,27.46,26.63,26.50,,
Origin Energy,ORG,17.22,16.57,16.265,,
Prima BioMed,PRR,.42,.315,.285,,
  opt dec11,PRRO,.40,.285,.265,,
Prime Media Grp,PRT,.865,.75,.74,,
Ramelius Res,RMS,1.64,1.46,1.46,,
Ramsay Health Care,RHC,19.10,19.09,18.97,,
RCR Tomlinson,RCR,1.84,1.73,1.75,,
Regis Res,RRL,2.47,2.28,2.32,,
Roc Oil Co,ROC,.485,.41,.41,,
Ruralco Hldgs,RHL,3.35,3.00,3.05,,
Santos,STO,16.90,16.03,15.70,,
Skilled Grp,SKE,2.27,2.01,2.05,,
Sthn Cross Air skies,SAKHA,100.00,99.90,99.50,,
Tandou,TAN,.59,.53,.58,,
Texon Petroleum,TXN,.965,.925,.87,,
Tiger Res,TGS,.63,.555,.615,,
Transerv Energy,TSV,.033,.03,.03,,
Transit Hldgs,TRH,.54,.52,.51,,
Tribune Res,TBR,2.55,2.45,2.45,,
Ventnor Res,VRX,.35,.29,.29,,
Vocus Comms,VOC,3.04,2.70,2.90,,
Western Areas,WSA,7.48,6.76,6.96,,
Woodside Petroleum,WPL,50.85,48.39,48.39,,
WorleyParsons,WOR,33.61,31.63,31.67,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aust Pharmaceutical,API,.285,.30,.305,,
Betashares Us Dollar etf unt,USD,9.46,9.67,9.68,,
Broken Hill Prospecting opt feb14,BPLOA,.031,.038,.038,,
Canada Land cdi,CDL,.053,.056,.06,,
Ceramic Fuel Cells,CFU,.11,.12,.115,,
Countplus,CUP,1.23,1.38,1.38,,
Customers,CUS,1.30,1.39,1.375,,
Diatreme Res opt sep13,DRXO,.015,-,-,,
Dragon Energy,DLE,.135,.145,.145,,
Eclipse Uranium,EUL,.145,.15,.15,,
Fermiscan Hldgs,FER,.005,.008,.009,,
Healthscope Notes 11.25% cn,HLNG,97.75,98.50,97.80,,
Invictus Gold,IVG,.135,.14,.14,,
K & S Corp,KSC,1.58,1.945,1.945,,
Konekt,KKT,.094,.10,.10,,
Korvest,KOV,3.71,3.92,3.92,,
Meridian Res,MRJ,.22,-,-,,
North Aust Diamonds,NAD,.31,.34,.32,,
Probiotec,PBP,.50,.57,.57,,
Symex Hldgs,SYM,.44,.495,.48,,
WHK Grp,WHG,.89,.93,.93,,
Wilson HTM Inv,WIG,.76,.80,.80,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
