ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4807.7 at 2011-05-20T16:37:03. Report at Friday, May 20, 2011. Processed Saturday at 2011-05-21T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Acrux,ACR,3.65,3.53,3.55,,
Alpha Financial Prod ser1frn12,AFPHA,82.50,80.50,80.50,,
Amcbf Five,AKY,98.73,98.58,-,,
Amcbf Four,AKX,96.75,96.59,-,,
Aust Unity Ltd frn apr16,AYUHA,103.90,103.80,103.00,,
Authorised Invest,AIY,.065,.023,.011,,
Benitec optdec13d,BLTOB,.01,-,-,,
BigAir Grp,BGL,.235,.20,.19,,
Celamin Hldgs,CNL,.79,.47,.55,,
  opt mar14,CNLO,.39,.235,.28,,
Centro Retail stp,CER,.395,.37,.375,,
DuluxGroup,DLX,2.92,2.80,2.80,,
Exchange Traded Sec ets mcdnd,ETSMCD,77.41,73.65,-,,
Iluka Res,ILU,15.28,14.39,14.42,,
Indo Mines,IDO,.73,.68,.51,,
KIM Rare Earths,KRE,.225,-,-,,
MetroCoal,MTE,.505,.485,.445,,
QRxPharma,QRX,2.29,2.05,2.06,,
Rift Valley Res,RFV,.20,-,-,,
Riversdale Min,RIV,18.51,16.59,16.92,,
Solimar Energy,SGY,.125,.096,.115,,
Suncorp-Metway pref,SBKPB,102.47,101.98,101.889,,
Transurban Grp stp,TCL,5.54,5.45,5.48,,
Trinity Grp stp,TCQ,.185,.18,.15,,
Vealls capital,VELCP,5.50,5.30,5.30,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Authorised Invest opt feb13,AIYO,.013,.016,.016,,
Billabong Int'l,BBG,6.11,6.55,6.65,,
BlueScope Steel,BSL,1.445,1.50,1.72,,
Brand New Vintage,BNV,.01,.013,.012,,
Brighton Min,BTN,.16,.19,.215,,
Broken Hill Prospecting opt feb14,BPLOA,.026,.03,.03,,
Clancy Explore,CLY,.063,.07,.07,,
Customers,CUS,.815,1.34,1.21,,
Dampier Gold,DAU,.475,.51,.53,,
Exchange Traded Sec ets cat,ETSCAT,98.75,103.26,-,,
  ets ge,ETSGEL,18.72,18.90,-,,
  ets j&j,ETSJNJ,62.29,-,-,,
  ets 3m,ETSMMM,88.90,89.50,-,,
  ets exxon,ETSXOM,77.25,77.90,-,,
GEO Prop Grp stp,GPM,.175,.18,.18,,
Geodynamics,GDY,.23,.26,.27,,
Hillcrest Litigation,HLS,.04,.041,.042,,
Integrated Research,IRI,.27,.285,.30,,
Invictus Gold,IVG,.09,.11,.12,,
JB Hi-Fi,JBH,17.20,17.90,18.87,,
Kip McGrath Edu Cntr,KME,.048,.057,.055,,
Magnetic Res,MAU,.175,.21,.23,,
MaxiTRANS Ind,MXI,.195,.205,.23,,
MEC Res opt jul13,MMRO,.086,.096,.096,,
Meridian Res,MRJ,.205,.235,.22,,
Midas Res,MDS,.025,.028,.03,,
Mindax,MDX,.32,.34,.36,,
Monax Min opt nov11,MOXO,.008,.009,.012,,
Musgrave Min,MGV,.18,.20,.23,,
Myer Hldgs,MYR,2.89,3.03,3.10,,
Octanex,OXX,.23,.355,.30,,
OM Hldgs,OMH,.97,1.08,1.155,,
OneSteel,OST,1.86,1.95,2.11,,
Port Bouvard,PBD,.064,.066,.07,,
Pro-Pac Packaging,PPG,.25,.30,.30,,
Red Sky Energy opt sep11,ROGOA,.001,.003,.003,,
Royal Res opt oct11,ROYO,.055,.06,.09,,
Sylvania Platinum,SLP,.59,.67,.70,,
Thomson Res,TMZ,.18,.195,.185,,
Triton Gold,TON,.069,.078,.083,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
