ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4352.9 at 2011-08-04T16:37:46. Report at Thursday, August 4, 2011. Processed Friday at 2011-08-05T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
BetaShares Euro etf unt,EEU,13.38,13.29,13.29,,
BetaShares Gold etf unt,QAU,6.53,6.35,6.35,,
Drill Torque,DTQ,.285,-,-,,
  opt aug16,DTQO,.11,-,-,,
ETFS Physical Gold,GOLD,151.50,145.03,147.00,,
Ideas Int'l,IDE,1.20,1.14,1.14,,
Legacy Iron Ore,LCY,.175,.145,.145,,
  opt dec12,LCYOA,.069,.039,.039,,
  opt dec12,LCYOB,.11,.056,.056,,
Robe Aust opt dec14,ROBO,.005,-,-,,
Supply Net,SNL,.67,.65,.65,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
ActiveX,AIV,.036,.04,.04,,
Adelaide Brighton,ABC,2.49,2.62,2.62,,
All 200 Energy etf unt,ENY,14.00,14.46,14.46,,
Alexium Int'l,AJX,.075,.08,.08,,
AMP,AMP,4.19,4.54,4.54,,
ANZ Banking Grp,ANZ,19.73,20.80,20.45,,
Aurora Global Inc Tr unt,AIB,1.11,1.125,1.125,,
Aurora Sandringham unt,AOD,.90,.92,.915,,
Austin Explore opt jul12,AKKOB,.002,.003,.003,,
Bank of Qld,BOQ,7.20,8.03,8.03,,
BetaShares ASX Fin etf unt,QFN,7.28,7.48,7.48,,
BetaShares ASX Res etf unt,QRE,7.24,7.46,7.46,,
Billabong Int'l,BBG,5.45,5.83,5.83,,
BlueScope Steel,BSL,1.015,1.13,1.13,,
Boral,BLD,3.89,4.12,4.01,,
Carlton Invest,CIN,16.10,16.52,16.52,,
Carpentaria Expl,CAP,.26,.275,.275,,
carsales.com,CRZ,4.27,4.56,4.38,,
CFS Retail Prop unt,CFX,1.65,1.725,1.725,,
Charter Hall Grp forus,CHC,1.92,2.06,2.03,,
Clean Global Energy,CGV,.03,.034,.033,,
Computershare,CPU,7.65,8.18,8.11,,
Continental Coal,CCC,.035,.036,.036,,
  opt feb13,CCCO,.015,.016,.016,,
CSR,CSR,2.56,2.60,2.60,,
David Jones,DJS,2.93,2.98,2.98,,
Djerriwarrh Invest,DJW,3.69,4.05,3.79,,
DuluxGroup,DLX,2.48,2.61,2.57,,
Eldore Min,EDM,.002,.003,.003,,
Energy Res,ERA,3.89,4.37,4.05,,
FAR,FAR,.036,.04,.04,,
Finbar Grp,FRI,.86,.94,.92,,
FKP Prop Grp stp,FKP,.56,.62,.62,,
Forte Energy,FTE,.048,.058,.058,,
