ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4056.7 at 2011-08-08T16:36:02. Report at Monday, August 8, 2011. Processed Tuesday at 2011-08-09T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
AMCB Fund No 5,AKY,99.56,99.33,99.33,,
BetaShares Euro etf unt,EEU,13.84,13.29,13.29,,
BetaShares Gold etf unt,QAU,6.74,6.35,6.35,,
BetaShares GBP etf unt,POU,15.78,15.07,15.20,,
ETFS Physical PM Basket,ETPMPM,155.71,136.00,142.08,,
ETFS Physical Gold,GOLD,161.25,145.03,147.00,,
Ideas Int'l,IDE,1.25,1.14,1.14,,
Telezon,TLZ,.145,.10,.12,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
1300 Smiles,ONT,3.08,3.30,3.30,,
3D Oil,TDO,.105,.13,.13,,
Aberdeen Leaders,ALR,1.03,1.10,1.10,,
ActiveX opt jul12,AIVO,.004,.006,.006,,
AGL Energy,AGK,13.04,13.91,13.91,,
All 200 Energy etf unt,ENY,12.71,14.46,14.46,,
All 200 Financials etf unt,FIN,3.76,4.27,4.17,,
All 200 Industrials etf unt,IDD,3.18,3.60,3.547,,
Alchemy Resources,ALY,.125,.175,.155,,
Alliance Res,AGS,.14,.20,.195,,
Alligator Energy,AGE,.08,.105,.084,,
AMP Grp Finance frn apr19,AQNHA,105.00,106.85,106.85,,
ANZ Banking Grp,ANZ,18.45,20.80,20.45,,
  pref,ANZPA,99.00,103.50,102.50,,
AP Eagers,APE,10.00,10.38,10.18,,
APN European Ret stp,AEZ,.004,.006,.005,,
Aquarius Platinum,AQP,3.57,4.19,4.19,,
Aquila Res,AQA,5.31,6.55,6.39,,
Arafura Resources,ARU,.535,.725,.69,,
Argentina Min,AVK,.12,.15,.135,,
Argo Invest,ARG,5.02,5.40,5.40,,
Argonaut Res,ARE,.058,.07,.063,,
Asciano,AIO,1.435,1.625,1.59,,
ASG Grp,ASZ,.85,.99,.965,,
Aspen Grp stp,APZ,.40,.425,.425,,
ASX,ASX,27.00,29.68,29.68,,
Attila Res opt jun14,AYAO,.081,.19,.15,,
Aurora Sandringham unt,AOD,.87,.92,.915,,
Aust Gov Index Fund,AQF,1.44,1.59,1.58,,
Aust-American Min,AIW,.027,.031,.03,,
Ausenco,AAX,2.00,2.51,2.48,,
AusQuest,AQD,.08,.105,.10,,
Aust Agriculture,AAC,1.30,1.36,1.36,,
Aust Enhanced unt,AYF,6.05,6.34,6.30,,
Aust Infrastructure Fd unt,AIX,1.71,1.87,1.83,,
Aust United Invest,AUI,5.71,6.26,6.16,,
Aust Vintage,AVG,.245,.275,.265,,
Australand Assets assets,AAZPB,84.75,90.50,89.50,,
