ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4171.9 at 2011-08-19T16:44:18. Report at Friday, August 19, 2011. Processed Saturday at 2011-08-20T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
BetaShares Gold etf unt,QAU,7.26,7.11,6.35,,
ETFS Physical Gold,GOLD,173.50,173.07,147.00,,
Integrated Research,IRI,.40,.345,.395,,
Northern Star Res,NST,.585,.56,.525,,
Ramelius Res,RMS,1.66,1.55,1.49,,
Transerv Energy,TSV,.04,.034,.032,,
Voyager Res opt jun15,VOROA,.064,-,-,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
All 200 Fin-x-A-REIT etf unt,FIX,4.57,4.68,4.88,,
Alternative Invest unt,AIQ,.65,.67,.70,,
APN News & Media,APN,.735,.875,1.10,,
Aristocrat Leisure,ALL,2.06,2.13,2.24,,
Azumah Res,AZM,.42,.46,.53,,
Billabong Int'l,BBG,3.82,4.68,5.83,,
BlueScope Steel,BSL,.785,.865,1.13,,
Brookfield Bonds A 7.82%3m12,BZAHA,98.00,99.50,100.00,,
Cash Convert def,CCVDA,.62,-,-,,
Cell Aquaculture,CAQ,.06,.061,.063,,
Challenger Div Pro stp,CDI,.43,.47,.515,,
Charter Hall Grp forus,CHC,1.635,1.675,2.03,,
Coffey Int'l,COF,.47,.48,.585,,
Dart Energy,DTE,.52,.55,.595,,
Desane Grp Hldgs,DGH,.425,.51,.51,,
Dolomatrix Int'l,DMX,.18,.19,.185,,
Elixir Pet,EXR,.034,.038,.046,,
ENV Clean Tech opt jan14,ESIO,.002,.003,.005,,
Exchange Traded Sec ets boa,ETSBAC,6.75,7.68,8.81,,
Goodman Fielder,GFF,.77,.785,.89,,
Grandbridge,GBA,.072,.075,.086,,
Gulf Industrials opt mar13,GLFOB,.001,.008,.01,,
iShares MSCI Sth Korea cdi,IKO,50.25,51.30,60.38,,
iShares MSCI Taiwan cdi,ITW,12.44,12.48,13.82,,
iShares S&P Asia 50 cdi,IAA,37.75,37.90,42.23,,
Kairiki Energy,KIK,.003,.005,.004,,
Lonrho Mining,LOM,.02,.023,.03,,
Magma Metals,MMW,.17,.19,.215,,
Meridian Res,MRJ,.10,.125,.125,,
Metal Bank Ltd,MBK,.082,.095,.11,,
OBJ opt dec11,OBJOA,.005,.008,.011,,
Octanex,OXX,.225,.23,.25,,
Orpheus Energy,OEG,.17,-,-,,
Qantas Airways,QAN,1.45,1.48,1.80,,
QBE Insurance Grp,QBE,12.25,13.07,16.33,,
REVA Medical cdi,RVA,.57,.68,.75,,
Ridge Resources,RID,.17,-,-,,
Salmat,SLM,2.91,3.10,3.36,,
Schaffer Corp,SFC,3.10,3.15,3.30,,
Terramin Aust,TZN,.21,.225,.27,,
Transpacific Indust,TPI,.705,.715,.825,,
Wah Nam Int'l opt sep14,WNIO,.01,.025,.02,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
