ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4262.3 at 2011-10-10T16:38:04. Report at Monday, October 10, 2011. Processed Tuesday at 2011-10-11T01:00:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
ANZ Banking Grp pref cps3,ANZPC,100.30,100.00,100.00,,
Ezenet,EZE,.075,.072,.06,,
Freedom Foods Grp,FNP,.39,.37,.35,,
Millennium Min opt jan13,MOYOB,.005,.004,-,,
Soul Pattinson,SOL,14.13,13.98,12.88,,
Transit Hldgs,TRH,1.235,1.14,1.16,,
Treasury Wine Estates,TWE,4.12,3.99,3.91,,
Westralian Gas & Pwr opt dec12,WGPO,.004,.003,.003,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Ambition Grp,AMB,.16,.18,.175,,
Auzex Res,AZX,.28,.31,.32,,
Bega Cheese Ltd,BGA,1.67,1.695,1.77,,
Biota Hldgs,BTA,.79,.795,.80,,
Brighton Min,BTN,.07,.09,.082,,
Carnavale Res,CAV,.05,.062,.062,,
Dempsey Min,DMI,.16,.21,.21,,
Exchange Traded Sec ets cat,ETSCAT,77.52,82.83,82.83,,
Fe Ltd,FEL,.076,.085,.085,,
Holista Colltech,HCT,.07,.135,.135,,
Living Cell Tech,LCT,.044,.045,.05,,
Medivac,MDV,.001,.002,.002,,
Mesa Minerals,MAS,.06,.075,.075,,
Metal Bank Ltd,MBK,.06,.08,.08,,
NKWE Platinum,NKP,.14,.165,.155,,
Panax Geothermal opt jul14,PAXOA,.004,.006,.006,,
Quantum Energy,QTM,.019,.02,.02,,
Ram Resources,RMR,.005,.006,.008,,
Ridge Resources,RID,.14,.15,.155,,
Scott Corp,SCC,.30,.33,.34,,
Stellar Res,SRZ,.086,.09,.09,,
Terramin Aust,TZN,.165,.18,.18,,
Virax Hldgs,VHL,.014,.015,.015,,
WPG Resources,WPG,.115,1.255,1.17,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
