ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4249.8 at 2011-12-14T16:43:13. Report at Wednesday, December 14, 2011. Processed Thursday at 2011-12-15T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Aeris Environmental,AEI,.30,.28,.225,,
Ainsworth Game Tech 10% cn11,AGIG,1.35,1.34,1.335,,
DUET Grp forus,DUE,1.86,1.795,1.78,,
Hastings Divers stp,HDF,1.93,1.82,1.75,,
Hot Rock,HRL,.07,.037,.028,,
Jameson Res,JAL,.34,.23,.247,,
Medical Develop,MVP,.61,.59,.56,,
Miclyn Express,MIO,2.02,1.95,1.89,,
Neon Energy,NEN,.59,.49,.44,,
Peel Mining,PEX,.20,.16,.155,,
Syrah Res,SYR,.20,.185,.155,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Adavale Resources,ADD,.013,.014,.018,,
Air New Zealand,AIZ,.69,.695,.735,,
Ambertech,AMO,.205,.23,.22,,
Apollo Cons,AOP,.002,.005,.005,,
Arafura Resources,ARU,.43,.455,.445,,
Atlantic,ATI,1.10,1.15,1.20,,
Aurium Res opt sep12,AGUOA,.002,.003,.003,,
Azure Minerals,AZS,.027,.028,.028,,
Bauxite Resources,BAU,.125,.13,.13,,
BetaShares Agriculture etf unt,QAG,11.16,11.21,-,,
Boulder Steel opt mar12,BGDO,.003,.004,.004,,
BT Invest Mgt,BTT,1.805,1.845,1.955,,
Cabral Res Ltd,CBS,.08,.089,.082,,
CBio,CBZ,.14,.165,.16,,
Centaurus Metals,CTM,.50,.51,.51,,
Cerro Res,CJO,.11,.115,.115,,
Challenger Energy opt jun12,CELO,.004,.006,.005,,
Dart Energy,DTE,.44,.45,.46,,
Dart Min NL opt dec11,DTMO,.003,.006,.015,,
Emerald Oil & Gas,EMR,.019,.022,.023,,
Energy Res,ERA,1.33,1.365,1.345,,
General Min Corp,GMM,.038,.053,.05,,
Gerard Lighting,GLG,.67,.685,.70,,
IMF (Aust),IMF,1.29,1.34,1.325,,
Independence Grp,IGO,3.92,4.33,4.16,,
Indo Mines,IDO,.205,.25,.235,,
Iron Mountain,IRM,.047,.058,.06,,
Kalgoorlie Min,KMC,.052,.053,.056,,
KBL Min Ltd 10% cn,KBLGA,.37,.38,.385,,
Linc Energy,LNC,1.295,1.355,1.42,,
Lindian Res,LIN,.07,.08,.082,,
Magellan Fin Grp opt jun16,MFGOC,.15,.20,.18,,
MAP Grp forus def,MAPDA,2.71,2.74,-,,
Medusa Min,MML,4.67,5.09,5.13,,
Metminco,MNC,.125,.13,.135,,
Mount Magnet South,MUM,.05,.06,.064,,
Navigator Res,NAV,.018,.02,.02,,
Newcrest Min,NCM,31.78,32.55,32.915,,
Newera Res,NRU,.02,.022,.022,,
Oakton,OKN,1.29,1.33,1.36,,
Orca Energy Ltd def,OGYDA,.023,.039,-,,
Phillips River Mining,PRH,.22,.23,.275,,
Phylogica,PYC,.045,.054,.052,,
Prime Min rts 19dec,PIMR,.001,.002,-,,
QLD Mining Corp,QMN,.038,.042,.046,,
Reed Res,RDR,.28,.31,.29,,
Regal Resources,RER,.006,.008,.007,,
ResMed Inc cdi,RMD,2.36,2.425,2.485,,
Scandinavian Res,SCR,.20,.22,.22,,
Shaw River Manganese,SRR,.066,.068,.14,,
Sherwin Iron,SHD,.05,.058,.056,,
Solco,SOO,.067,.072,.072,,
Tango Petroleum,TNP,.01,.013,.013,,
Trade Me Grp def,TME,2.14,-,-,,
Tribune Res,TBR,1.80,1.88,1.86,,
Union Res Ltd def,UCLDA,.165,.24,-,,
USCOM,UCM,.07,.095,.086,,
UXC,UXC,.415,.435,.43,,
VDM Grp,VMG,.039,.041,.043,,
Vector Res,VEC,.064,.068,.07,,
White Energy,WEC,.35,.46,.44,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
