ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4318.9 at 2012-02-14T16:39:42. Report at Tuesday, February 14, 2012. Processed Wednesday at 2012-02-15T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Ainsworth Game Tech,AGI,.835,.715,.665,,
Clarity OSS,CYO,.039,.03,.017,,
Codan,CDA,1.53,1.49,1.31,,
Every Day Mine Serv,EDS,.037,.032,.031,,
ETS Apple,ETSAPL,485.00,455.93,428.00,,
Freedom Foods Grp,FNP,.505,.46,.465,,
Lachlan Star,LSA,1.25,1.17,1.15,,
Ludowici,LDW,8.03,6.80,6.84,,
Maverick Drilling,MAD,.835,.645,.455,,
Pro-Pac Packaging,PPG,.515,.51,.50,,
Quintessential Res,QRL,.35,.315,.25,,
Red Fork Energy,RFE,.99,.97,.92,,
Terranova Minerals,TNV,.32,.30,.27,,
Tox Free Solutions,TOX,2.44,2.39,2.29,,
Webjet,WEB,3.07,2.94,2.55,,
West Peak Iron,WPI,.395,.335,.21,,
Westside Corp,WCL,.54,.35,.29,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Ampella Min,AMX,1.315,1.38,1.325,,
Aquarius Platinum,AQP,2.15,2.25,2.32,,
Atlantic,ATI,.86,.90,1.00,,
Austal,ASB,1.90,1.935,2.00,,
Aviva Corp,AVA,.11,.12,.12,,
Bassari Res,BSR,.038,.039,.04,,
Castle Minerals,CDT,.20,.22,.215,,
CathRx,CXD,.049,.074,.08,,
Celamin Hldgs ctg,CNLCA,.10,.12,.12,,
Clean Seas Tuna,CSS,.063,.075,.071,,
Commissioners Gold,CGU,.07,.08,.08,,
Devine,DVN,.67,.735,.715,,
Digital Perf Grp,DIG,.012,.023,.021,,
Eldorado Gold cdi,EAU,12.48,12.76,12.61,,
Enterprise Metals opt jun12,ENTO,.007,.008,.03,,
Exterra Res,EXC,.049,.05,.05,,
Hazelwood Res,HAZ,.094,.10,.105,,
King Solomon Mines,KSO,.029,.033,.035,,
Medivac,MDV,.01,.011,.012,,
Morning Star Gold,MCO,.19,.20,.225,,
Orpheus Energy,OEG,.10,.115,.11,,
Pharmanet Grp,PNO,.003,.004,.005,,
Siburan Res,SBU,.085,.095,.14,,
Slater & Gordon,SGH,1.65,1.79,1.72,,
Solagran,SLA,.045,.048,.055,,
Sthn Hem Min cdi,SUH,.18,.185,.22,,
Strategic Minerals,SMC,.019,.025,.027,,
Sumatra Copper cdi,SUM,.12,.125,.125,,
Wah Nam Int'l,WNI,.058,.06,.059,,
Warehouse Grp,WHS,2.04,2.06,2.28,,
Whitestar Res,WSR,.045,.05,.048,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
