ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4431.5 at 2012-03-28T16:49:37. Report at Wednesday, March 28, 2012. Processed Thursday at 2012-03-29T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
AMCIL,AMH,.72,.715,.70,,
Amcom Telco,AMM,1.12,1.085,1.03,,
Black Mountain,BMZ,.35,.34,.29,,
Bounty Oil & Gas,BUY,.043,.035,.027,,
Breville Grp,BRG,4.18,4.02,3.61,,
Campbell Brothers,CPB,66.75,63.40,59.87,,
carsales.com,CRZ,5.68,5.57,5.38,,
Chorus,CNU,2.86,2.83,2.60,,
Clover Corp,CLV,.37,.36,.34,,
Cooper Energy,COE,.685,.625,.54,,
Coventry Grp,CYG,2.80,2.74,2.72,,
Delta SBD,DSB,1.09,.95,.82,,
Drillsearch Energy,DLS,1.575,1.49,1.53,,
ERM Power,EPW,1.95,1.75,1.69,,
ETS Apple,ETSAPL,585.30,580.00,487.55,,
ETS Coca-Cola,ETSCOC,68.50,67.036,67.24,,
ETS Pfizer,ETSPFE,21.45,20.79,21.062,,
GrainCorp,GNC,9.04,9.00,8.25,,
iShares Glb Cons cdi,IXI,68.00,67.67,63.90,,
iShares Glb Health cdi,IXJ,57.25,56.50,54.86,,
iShares S&P 500 cdi,IVV,136.01,135.85,128.99,,
Jumbo Interactive,JIN,1.20,1.03,.83,,
Maverick Drilling,MAD,1.095,.985,.87,,
MEO Aust,MEO,.30,.285,.21,,
News Corp b voting,NWS,19.58,19.46,19.20,,
  a nonvote,NWSLV,19.33,19.18,18.53,,
Orchid Capital,ORC,.072,.053,.054,,
Programmed Maint,PRG,2.54,2.44,2.23,,
Russaustcorpbondetf etf unt,RCB,20.05,20.00,-,,
Seven Grp Hldgs,SVW,9.99,9.83,9.03,,
Spark Infrastructure stp,SKI,1.467,1.45,1.42,,
Starpharma Hldgs,SPL,1.73,1.66,1.50,,
Strike Energy,STX,.215,.205,.185,,
Sunbird Energy,SNY,.38,.37,.30,,
Tox Free Solutions,TOX,2.87,2.81,2.70,,
Viento Grp,VIE,.29,.23,.21,,
View Res,VRE,.024,.017,.015,,
WAM Active,WAA,1.095,1.085,1.06,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Ampella Min,AMX,1.05,1.08,1.30,,
BluGlass,BLG,.063,.07,.07,,
Clean Seas Tuna,CSS,.045,.061,.061,,
Crossland Uranium,CUX,.069,.073,.07,,
Helix Res,HLX,.051,.052,.058,,
Intrepid Mines,IAU,.772,.79,1.255,,
Kagara,KZL,.135,.145,.305,,
Mirabela Nickel,MBN,.675,.85,.905,,
Mithril Resources,MTH,.04,.044,.05,,
Penrice Soda,PSH,.088,.09,.10,,
Petratherm,PTR,.079,.083,.083,,
Rumble Res opt jul14,RTRO,.041,.05,.05,,
Shaw River Manganese,SRR,.043,.047,.057,,
Siburan Res,SBU,.082,.09,.085,,
Slater & Gordon,SGH,1.495,1.545,1.50,,
St George Min,SGQ,.087,.09,.10,,
Tribune Res,TBR,1.29,1.30,1.40,,
Xanadu Mines,XAM,.305,.345,.34,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
