ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4444.4 at 2012-04-20T16:45:03. Report at Friday, April 20, 2012. Processed Saturday at 2012-04-21T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Aurora Oil & Gas,AUT,4.02,3.77,3.95,,
Aust Education unt,AEU,1.04,1.00,1.02,,
Aust Pharmaceutical,API,.40,.31,.31,,
BetaShares Aust HIC etf unt,AAA,50.17,50.13,50.14,,
Cabcharge Aust,CAB,6.33,6.25,6.07,,
carsales.com,CRZ,5.74,5.60,5.68,,
CMI pref.cl.a,CMIPC,.921,.915,.90,,
Consolidated Media,CMJ,3.30,3.18,2.98,,
Copper Strike,CSE,.135,.085,.10,,
CSL,CSL,37.75,36.35,36.42,,
Discovery Metals,DML,1.79,1.62,1.635,,
DuluxGroup,DLX,3.17,3.09,3.08,,
Empire Energy,EEG,.315,.275,.235,,
FSA Grp,FSA,.35,.33,.32,,
Funtastic,FUN,.225,.175,.17,,
Gladiator Res opt jun15,GLAO,.017,-,-,,
GrainCorp,GNC,9.37,9.04,9.12,,
InvoCare,IVC,8.37,8.05,8.10,,
iShares UBS Treasury etf unt,IGB,102.00,101.20,99.85,,
Lakes Oil,LKO,.009,.008,.006,,
MacPhersons Reward,MRP,.40,.35,.315,,
Magellan Fin Grp,MFG,2.10,1.91,1.80,,
Magellan Flagship,MFF,.83,.82,.80,,
Malagasy Min,MGY,.085,.065,.06,,
Maverick Drilling,MAD,1.49,1.275,1.24,,
Oil Search,OSH,7.42,7.07,7.38,,
PPK Grp,PPK,.40,.39,.385,,
Russaustcorpbondetf etf unt,RCB,20.27,20.25,20.10,,
SAI Global,SAI,5.29,5.24,5.01,,
Somerton Energy,SNE,.215,.155,.16,,
Sun Resources,SUR,.032,.027,.023,,
Syrah Res,SYR,1.025,.745,.87,,
Thakral Hldgs unt,THG,.76,.545,.575,,
Volta Min,VTM,.28,.26,.27,,
  opt jun14,VTMO,.08,.07,.074,,
WAM Capital,WAM,1.69,1.66,1.665,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Anglogold Ashanti cdi,AGG,6.33,6.50,7.11,,
Arafura Resources,ARU,.27,.30,.295,,
Augur Res,AUK,.061,.078,.07,,
Carnavale Res,CAV,.031,.035,.035,,
Castle Minerals,CDT,.185,.225,.22,,
Consolidated Global,CGI,.019,.024,.022,,
Cove Res,CVE,.11,.15,.14,,
Deep Yellow,DYL,.098,.105,.10,,
Dourado Res opt nov14,DUOO,.02,.027,.024,,
Global Health,GLH,.003,.004,.004,,
Global Res Masters Fd,GRF,1.54,1.56,1.60,,
Goldphyre Res,GPH,.13,.20,.18,,
Goldsearch,GSE,.018,.02,.02,,
Krucible Metals,KRB,.09,.10,.11,,
M2 Telecommun rts04mayd,MTUR,.49,-,-,,
Mako Energy,MKE,.08,.10,.10,,
Metals Finance,MFC,.035,.042,.042,,
Mindoro Res cdi,MDO,.08,.11,.10,,
Mirabela Nickel,MBN,.462,.51,.557,,
Moly Mines,MOL,.21,.22,.27,,
Montec Int'l,MTI,.001,.002,.002,,
Pioneer Res,PIO,.019,.02,.021,,
PMP,PMP,.30,.31,.325,,
Poseidon Nick rts04mayd,POSR,.013,-,-,,
RedFlow,RFX,.21,.48,.60,,
Regal Resources,RER,.003,.005,.005,,
Rex Minerals,RXM,1.05,1.055,1.26,,
Segue Res,SEG,.021,.026,.034,,
SteriHealth,STP,1.24,1.26,1.30,,
Tiger Res,TGS,.34,.36,.36,,
Wide Bay Aust,WBB,6.54,6.85,6.90,,
Zambezi Res cdi,ZRL,.009,.01,.01,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
