ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4332.2 at 2012-05-09T16:45:41. Report at Wednesday, May 9, 2012. Processed Thursday at 2012-05-10T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Adacel Tech,ADA,.395,.375,.365,,
Apex Min opt nov12,AXMO,.05,.001,.001,,
Clime Invest,CIW,.46,.455,.45,,
Colonial Hldgs frn mar37,CNGHA,100.70,100.60,100.30,,
ETS Berkshire Hathaway,ETSBRK,80.95,77.28,78.42,,
Healthscope Notes 11.25% cn,HLNG,102.05,102.00,101.99,,
iShares UBS Gov Infl etf unt,ILB,103.10,101.35,101.14,,
iShares UBS Treasury etf unt,IGB,103.70,102.85,102.25,,
Tatts Grp,TTS,2.66,2.65,2.59,,
Telstra Corp,TLS,3.67,3.62,3.56,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
ActiveX,AIV,.016,.025,.02,,
Aditya Birla,ABY,.575,.63,.65,,
African Energy Res cdi,AFR,.20,.22,.235,,
Aguia Res,AGR,.23,.245,.245,,
AJ Lucas Grp,AJL,.88,1.02,1.03,,
Alacer Gold cdi,AQG,6.61,6.95,7.76,,
Alcyone Res,AYN,.046,.06,.059,,
Alumina,AWC,.945,1.10,1.145,,
Ambassador Oil Gas opt oct13,AQOO,.035,.04,-,,
Ampella Min,AMX,.915,1.02,.93,,
Apollo Minerals,AON,.042,.043,.043,,
Aquarius Platinum,AQP,1.785,2.02,2.00,,
Aspire Min,AKM,.19,.23,.28,,
Atlas Iron,AGO,2.36,2.61,2.78,,
Aviva Corp,AVA,.075,.087,.091,,
Bannerman Res,BMN,.165,.19,.195,,
Beadell Resources,BDR,.555,.68,.63,,
Bendigo & Adelaide Bk,BEN,7.06,7.37,7.33,,
Bionomics,BNO,.34,.38,.41,,
Birimian Gold,BGS,.022,.03,.03,,
Botswana Metals,BML,.027,.03,.031,,
Bullabulling Gold,BAB,.225,.24,.25,,
Burleson Energy,BUR,.021,.024,.025,,
Carbon Polymers,CBP,.081,.10,.15,,
Carnegie Wave Energy,CWE,.039,.043,.04,,
Carrick Gold,CRK,.295,.30,.345,,
CBD Energy,CBD,.04,.049,.053,,
Cerro Res,CJO,.08,.09,.092,,
Collins Foods,CKF,1.00,1.045,1.08,,
Corazon Min,CZN,.048,.055,.074,,
  opt apr13,CZNO,.01,.014,.02,,
Cortona Res,CRC,.10,.115,.12,,
Coventry Res,CVY,.091,.096,.10,,
Credo Res,CRQ,.09,.10,.10,,
Dart Energy,DTE,.235,.28,.27,,
Deep Yellow,DYL,.08,.084,.089,,
Digga Aust Mining Fd etf unt,DGA,2.82,3.10,3.15,,
Dyesol,DYE,.13,.16,.175,,
East Africa Res,EAF,.077,.087,.088,,
East Coast Min,ECM,.021,.024,.022,,
Eldorado Gold cdi,EAU,11.40,12.68,12.37,,
Elemental Min,ELM,.77,.88,.92,,
Energy Ventures,EVE,.026,.03,.03,,
Energy World Corp,EWC,.41,.45,.535,,
Exco Res,EXS,.16,.17,.175,,
Focus Minerals,FML,.038,.044,.047,,
Geopacific Res opt jan13,GPRO,.01,.011,.011,,
Gleneagle Gold,GLN,.006,.008,.008,,
Gold Anomaly,GOA,.012,.013,.015,,
Greenland Min & Energy,GGG,.38,.46,.43,,
Gryphon Minerals,GRY,.785,.91,.895,,
Guildford Coal,GUF,.55,.62,.62,,
Hastings Rare Metals opt mar14,HASO,.027,.029,-,,
