ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4208.5 at 2012-05-17T17:01:52. Report at Thursday, May 17, 2012. Processed Friday at 2012-05-18T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Corum Grp,COO,.077,.071,.066,,
Goodman Plus Tr stepup pf,GMPPA,93.50,91.45,92.50,,
Health Corp,HEA,.017,.01,.01,,
Healthscope Notes 11.25% cn,HLNG,104.35,103.00,101.99,,
Nexus Bonds nexus4,NXBHD,80.00,78.99,78.99,,
Russell Aust Semi Bnd etf unt,RSM,20.74,20.66,20.42,,
Russell Aust Govt Bnd etf unt,RGB,21.12,21.00,20.59,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aditya Birla,ABY,.535,.55,.65,,
African Energy Res cdi,AFR,.185,.20,.235,,
Alacer Gold cdi,AQG,4.95,6.49,7.76,,
Alumina,AWC,.91,.945,1.145,,
Ambassador Oil Gas opt oct13,AQOO,.031,.035,-,,
Antaria,ANO,.011,.012,.012,,
Apollo Minerals,AON,.038,.042,.043,,
Aquila Res,AQA,3.00,3.84,4.76,,
Arafura Resources,ARU,.22,.24,.25,,
Argo Explore,AXT,.024,.03,.03,,
Ark Mines,AHK,.12,.15,.17,,
Aspire Min,AKM,.185,.19,.28,,
Aurora Minerals,ARM,.083,.095,.105,,
Ausgold opt mar13,AUCO,.495,.60,.60,,
Barra Res,BAR,.019,.022,.024,,
Bendigo & Adelaide Bk,BEN,7.00,7.06,7.33,,
BetaShares Crude Oil etf unt,OOO,50.93,52.50,55.87,,
Boulder Steel,BGD,.026,.032,.031,,
Brazilian Metal Grp,BMG,.036,.04,.045,,
Bullabulling Gold,BAB,.18,.225,.25,,
Callabonna Uranium,CUU,.027,.031,.031,,
Carbine Res,CRB,.058,.069,.071,,
Carbon Polymers,CBP,.059,.066,.122,,
Carnegie Wave Energy,CWE,.036,.039,.04,,
Carrick Gold,CRK,.28,.295,.345,,
Centrex Metals,CXM,.235,.25,.27,,
CGA Min,CGX,1.555,1.855,1.825,,
Chalice Gold Mines,CHN,.195,.21,.225,,
Chesser Res,CHZ,.37,.49,.48,,
