ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4120.2 at 2012-05-28T16:50:36. Report at Monday, May 28, 2012. Processed Tuesday at 2012-05-29T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Adacel Tech,ADA,.43,.405,.365,,
Aust Foundat 6.25% cn,AFIG,106.06,106.01,105.10,,
Copper Strike,CSE,.19,.18,.145,,
Corum Grp,COO,.115,.093,.066,,
Eureka Gold Hldgs,EGH,.13,.12,.125,,
Goldfields Money,GMY,1.05,1.03,-,,
Macro Corp,MAC,.031,.03,.02,,
Syrah Res,SYR,2.16,2.15,1.34,,
Vealls capital,VELCP,6.85,6.75,6.75,,
Zeta Pet cdi,ZTA,.16,.14,-,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aditya Birla,ABY,.47,.50,.65,,
All 300 Metals & Mining etf unt,MAM,3.37,3.39,3.79,,
Anatolia Energy,AEK,.05,.07,.09,,
Aquarius Platinum,AQP,1.05,1.08,2.00,,
Aquila Res,AQA,2.81,2.83,4.76,,
Aspire Min,AKM,.145,.165,.28,,
Aussie Q Res,AQR,.089,.09,.155,,
Austpac Res,APG,.033,.034,.037,,
Avexa,AVX,.022,.023,.028,,
Capital Min,CMY,.02,.021,.028,,
Carbon Polymers,CBP,.031,.042,.122,,
Carnegie Wave Energy,CWE,.035,.036,.04,,
Challenger Energy,CEL,.036,.038,.055,,
Chesser Res,CHZ,.30,.335,.48,,
China Magnesium,CMC,.18,.19,.23,,
Coal of Africa,CZA,.47,.51,.83,,
Coffey Int'l,COF,.34,.36,.44,,
Consolidated Global,CGI,.018,.019,.019,,
Corazon Min,CZN,.037,.04,.074,,
Dampier Gold,DAU,.145,.15,.195,,
Elemental Min,ELM,.655,.675,.92,,
Encounter Res,ENR,.29,.30,.37,,
Engenco,EGN,.60,.68,.81,,
FeOre,FEO,.175,.23,.20,,
Globe Int'l,GLB,.30,.33,.37,,
Helix Res,HLX,.039,.04,.045,,
Horseshoe Metals opt jun12,HORO,.007,.019,.075,,
Intec,INL,.007,.008,.011,,
Intermin Res,IRC,.092,.105,.10,,
Ivanhoe Aust,IVA,.63,.66,1.13,,
JB Hi-Fi,JBH,8.90,8.92,9.63,,
Kathmandu Hldgs,KMD,1.165,1.18,1.26,,
King Island,KIS,.094,.096,.13,,
Lodestar Min,LSR,.041,.042,.055,,
Macq Bank inc sec,MBLHB,61.00,62.00,66.70,,
Mako Hydrocarbons,MKE,.065,.072,.068,,
Manas Resources,MSR,.099,.105,.13,,
Marathon Res,MTN,.045,.047,.06,,
Maximus Res,MXR,.004,.005,.007,,
MHM Metals opt aug12,MHMO,.25,.28,.365,,
Mission NewEnergy,MBT,.17,.18,.29,,
Monto Minerals,MOO,.011,.012,.013,,
NEW Horizon Coal opt dec14,NHOO,.02,.034,.04,,
Oceania Capital,OCP,1.675,1.68,1.78,,
Odyssey Energy,ODY,.021,.022,.026,,
Oklo Resources,OKU,.011,.012,.014,,
Paperlinx Sps Tr pref,PXUPA,10.75,11.00,13.22,,
pieNETWORKS,PIE,.003,.007,.007,,
Prima BioMed,PRR,.13,.135,.19,,
Progen Pharma,PGL,.12,.155,.19,,
Salmat,SLM,1.92,1.95,2.21,,
Seven West Media,SWM,2.46,2.47,2.88,,
Silver Mines,SVL,.069,.073,.092,,
Sims Metal Mgt,SGM,11.08,11.42,14.12,,
Sumatra Copper cdi,SUM,.083,.085,.11,,
Thomas & Coffey,THO,.14,.155,.155,,
Uranex,UNX,.12,.125,.215,,
WDS,WDS,.42,.475,.565,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
