ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4175.3 at 2012-07-17T16:48:36. Report at Tuesday, July 17, 2012. Processed Wednesday at 2012-07-18T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
A1 Gold,AYC,.30,.25,.295,,
BetaShares Agriculture etf unt,QAG,14.75,13.87,12.00,,
Caltex Aust,CTX,14.64,14.27,13.89,,
CL Asset Hldgs,CLS,.75,.705,.745,,
Clearview Wealth,CVW,.55,.54,.48,,
Colonial Hldgs frn mar37,CNGHA,101.10,101.00,100.20,,
C'wlth Bank  of Aust,CBA,55.14,53.93,53.80,,
ETFS Grains,ETPGRN,7.66,6.99,-,,
Finbar Grp,FRI,1.15,1.12,1.075,,
FlexiGroup,FXL,2.71,2.67,2.65,,
Gale Pacific,GAP,.30,.255,.275,,
Healthscope Notes 11.25% cn,HLNG,106.00,104.89,104.10,,
Heartware Int'l cdi,HIN,2.55,2.51,2.49,,
Medical Develop,MVP,.935,.925,.795,,
Navitas,NVT,4.55,4.42,4.34,,
Oakajee Corp,OKJ,.285,.24,.27,,
Ramsay Health Care,RHC,24.01,23.80,22.76,,
Regional Express,REX,1.20,1.14,1.075,,
Silver Chef,SIV,3.57,3.47,3.36,,
Westfield Grp stp,WDC,9.85,9.72,9.69,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Adelaide Res,ADN,.047,.05,.049,,
Adept Solutions,AAO,.083,.085,.093,,
Alumina,AWC,.65,.655,.745,,
Ambassador Oil & Gas,AQO,.096,.105,.13,,
Antipa Min,AZY,.044,.06,.05,,
Axiom Min cdi,AVQ,.007,.008,.01,,
BetaShares Euro etf unt,EEU,11.94,12.09,12.55,,
Bradken,BKN,5.005,5.06,5.03,,
Carbon Energy,CNX,.064,.067,.066,,
Clancy Explore opt jul13,CLYO,.001,.004,.004,,
Coal of Africa,CZA,.46,.485,.515,,
Computronics,CPS,.025,.03,.03,,
CordLife,CBB,.05,.062,.07,,
Cradle Res opt jan15,CXXO,.025,.035,.035,,
Credo Res,CRQ,.065,.08,.07,,
Cue Energy Resources,CUE,.155,.16,.175,,
Diatreme Res,DRX,.032,.035,.037,,
ETFS Industrial Metals,ETPIND,14.54,14.82,-,,
Euroz,EZL,1.05,1.14,1.13,,
Exoma Energy opt sep12,EXEOA,.007,.01,.01,,
Fitzroy Res,FRY,.07,.071,.08,,
Galaxy Res,GXY,.50,.515,.56,,
Geodynamics,GDY,.10,.11,.105,,
Geopacific Res opt jan13,GPRO,.005,.01,.01,,
Indo Mines,IDO,.15,.16,.18,,
Intra Energy,IEC,.17,.185,.20,,
Laconia Res,LCR,.024,.025,.025,,
Magontec,MGL,.028,.03,.034,,
Manhattan Corp,MHC,.155,.20,.20,,
Metminco,MNC,.091,.092,.092,,
Olympus Pacific Min cdi,OYM,.20,.22,.22,,
Pacific Brands,PBG,.43,.45,.465,,
Paladin Energy,PDN,1.10,1.115,1.15,,
PaperlinX,PPX,.04,.05,.05,,
Paperlinx Sps Tr pref,PXUPA,8.01,8.21,8.12,,
Paynes Find Gold,PNE,.017,.02,.033,,
Planet Gas,PGS,.018,.02,.019,,
Praemium,PPS,.067,.075,.068,,
RedFlow,RFX,.068,.085,.08,,
Resource Generation,RES,.275,.29,.28,,
Rex Minerals,RXM,.695,.71,.725,,
Terramin Aust,TZN,.04,.049,.055,,
Waratah Res,WGO,.056,.07,.057,,
Wilson HTM Inv,WIG,.125,.195,.17,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
