ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4387.0 at 2012-08-28T16:46:36. Report at Tuesday, August 28, 2012. Processed Wednesday at 2012-08-29T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
All 200 Financials etf unt,FIN,4.61,4.59,4.48,,
Ainsworth Game Tech,AGI,2.63,2.45,2.30,,
Aust Education unt,AEU,1.16,1.13,1.055,,
Aust Leaders Fund,ALF,1.28,1.275,1.25,,
Austbrokers Hldgs,AUB,7.90,7.60,7.43,,
Automotive Hldgs,AHE,3.00,2.86,2.72,,
Beyond Int'l,BYI,.80,.78,.75,,
Boom Logistics,BOL,.385,.345,.275,,
Carlton Invest,CIN,17.50,17.38,16.45,,
Challenger Div Pro stp  d,CDIDA,2.40,2.39,-,,
Collection House,CLH,.96,.92,.85,,
Cromwell Property stp,CMW,.77,.75,.715,,
CuDECO,CDU,4.38,4.09,3.34,,
eBet,EBT,.056,.051,.055,,
G8 Education,GEM,1.18,1.10,.97,,
GPT Grp stp,GPT,3.57,3.55,3.43,,
Greencross,GXL,2.84,2.70,2.40,,
Insurance Aust Grp,IAG,4.18,4.08,3.80,,
Magellan Flagship,MFF,.885,.88,.865,,
Mirrabooka Invest,MIR,1.95,1.935,1.94,,
News Corp b voting,NWS,22.88,22.65,22.53,,
  a nonvote,NWSLV,22.64,22.46,22.37,,
Ramsay Health Care,RHC,25.03,24.79,24.10,,
RBS Apple,RBSAPL,652.58,636.43,583.99,,
Red Metal,RDM,.26,.245,.16,,
Ridge Resources,RID,.21,.12,.12,,
Rocklands Rich,RCI,.515,.51,.475,,
Royal Wolf Hldgs,RWH,2.41,2.30,2.15,,
Silver Chef,SIV,4.05,3.89,3.57,,
SMS Management,SMX,6.37,6.11,5.83,,
Sonic Healthcare,SHL,13.43,13.25,12.80,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
African Energy Res cdi,AFR,.14,.165,.17,,
AJ Lucas Grp,AJL,.785,.87,.96,,
APN News & Media,APN,.38,.382,.49,,
ASG Grp,ASZ,.67,.84,.73,,
Atlas Iron,AGO,1.485,1.645,1.615,,
Carbon Conscious,CCF,.07,.11,.14,,
CBio,CBZ,.048,.05,.055,,
Clarius Grp,CND,.35,.43,.43,,
Discovery Metals,DML,1.10,1.165,1.215,,
Energy Ventures,EVE,.011,.015,.015,,
Environment Grp,EGL,.027,.03,.037,,
Eumundi Grp,EBG,.046,.049,.055,,
Exoma Energy opt sep12,EXEOA,.003,.006,.007,,
Fairstar Res opt aug14,FASO,.003,.004,.004,,
Golden West Res,GWR,.25,.27,.255,,
Humanis Grp,HUM,.035,.036,.052,,
IDM International,IDM,.058,.068,.07,,
Ikwezi Mining,IKW,.072,.075,.08,,
ImpediMed,IPD,.15,.165,.205,,
Investorfirst,INQ,.013,.014,.015,,
Kaboko Min opt jun13,KABO,.002,.003,.003,,
Kangaroo Res,KRL,.068,.075,.078,,
Kentor Gold,KGL,.54,.575,.57,,
Lakes Oil,LKO,.002,.003,.004,,
Mission NewEnergy,MBT,.071,.079,.10,,
Mount Gibson Iron,MGX,.735,.755,.87,,
Norfolk Grp,NFK,.69,.72,1.00,,
OZ Minerals,OZL,6.55,6.66,7.32,,
Pacific Niugini,PNR,.15,.18,.18,,
Platinum Asset,PTM,3.34,3.42,3.54,,
Polymetals Min,PLY,.51,.53,.52,,
Photo-Me Aust,PTO,.006,.008,.008,,
Qanda Tech,QNA,.001,.002,.003,,
Range Res,RRS,.06,.066,.074,,
Red Emperor Res,RMP,.055,.125,.13,,
RMG,RMG,.003,.004,.004,,
Silver Swan Grp opt jun15,SWNO,.006,.009,-,,
Sinovus Min,SNV,.003,.006,.005,,
Speewah Metals,SPM,.061,.063,.08,,
Ten Network Hldgs,TEN,.385,.405,.46,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
