ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4331.6 at 2012-09-06T16:44:37. Report at Thursday, September 6, 2012. Processed Friday at 2012-09-07T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Abacus Prop stp,ABP,2.11,2.04,2.08,,
Academies A'asia,AKG,.80,.70,.70,,
Ainsworth Game Tech,AGI,2.65,2.63,2.63,,
Ansell,ANN,15.95,15.68,15.68,,
Aurora Prop unt,AUP,5.28,5.22,5.22,,
BWP Trust unt,BWP,2.03,2.02,2.02,,
Caltex Aust,CTX,15.89,15.85,15.85,,
carsales.com,CRZ,7.65,7.43,7.43,,
Charter Hall Grp forus,CHC,2.92,2.69,2.73,,
Charter Hall Ret REIT unt,CQR,3.66,3.55,3.60,,
CSL,CSL,45.95,44.99,44.99,,
DUET Grp forus,DUE,2.15,2.10,2.13,,
Energy Action,EAX,2.29,2.25,2.25,,
ETFS All Commodities,ETPCMD,15.00,14.74,14.74,,
ETFS Copper,ETPCOP,36.72,35.51,35.77,,
ETFS Brent Crude Oil,ETPOIL,65.81,64.26,64.26,,
EVZ,EVZ,.071,.039,.039,,
FSA Grp,FSA,.39,.38,.38,,
Generation Healthcare unt,GHC,.91,.89,.89,,
GPT Grp stp,GPT,3.65,3.59,3.59,,
Healthscope Notes 11.25% cn,HLNG,106.90,105.00,106.00,,
iShares S&P Mcap 600 cdi,IJR,75.10,73.36,73.36,,
James Hardie Ind cdi,JHX,8.67,8.56,8.56,,
Mirvac Grp stp,MGR,1.425,1.36,1.40,,
NZ Oil & Gas,NZO,.69,.67,.67,,
News Corp b voting,NWS,23.54,22.88,22.88,,
  a nonvote,NWSLV,23.36,22.64,22.64,,
Redbank Energy,AEJ,5.30,4.20,4.30,,
Regis Res,RRL,4.96,4.92,4.92,,
  opt oct12,RRLOB,3.92,3.90,3.90,,
Silver Chef,SIV,4.11,4.05,4.05,,
SPDR Prop Fund etf unt,SLF,8.79,8.57,8.60,,
Tatts Grp bondjul19,TTSHA,101.58,101.40,101.40,,
Transpacific Indust,TPI,.925,.90,.90,,
Vngd US Total Market cdi,VTS,71.05,69.94,69.94,,
Wesfarmers,WES,35.97,34.67,35.20,,
  part prot,WESN,36.70,35.90,36.43,,
Westfield Grp stp,WDC,10.45,10.10,10.15,,
Woolworths,WOW,30.56,29.68,29.68,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
AJ Lucas Grp,AJL,.61,.68,.68,,
Anatolia Energy,AEK,.041,.065,.06,,
Arrium,ARI,.565,.64,.64,,
Ausgold opt mar13,AUCO,.08,.09,.09,,
Bannon,BNX,.175,.18,.18,,
Benitec Biopharma opt dec13,BLTOB,.002,.004,.004,,
Cabral Res,CBS,.028,.039,.031,,
Cape Lambert Res,CFE,.25,.285,.27,,
Cazaly Res,CAZ,.165,.18,.18,,
CBD Energy,CBD,.032,.04,.038,,
Celamin Hldgs ctg,CNLCA,.06,.10,.10,,
Coal of Africa,CZA,.26,.275,.275,,
Corazon Min,CZN,.019,.021,.021,,
Core Serv Grp,CRV,.013,.015,.015,,
Crusader Res,CAS,.39,.48,.48,,
CSG,CSV,.46,.74,.71,,
Emeco Hldgs,EHL,.655,.732,.732,,
Fairstar Res,FAS,.007,.008,.008,,
Fortescue Metals Grp,FMG,2.81,3.47,3.47,,
Gladiator Res,GLA,.026,.03,.03,,
Globe Metals & Mining,GBE,.077,.089,.088,,
Golden West Res,GWR,.245,.25,.25,,
HGL,HNG,.505,.525,.51,,
Highfield Res,HFR,.13,.20,.15,,
Hunter Hall Int'l,HHL,3.00,3.27,3.27,,
ImpediMed,IPD,.135,.15,.15,,
IMX Res,IXR,.12,.14,.14,,
International Coal,ICX,.10,.125,.125,,
Lochard Energy Grp cdi,LHD,.105,.12,.12,,
Luiri Gold cdi,LGM,.044,.045,.045,,
Macmahon Hldgs,MAH,.50,.58,.565,,
Magnetic Res,MAU,.065,.08,.08,,
MOD Resources,MOD,.052,.062,.057,,
Nevada Iron,NVI,.14,.15,.15,,
NRW Hldgs,NWH,2.05,2.43,2.43,,
Ord River Res,ORD,.011,.013,.012,,
Pacific Environment,PEH,.025,.03,.03,,
Papyrus Aust,PPY,.022,.03,.03,,
Paynes Find Gold,PNE,.013,.014,.014,,
Petratherm,PTR,.034,.037,.037,,
Prime Financial,PFG,.085,.09,.09,,
Promesa,PRA,.041,.055,.051,,
Sedgman,SDM,.99,1.09,1.09,,
Shaw River Manganese,SRR,.014,.015,.015,,
Talisman Min,TLM,.24,.26,.26,,
Ten Network Hldgs,TEN,.36,.38,.38,,
Thor Min Plc cdi,THR,.012,.013,.013,,
TriAusMin,TRO,.064,.072,.071,,
Universal Coal cdi,UNV,.115,.13,.12,,
Uranex,UNX,.08,.09,.09,,
West Wits Min,WWI,.019,.02,.02,,
White Energy,WEC,.23,.26,.26,,
Zylotech,ZYL,.09,.105,.105,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
