ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4580.9 at 2012-10-18T16:59:36. Report at Thursday, October 18, 2012. Processed Friday at 2012-10-19T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
All 200 Financials etf unt,FIN,4.89,4.78,4.61,,
ALE Prop Grp stp,LEP,2.28,2.20,2.21,,
AMA Grp,AMA,.285,.235,.23,,
Amalgamated Hldgs,AHD,7.07,7.05,6.84,,
AMP,AMP,4.85,4.54,4.52,,
Ansell,ANN,16.87,16.78,16.05,,
ANZ Banking Grp,ANZ,27.63,25.80,24.98,,
APT Pipelines notesep72,AQHHA,101.76,101.29,101.10,,
ARB Corp,ARP,10.95,10.39,9.99,,
Argo Invest,ARG,5.70,5.58,5.49,,
Attila Res,AYA,1.035,.99,.70,,
Aust Gov Index Fund,AQF,1.65,1.63,1.56,,
Aust Foundation,AFI,4.69,4.62,4.50,,
  6.25% cn,AFIG,109.50,108.00,107.70,,
Aust United Invest,AUI,6.30,6.17,6.00,,
Brambles,BXB,7.69,7.25,7.12,,
Bravura Solutions,BVA,.23,.21,.205,,
Breaker Res,BRB,.32,.25,.25,,
  opt dec14,BRBO,.10,.07,.065,,
Breville Grp,BRG,6.15,5.77,5.75,,
BWP Trust unt,BWP,2.09,2.08,2.03,,
Capilano Honey,CZZ,2.28,2.20,2.27,,
Carlton Invest,CIN,18.95,18.75,17.65,,
Cash Convert,CCV,.85,.82,.80,,
Citation Res opt jul13,CTROA,.009,.008,.005,,
Cochlear,COH,74.00,71.90,68.99,,
Codan,CDA,1.93,1.595,1.45,,
Crown,CWN,9.61,9.56,9.40,,
  notesep72,CWNHA,101.75,100.55,100.00,,
CSL,CSL,48.64,47.49,46.01,,
Diversified United Inv,DUI,2.74,2.68,2.60,,
Equamin cdi,EQH,.60,.50,.34,,
Evolution Mining,EVN,2.11,2.02,1.99,,
ETS Citigroup,ETSCIT,36.91,32.70,32.70,,
ETS General Electric,ETSGEL,22.00,21.91,21.39,,
Flight Centre,FLT,27.08,25.65,25.13,,
Generation Healthcare unt,GHC,1.00,.92,.97,,
Ingenia Grp stp,INA,.28,.27,.27,,
Insurance Aust Grp,IAG,4.57,4.47,4.46,,
Integrated Research,IRI,1.375,1.235,1.10,,
Investa Office Fd stp,IOF,3.04,3.02,3.00,,
iShares UBS Comp Bnd etf unt,IAF,106.79,105.13,105.74,,
James Hardie Ind cdi,JHX,9.475,9.22,9.25,,
Lend Lease Grp stp,LLC,8.79,8.26,8.64,,
Macquarie Grp,MQG,30.92,29.58,29.865,,
Magellan Flagship opt oct17,MFFO,.18,.15,-,,
Miclyn Express,MIO,2.35,2.27,2.34,,
Milton Corp,MLT,16.65,16.40,16.00,,
Mutiny Gold opt jul13,MYGOA,.088,.077,.069,,
National Aust Bank,NAB,27.13,26.40,25.69,,
  notejun22,NABHB,103.90,103.35,101.95,,
OceanaGold Corp cdi,OGC,3.54,3.48,3.22,,
Perpetual,PPT,28.28,27.40,27.70,,
Prairie Downs Metals,PDZ,.67,.535,.50,,
Prana Biotech,PBT,.31,.25,.29,,
Premier Invest,PMV,6.09,5.95,5.89,,
Retail Food Grp,RFG,3.13,3.00,2.96,,
Rubik Financial,RFL,.11,.09,.072,,
Sierra Min,SRM,.24,.215,.20,,
SPDR 200 Financials etf unt,OZF,16.05,15.78,15.27,,
SPDR 200 Fund etf unt,STW,43.52,42.88,42.00,,
SPDR 50 Fund etf unt,SFY,45.74,45.05,44.43,,
SPDR Prop Fund etf unt,SLF,8.97,8.84,8.85,,
SPDR MSCI Aus Sel HDY etf unt,SYI,25.03,24.85,24.50,,
Strickland Res opt may15,STKO,.105,.085,.053,,
Sun Resources,SUR,.083,.079,.076,,
Suncorp Grp,SUN,9.78,9.59,9.49,,
Sunland Grp,SDG,1.085,1.01,.97,,
Super Retail Grp,SUL,8.76,8.50,8.29,,
TAG Pacific opt oct17,TAGO,.088,.085,-,,
Tatts Grp bondjul19,TTSHA,103.50,103.10,102.90,,
The Reject Shop,TRS,13.75,13.19,12.544,,
TPG Telecom,TPM,2.42,2.38,2.25,,
Vngd Aust High Yield etf unt,VHY,53.07,52.50,52.10,,
Westfield Grp stp,WDC,10.70,10.47,10.45,,
Westpac Banking,WBC,26.12,26.06,24.95,,
Whitefield,WHF,3.09,3.04,2.95,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aviva Corp,AVA,.071,.078,.084,,
Betashares Aust Bear etf unt,BEAR,21.71,22.01,22.43,,
Boadicea Res,BOA,.37,.45,-,,
Bullabulling Gold,BAB,.115,.15,.15,,
Eagle Nickel,ENL,.011,.016,.017,,
Elementos opt apr14,ELTO,.01,.015,-,,
Entek Energy,ETE,.07,.076,.084,,
Fleetwood Corp,FWD,9.31,10.10,10.10,,
Hills Hldgs,HIL,.75,1.115,1.105,,
Hudson Res,HRS,.22,.23,.23,,
Metal Bank,MBK,.033,.037,.035,,
Mission NewEnergy,MBT,.065,.066,.07,,
OBJ,OBJ,.012,.014,.013,,
Pan Pacific Pet,PPP,.105,.15,.14,,
PMP,PMP,.22,.24,.25,,
Port Bouvard,PBD,.012,.014,.013,,
Rico Res,RRI,.05,.052,.06,,
Rox Resources,RXL,.013,.014,.019,,
Shearer (John) Hldgs,SHR,1.75,1.90,1.90,,
Universal Coal cdi,UNV,.10,.105,.11,,
Vietnam Industrial,VII,.12,.14,.16,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
