ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4502.2 at 2012-11-08T16:38:07. Report at Thursday, November 8, 2012. Processed Friday at 2012-11-09T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Agri Energy,AAE,.012,.009,.01,,
Alicanto Min,AQI,.26,.25,.255,,
APA Fin Services,APP,.01,.008,.008,,
Aust Foundation 6.25% cn,AFIG,113.00,112.00,112.00,,
Caltex Aust,CTX,17.58,17.30,17.48,,
Cochlear,COH,74.03,72.30,74.00,,
Codan,CDA,2.55,2.24,2.19,,
Colonial Hldgs frn mar37,CNGHA,104.50,103.60,103.40,,
C'wlth Bank  of Aust,CBA,58.19,57.91,57.88,,
FSA Grp,FSA,.455,.435,.42,,
Gas2Grid,GGX,.125,.10,.11,,
Insurance Aust Grp,IAG,4.755,4.63,4.64,,
James Hardie Ind cdi,JHX,9.53,9.315,9.475,,
Jumbo Interactive,JIN,1.99,1.955,1.895,,
Metals Of Africa,MTA,.25,.24,.24,,
Northern Star Res,NST,1.56,1.475,1.34,,
Premier Invest,PMV,6.24,6.20,6.19,,
RNY Prop Tr unt,RNY,.19,.165,.16,,
Saunders Int'l,SND,.735,.65,.65,,
Tag Pacific,TAG,.30,.29,.28,,
Tamawood,TWD,2.52,2.49,2.45,,
TZ opt oct13,TZLO,.029,.025,.019,,
Westpac Banking frn aug22,WBCHA,104.50,103.90,104.00,,
Whitefield crps,WHFPB,112.50,111.50,111.50,,
Yellow Brick Road,YBR,.41,.24,.27,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
AnaeCo,ANQ,.028,.032,.03,,
Atlantic,ATI,.21,.28,.27,,
Ausgold,AUC,.13,.15,.15,,
Bannerman Res,BMN,.08,.083,.081,,
Bassari Res,BSR,.034,.036,.036,,
Bendigo & Adelaide Bk pref,BENPD,100.45,100.95,-,,
Black Fire Minerals,BFE,.039,.04,.043,,
BrisConnection Tr stp,BCS,.44,.60,.60,,
Capital Min,CMY,.008,.011,.01,,
Caravel Energy opt dec12,CRJO,.001,.004,.004,,
Coal of Africa,CZA,.19,.205,.20,,
Entek Energy,ETE,.051,.062,.063,,
FKP Prop Grp stp,FKP,.205,.22,.215,,
GBM Resources opt jun13,GBZOA,.001,.002,.002,,
Golden Gate Pet,GGP,.006,.007,.007,,
Image Res,IMA,.215,.27,.265,,
Korab Res,KOR,.07,.085,.084,,
Legacy Iron Ore opt dec12,LCYOA,.002,.003,.003,,
Neon Energy,NEN,.23,.255,.255,,
OM Hldgs,OMH,.18,.25,.26,,
Paladin Energy,PDN,1.03,1.075,1.095,,
PMP,PMP,.175,.195,.20,,
RBS Apple,RBSAPL,537.00,566.25,569.85,,
Sedgman,SDM,.925,.93,.93,,
Seven West Media,SWM,1.07,1.145,1.112,,
Spitfire Res,SPI,.048,.052,.052,,
Sthn Cross Expl,SXX,.01,.011,.011,,
Structural Systems,STS,.58,.61,.61,,
Thor Min Plc cdi,THR,.009,.01,.012,,
UBS IQ Res Pf ASF etf unt,ETF,19.47,19.60,19.80,,
UGL,UGL,10.08,10.51,10.40,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
