ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4443.5 at 2012-11-26T16:53:37. Report at Monday, November 26, 2012. Processed Tuesday at 2012-11-27T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
ARB Corp,ARP,11.07,10.98,10.95,,
Capitol Health,CAJ,.094,.088,.08,,
C'wlth Bank  of Aust perls vi,CBAPC,104.199,104.10,102.40,,
Cradle Res,CXX,.23,.22,.13,,
Dacian Gold,DCN,.69,.65,-,,
Energy Developments,ENE,3.19,3.14,3.03,,
Fletcher Bldg,FBU,6.34,6.32,6.06,,
Magellan Fin Grp,MFG,4.75,4.52,3.95,,
  opt jun16,MFGOC,1.815,1.60,1.05,,
Multiplex Sites sites,MXUPA,80.20,80.05,78.50,,
My Net Fone,MNF,1.01,.955,.78,,
NIB Hldgs,NHF,1.995,1.99,1.83,,
Northern Star Res,NST,1.585,1.56,1.34,,
Orinoco Gold opt may15,OGXO,.24,.225,.115,,
Perpetual,PPT,30.36,30.15,28.28,,
Rawson Res,RAW,.12,.115,.11,,
REA Grp,REA,18.75,18.53,18.03,,
SDI,SDI,.265,.25,.245,,
Silver Chef,SIV,5.00,4.87,4.90,,
Suncorp Grp pref cps2,SUNPC,102.50,102.29,-,,
The Reject Shop,TRS,14.91,14.86,14.49,,
Titan Energy,TTE,.023,.02,.022,,
Xero,XRO,5.12,5.08,-,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
AnaeCo,ANQ,.025,.028,.03,,
Apex Minerals,AXM,.071,.072,.072,,
Aura Energy,AEE,.105,.11,.11,,
  opt dec14,AEEO,.017,.02,.03,,
Ausmon Resources,AOA,.027,.03,.028,,
Aust Bauxite,ABZ,.225,.24,.26,,
Austal,ASB,.51,.57,.929,,
Bassari Res,BSR,.031,.032,.036,,
Black Mountain,BMZ,.17,.195,.225,,
Bligh Res,BGH,.057,.075,.065,,
Catalyst Metals,CYL,.32,.35,.38,,
Cobar Cons Res,CCU,.345,.535,.55,,
Fleetwood Corp,FWD,9.00,9.35,9.31,,
Flinders Mines,FMS,.07,.071,.082,,
Gladiator Res,GLA,.022,.025,.025,,
Globe Metals & Mining,GBE,.068,.07,.08,,
Golden Rim Res,GMR,.086,.091,.10,,
GR Engineering,GNG,.75,.78,.86,,
Hawkley Oil & Gas opt mar14,HOGO,.03,.032,.046,,
Hunter Hall Int'l,HHL,2.61,2.81,2.80,,
Investorfirst,INQ,.01,.011,.013,,
Invigor Grp,IVO,.17,.18,.25,,
Metminco,MNC,.059,.06,.075,,
Northern Minerals,NTU,.175,.195,.195,,
OGL Resources cdi,OGL,.04,.045,.046,,
Panterra Gold,PGI,.105,.115,.14,,
  opt dec14,PGIO,.036,.04,.07,,
Phosphate Aust,POZ,.043,.047,.05,,
Resource & Invest,RNI,.18,.185,.20,,
Reverse Corp,REF,.01,.026,.024,,
Spitfire Res,SPI,.045,.047,.052,,
Stellar Res,SRZ,.063,.068,.08,,
Stonehenge Metals,SHE,.011,.013,.018,,
Telesso Tech,TEO,.01,.015,.02,,
Terramin Aust,TZN,.023,.026,.04,,
TUC Resources,TUC,.062,.063,.086,,
  opt aug14,TUCO,.012,.016,.023,,
Vector Res,VEC,.058,.06,.07,,
Victory Mines,VIC,.14,.15,.15,,
Vngd Aust FI Ind etf unt,VAF,49.92,49.98,50.00,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
