ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4664.6 at 2012-12-31T14:49:05. Report at Monday, December 31, 2012. Processed Tuesday at 2013-01-01T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Aberdeen Leaders,ALR,1.16,1.12,1.10,,
All 200 Fin-x-A-REIT etf unt,FIX,5.99,5.97,5.79,,
Ainsworth Game Tech,AGI,2.81,2.79,2.44,,
Amcom Telco,AMM,1.50,1.41,1.45,,
Austbrokers Hldgs,AUB,8.65,8.35,8.20,,
BC Iron,BCI,3.66,3.65,3.05,,
BKI Invest,BKI,1.375,1.36,1.30,,
Blackmores,BKL,33.65,33.54,31.32,,
Breville Grp,BRG,6.86,6.39,6.05,,
Brickworks,BKW,11.54,11.38,11.50,,
Carlton Invest,CIN,19.70,19.65,19.25,,
Cochlear,COH,79.59,78.90,76.12,,
Diversified United Inv,DUI,2.88,2.84,2.73,,
Funtastic,FUN,.245,.24,.24,,
G8 Education,GEM,1.64,1.62,1.495,,
GPT Grp stp,GPT,3.73,3.70,3.55,,
Heritage Bank 10%3mth19,HBSHA,111.50,110.95,109.00,,
IOOF Hldgs,IFL,7.25,7.20,6.53,,
Macquarie Grp,MQG,35.68,34.93,32.90,,
McMillan Shakespeare,MMS,14.00,13.71,13.46,,
Monadelphous Grp,MND,24.80,24.08,22.09,,
Perpetual,PPT,35.14,34.11,31.38,,
Ramsay Health Care,RHC,27.93,27.30,26.72,,
Red Metal,RDM,.52,.355,.28,,
Royal Wolf Hldgs,RWH,2.62,2.35,2.40,,
Russell  Aust Value etf unt,RVL,28.12,28.08,27.24,,
Russell High Div etf unt,RDV,25.12,25.09,24.43,,
Scott Corp,SCC,.41,.40,.36,,
Sirtex Medical,SRX,13.30,13.10,11.95,,
STW Comms,SGN,1.14,1.135,1.125,,
Tandou,TAN,.45,.425,.44,,
Tatts Grp,TTS,3.03,2.99,2.995,,
TPG Telecom,TPM,2.62,2.53,2.40,,
Vngd Aust High Yield etf unt,VHY,55.29,54.77,53.15,,
Vngd Aust Shares etf unt,VAS,60.95,60.32,58.18,,
Wotif.com Hldgs,WTF,5.28,5.25,4.94,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aurora Absolute Return ord unt,ABW,1.06,1.065,1.07,,
Azimuth Res,AZH,.22,.225,.265,,
BioDiem opt dec14,BDMO,.003,.006,-,,
Bougainville Copper,BOC,.51,.63,.60,,
Carbon Minerals,CRM,1.10,1.25,1.25,,
Elemental Min,ELM,.365,.385,.38,,
Elementos,ELT,.025,.029,.033,,
ETFS All Commodities,ETPCMD,13.58,15.00,15.00,,
Flinders Mines,FMS,.065,.068,.07,,
ImpediMed,IPD,.08,.09,.091,,
Mantle Min Corp opt dec13,MNMOA,.02,.027,.025,,
Molopo Energy,MPO,.275,.31,.385,,
New Standard Energy,NSE,.27,.28,.285,,
Paringa Res,PNL,.25,.28,-,,
Phosphate Aust,POZ,.027,.03,.043,,
Tiaro Coal,TCM,.175,.205,.22,,
Troy Resources,TRY,3.61,3.70,3.90,,
UnderCoverWear,UCW,.016,.018,.022,,
Vector Res,VEC,.045,.049,.047,,
Viking Ashanti,VKA,.068,.075,.078,,
Zylotech,ZYL,.028,.035,.04,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
