ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4733.8 at 2013-01-11T16:53:35. Report at Friday, January 11, 2013. Processed Saturday at 2013-01-12T01:00:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
AMP,AMP,5.12,4.96,4.89,,
ARB Corp,ARP,11.41,11.16,11.36,,
Argo Invest,ARG,6.38,6.33,6.23,,
Asian American Med,AJJ,.185,.17,.16,,
Aust Foundation,AFI,5.31,5.28,5.10,,
Aust United Invest,AUI,6.88,6.76,6.64,,
Azure Healthcare,AZV,.047,.044,.046,,
Bank of Qld pref,BOQPD,101.90,101.50,101.40,,
BKI Invest,BKI,1.42,1.41,1.375,,
Blackmores,BKL,34.49,34.00,34.01,,
Brambles,BXB,8.00,7.71,7.65,,
Capilano Honey,CZZ,2.55,2.35,2.35,,
Carindale Prop unt,CDP,5.71,5.70,5.70,,
Cedar Woods Prop,CWP,4.89,4.57,4.69,,
Cerro Res,CJO,.145,.135,.14,,
Cochlear,COH,81.57,80.33,79.99,,
Collins Foods,CKF,1.49,1.33,1.40,,
Computershare,CPU,9.72,9.46,9.17,,
Corporate Travel,CTD,3.93,3.72,3.72,,
Credit Corp Grp,CCP,8.76,8.58,8.21,,
Crown,CWN,11.54,11.19,10.75,,
Diversified United Inv,DUI,2.97,2.95,2.90,,
Djerriwarrh Invest,DJW,4.31,4.25,4.15,,
Domino's Pizza,DMP,11.10,10.70,10.60,,
Engenco rts 11jan,EGNR,.03,.028,.028,,
Fletcher Bldg,FBU,6.97,6.79,6.79,,
Infomedia,IFM,.435,.405,.41,,
Insurance Aust Grp cps,IAGPC,103.00,102.00,101.95,,
iShares MSCI Hong Kong cdi,IHK,19.04,18.81,18.50,,
Jumbo Interactive,JIN,2.90,2.39,2.59,,
K & S Corp,KSC,1.93,1.90,1.85,,
Lend Lease Grp stp,LLC,9.80,9.61,9.37,,
Linc Energy,LNC,2.06,1.312,1.32,,
Magellan Fin Grp,MFG,6.42,6.12,5.70,,
Mirvac Grp stp,MGR,1.565,1.51,1.55,,
Mobilarm,MBO,.07,.05,.05,,
News Corp b voting,NWS,26.04,25.90,24.98,,
  a nonvote,NWSLV,25.50,25.27,24.33,,
Nufarm Finance (NZ) exc.nov11,NFNG,86.15,85.50,86.00,,
Osprey Med cdi,OSP,.59,.42,.42,,
Peet 9.5% cn,PPCG,99.50,98.25,99.00,,
RungePincockMinarco,RUL,.675,.625,.61,,
Seek,SEK,7.70,7.38,7.16,,
Sino Gas Energy,SEH,.15,.14,.14,,
Suncorp Grp,SUN,10.88,10.50,10.37,,
Sunland Grp,SDG,1.12,1.02,1.04,,
Tatts Grp bondjul19,TTSHA,106.45,104.85,104.999,,
Templeton Global,TGG,.835,.83,.80,,
UBS IQ Res Pf ASF etf unt,ETF,21.10,20.32,20.36,,
Village Roadshow,VRL,4.26,4.02,4.07,,
Vision Eye Institute,VEI,.585,.485,.52,,
WAM Research,WAX,.95,.93,.935,,
Wesfarmers,WES,37.67,37.31,37.19,,
  part prot,WESN,38.84,38.50,38.30,,
Westfield Grp stp,WDC,10.84,10.70,10.76,,
Westpac Banking,WBC,26.75,26.32,26.40,,
Yowie Grp opt dec15,YOWO,.035,.028,.027,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Castle Minerals,CDT,.077,.085,.085,,
Condor Blanco Min,CDB,.04,.046,.045,,
FeOre,FEO,.056,.08,.058,,
Frontier Res,FNT,.037,.04,.04,,
GBM Resources,GBZ,.028,.03,.03,,
Goldminex Res,GMX,.041,.042,.043,,
MGT Res,MGS,.099,-,-,,
Noble Min Res,NMG,.10,.11,.115,,
Red Emperor Res,RMP,.046,.05,.048,,
REVA Medical cdi,RVA,.43,.51,.51,,
Royal Res,ROY,.05,.058,.055,,
  opt oct13,ROYOA,.005,.01,.01,,
Sth American Ferro,SFZ,.081,.095,.094,,
Victory Mines,VIC,.07,.089,.09,,
Vngd Aust FI Ind etf unt,VAF,49.04,49.10,49.92,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
