ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5120.4 at 2013-02-28T16:54:35. Report at Thursday, February 28, 2013. Processed Friday at 2013-03-01T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Ainsworth Game Tech,AGI,3.59,3.25,3.04,,
Air New Zealand,AIZ,1.13,1.03,1.055,,
Amalgamated Hldgs,AHD,8.23,8.15,7.71,,
ANZ Banking Grp,ANZ,28.89,28.83,26.82,,
APN Prop Grp,APD,.265,.245,.205,,
ARB Corp,ARP,12.65,12.50,12.10,,
Asian Masters Fund,AUF,1.03,1.02,1.01,,
Aust Gov Index Fund,AQF,1.85,1.84,1.75,,
Aust Social Infra Fd unt,AZF,2.16,2.12,2.06,,
Aust Leaders Fund,ALF,1.57,1.515,1.50,,
Azure Healthcare,AZV,.052,.05,.05,,
Bank of Qld pref,BOQPC,100.90,91.00,93.50,,
BC Iron,BCI,4.09,4.06,3.80,,
Black Star Pet,BSP,.21,.20,.20,,
BlueScope Steel,BSL,4.55,4.50,3.77,,
Boral,BLD,5.20,4.93,5.14,,
Brambles,BXB,8.80,8.78,8.24,,
BT Invest Mgt,BTT,3.45,3.25,2.99,,
carsales.com,CRZ,9.29,9.14,8.92,,
Cellmid,CDY,.033,.026,.028,,
  opt oct16,CDYO,.016,.01,.009,,
Charter Hall Grp forus,CHC,3.79,3.72,3.48,,
CIC Aust,CNB,.62,.60,.55,,
Coca-Cola Amatil,CCL,14.49,14.474,13.935,,
Codan,CDA,3.65,3.32,2.85,,
Corporate Travel,CTD,4.55,4.34,4.08,,
CSL,CSL,60.00,58.95,55.97,,
Energy Action,EAX,3.63,3.49,3.55,,
ERM Power,EPW,2.50,2.39,2.15,,
Finbar Grp,FRI,1.45,1.36,1.27,,
Flagship Invest,FSI,1.34,1.33,1.31,,
G8 Education,GEM,1.955,1.795,1.72,,
