ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5202.5 at 2013-05-14T16:51:05. Report at Tuesday, May 14, 2013. Processed Wednesday at 2013-05-15T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Ainsworth Game Tech,AGI,4.28,4.00,3.87,,
Air New Zealand,AIZ,1.26,1.25,1.255,,
Alternative Invest unt,AIQ,.28,.27,.267,,
Amcor,AMC,10.39,10.11,9.90,,
APA Grp stp,APA,6.76,6.75,6.59,,
Aristocrat Leisure,ALL,4.35,4.22,3.975,,
Asaplus Res cdi,AJY,.23,.225,.225,,
ASX,ASX,39.49,38.76,37.67,,
Aurizon Hldgs,AZJ,4.44,4.35,4.18,,
Aust Enhanced unt,AYF,6.49,6.45,6.41,,
Bendigo & Adelaide Bk pref,BENPB,95.50,94.86,94.50,,
  pref,BENPD,108.80,107.85,106.50,,
Brambles,BXB,9.44,9.19,8.82,,
BWP Trust unt,BWP,2.79,2.745,2.535,,
carsales.com,CRZ,10.13,9.93,9.99,,
Cassini Res,CZI,.19,.185,.18,,
C'wlth Prop Office ord unt,CPA,1.215,1.19,1.205,,
Crown,CWN,13.55,13.24,13.02,,
DuluxGroup,DLX,4.79,4.58,4.75,,
Dyesol,DYE,.38,.25,.13,,
Empired,EPD,.73,.67,.62,,
Energy Developments,ENE,4.17,4.10,3.85,,
ETFS Energy,ETPNRG,9.58,9.44,9.39,,
Flagship Invest,FSI,1.39,1.38,1.36,,
GBST Hldgs,GBT,1.40,1.38,1.35,,
Growthpoint Prop stp,GOZ,2.58,2.54,2.55,,
Highfield Res,HFR,.33,.305,.27,,
iiNet,IIN,6.89,6.72,6.25,,
Infratil,IFZ,2.15,1.90,1.90,,
InvoCare,IVC,12.00,11.86,11.93,,
IOOF Hldgs,IFL,9.07,8.96,8.89,,
iShares Glb Cons cdi,IXI,85.77,84.84,83.65,,
iShares Glb Health cdi,IXJ,78.75,76.87,75.23,,
iShares Glb Telco cdi,IXP,64.28,63.61,61.38,,
iShares Global 100 cdi,IOO,71.77,71.24,68.00,,
iShares S&P MidCap cdi,IJH,119.34,117.93,110.86,,
iShares MSCI EAFE cdi,IVE,63.21,62.54,59.38,,
iShares MSCI Japan cdi,IJP,11.99,11.70,11.31,,
iShares MSCI Taiwan cdi,ITW,14.25,14.10,13.51,,
iShares Russell 2000 cdi,IRU,97.37,95.88,90.54,,
iShares S&P 500 cdi,IVV,165.43,163.15,155.25,,
