ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5205.9 at 2013-10-04T16:43:06. Report at Friday, October 4, 2013. Processed Saturday at 2013-10-05T01:00:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Academies A'asia,AKG,1.03,.95,.96,,
Adacel Tech,ADA,.50,.46,.46,,
Aust Education unt,AEU,1.61,1.57,1.59,,
Aust Infrastructure Fd,AIX,.023,.019,.019,,
Bega Cheese,BGA,3.76,3.56,3.56,,
Blue Energy,BUL,.115,.096,.096,,
BT Invest Mgt,BTT,4.59,4.45,4.45,,
Central Petroleum def,CTPDA,.50,-,-,,
Greencross,GXL,6.49,6.19,6.205,,
Holista Colltech,HCT,.084,.069,.07,,
King River Copper,KRC,.077,.064,.065,,
  opt jun15,KRCO,.015,.01,.01,,
Mint Wireless,MNW,.265,.19,.19,,
Mortgage Choice,MOC,2.86,2.80,2.80,,
Oakton,OKN,1.685,1.59,1.62,,
PBD Development,PBD,.026,.018,.018,,
PrimeAg Aust,PAG,.435,.425,.425,,
Richfield Int'l,RIS,.085,.075,.077,,
Schaffer Corp,SFC,5.40,5.25,5.25,,
Sino Gas Energy,SEH,.22,.20,.21,,
Sky Network TV,SKT,5.57,5.27,5.27,,
Slater & Gordon,SGH,3.84,3.82,3.82,,
Steadfast Group,SDF,1.69,1.59,1.60,,
Tamawood,TWD,3.16,3.10,3.10,,
Tribune Res,TBR,2.25,2.07,2.15,,
WAM Research,WAX,1.19,1.14,1.15,,
Warrnambool Cheese,WCB,6.46,6.19,6.19,,
Waterberg Coal,WCC,.23,.20,.20,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
AGB Dec13,GSBW13,102.34,-,-,,
Coziron Res,CZR,.03,.045,.04,,
Crater Gold Mining def,CGNDC,.08,-,-,,
Globe Metals & Mining,GBE,.038,.04,.04,,
Gujarat NRE Coal,GNM,.08,.10,.10,,
Hawthorn Res,HAW,.04,.042,.042,,
Indoor Skydive Aust rts 08oct,IDZR,.019,.14,.12,,
Indophil Res,IRN,.16,.165,.165,,
Jupiter Energy,JPR,.42,.465,.465,,
Matrix C & E,MCE,.64,.68,.67,,
Metals Finance,MFC,.006,.01,.01,,
MHM Metals,MHM,.077,.09,.086,,
MOD Resources,MOD,.027,.033,.033,,
Nemex Res,NXR,.019,.025,.02,,
Nex Metals Explore,NME,.008,.025,.01,,
OrotonGroup,ORL,5.00,5.70,5.70,,
Paladin Energy,PDN,.467,.502,.47,,
Prosperity Res,PSP,.002,.006,.005,,
Qld Mining Corp,QMN,.01,.013,.013,,
Quintessential Res,QRL,.006,.008,.007,,
Sigma Pharmaceutical,SIP,.555,.57,.57,,
Sinovus Min,SNV,.001,.002,.002,,
Water Res Grp,WRG,.002,.003,.003,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
