ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5371.2 at 2013-10-22T16:40:06. Report at Tuesday, October 22, 2013. Processed Wednesday at 2013-10-23T01:00:34+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Trafalgar Corp stp,TGP,.68,.675,.665,,
Ainsworth Game Tech,AGI,4.64,4.37,4.43,,
Air New Zealand,AIZ,1.45,1.37,1.37,,
ANZ Banking Grp,ANZ,32.335,31.99,31.75,,
APN News & Media,APN,.46,.415,.385,,
Ardent Leisure Grp stp,AAD,2.05,1.96,1.98,,
Australian Ind Reit def,ANI,2.12,-,-,,
Aust Leaders Fund,ALF,1.805,1.77,1.745,,
  opt sep14,ALFO,.385,.34,.34,,
Aust Pharmaceutical,API,.565,.545,.51,,
Bank of Qld,BOQ,12.05,11.99,11.01,,
Benitec opt dec13,BLTOB,.095,.025,.04,,
BetaShares FTSE RAFI etf unt,QOZ,12.20,12.10,12.08,,
Brambles,BXB,9.64,9.56,9.25,,
Capilano Honey,CZZ,4.33,4.30,3.30,,
Capitol Health,CAJ,.495,.48,.405,,
Careers Multilist,CGR,.15,.125,.125,,
Century Aust,CYA,.855,.85,.85,,
Consegna Grp,CGP,.071,.055,.043,,
Cyclopharm,CYC,.31,.20,.21,,
Domino's Pizza,DMP,14.81,14.135,14.50,,
Emerging Leaders,ELI,.95,.94,.91,,
Energy Developments,ENE,5.45,5.36,5.20,,
EnviroMission,EVM,.055,.047,.026,,
ETS Boeing,ETSBOE,123.33,98.149,98.149,,
FKP Prop Grp stp,FKP,2.00,1.70,1.505,,
Flagship Invest,FSI,1.525,1.475,1.41,,
Fortescue Metals Grp,FMG,5.615,5.48,5.00,,
Freedom Foods Grp,FNP,3.49,3.28,2.85,,
GBST Hldgs,GBT,3.20,2.98,3.00,,
Generation Healthcare unt,GHC,1.22,1.18,1.17,,
Global Health,GLH,.35,.30,.25,,
Henderson Grp cdi,HGG,3.54,3.44,3.34,,
Ingenia Grp stp,INA,.505,.48,.492,,
Invion,IVX,.115,.092,.105,,
iShares Glb Telecom cdi,IXP,71.32,70.54,68.73,,
Kip McGrath Edu Cntr,KME,.25,.19,.205,,
Macq Atlas Roads stp,MQA,2.63,2.60,2.50,,
Macquarie Grp,MQG,51.21,50.45,50.33,,
Macquarie Radio,MRN,1.40,1.26,1.00,,
Mercantile Investment,MVT,.14,.13,.13,,
MGM Wireless,MWR,1.60,1.41,1.49,,
Mirrabooka Invest,MIR,2.69,2.59,2.53,,
Market Vectors Banks etf unt,MVB,26.04,25.80,-,,
Market V Emering Res etf unt,MVE,10.56,10.18,-,,
Market Vectors Aust Res etf unt,MVR,20.56,20.31,-,,
Mortgage Choice,MOC,3.29,3.03,2.80,,
Murchison Metals,MMX,.052,.047,.044,,
NAOS Emerging Opp opt feb15,NCCO,.17,.15,.15,,
NewSat,NWT,.535,.525,.47,,
Nick Scali,NCK,2.99,2.98,2.95,,
Oakton,OKN,1.795,1.70,1.62,,
Orocobre,ORE,2.57,2.37,2.32,,
Platinum Capital,PMC,1.63,1.59,1.57,,
PMP,PMP,.425,.38,.38,,
PPK Grp,PPK,.63,.52,.505,,
Prophecy Int'l,PRO,.76,.70,.70,,
Pulse Health,PHG,.11,.09,.083,,
Qube Holdings,QUB,2.27,2.23,2.09,,
RBS Facebook,RBSFBK,56.00,53.09,52.97,,
RBS Walt Disney,RBSDIS,72.31,70.74,70.74,,
Rectifier Technologies,RFT,.005,.003,.001,,
Reverse Corp,REF,.05,.049,.049,,
Rumble Res opt jun15,RTROB,.012,.008,.007,,
Seek,SEK,12.92,12.50,12.49,,
Slater & Gordon,SGH,4.03,3.95,3.82,,
SmartTrans Hldgs,SMA,.045,.039,.019,,
SPDR 200 Financials etf unt,OZF,20.96,20.55,20.44,,
SPDR 200 Fund etf unt,STW,50.98,50.49,50.36,,
SPDR 50 Fund etf unt,SFY,54.46,53.90,53.72,,
SPDR MSCI Aus Sel HDY etf unt,SYI,30.73,30.42,30.62,,
SteriHealth,STP,1.55,1.50,1.43,,
Stockland stp,SGP,4.08,4.03,3.94,,
Stratatel,STE,.045,.036,.04,,
Tamawood,TWD,3.51,3.37,3.10,,
Tawana Res,TAW,.033,.024,.013,,
Templeton Global,TGG,1.265,1.235,1.20,,
The Trust Company,TRU,8.22,8.13,7.52,,
Transurban Grp stp,TCL,7.23,7.19,6.94,,
Virtus Health,VRT,9.05,9.00,8.54,,
Vngd MSCI Aust Large Co etf unt,VLC,60.85,60.15,60.65,,
Vngd Aust Shares etf unt,VAS,68.75,67.75,68.62,,
WAM Active,WAA,1.24,1.20,1.235,,
Watpac,WTP,.985,.94,.785,,
WDS,WDS,.94,.86,.81,,
Xero,XRO,25.80,24.10,17.10,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Algae.Tec,AEB,.16,.165,.165,,
Aust-American Min,AIW,.008,.009,.01,,
AGB Apr15,GSBG15,105.603,-,-,,
AGB Jun14,GSBK14,104.728,-,-,,
Aust Proteins,AYB,.035,.05,.049,,
BetaSharesBearFund,BEAR,18.27,18.49,18.47,,
Buxton Res opt jan16,BUXO,.05,.065,.065,,
Crucible Gold,CUG,.02,.028,.025,,
Drake Res,DRK,.02,.023,.023,,
Enegex NL,ENX,.016,.023,-,,
Energy Metals,EME,.15,.18,.21,,
ETFS Grains,ETPGRN,6.16,6.88,6.88,,
Hodges Res,HDG,.026,.035,.036,,
Kangaroo Res,KRL,.014,.015,.016,,
Manas Resources,MSR,.039,.05,.05,,
Monax Min,MOX,.028,.03,.029,,
Peel Mining,PEX,.26,.265,.29,,
Perpetual Res,PEC,.061,.078,.065,,
SEALINK Travel Grp,SLK,1.45,1.455,-,,
Sprintex,SIX,.008,.01,.009,,
Straits Resources,SRQ,.006,.007,.013,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
