ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5412.6 at 2014-04-16T16:41:06. Report at Wednesday, April 16, 2014. Processed Thursday at 2014-04-17T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
AIMS Prop Sec Fund unt,APW,.091,.09,.09,,
Alumina,AWC,1.37,1.33,1.265,,
Beacon Lighting Grp,BLX,1.09,-,-,,
BetaShares Commods etf unt,QCB,16.61,16.53,16.52,,
Energy One,EOL,.26,.20,.10,,
Int'l Equities,IEQ,.019,.011,.011,,
Lend Lease Grp stp,LLC,12.845,12.70,12.10,,
Macquarie Bank inc sec,MBLHB,85.25,85.00,83.80,,
Pacific Energy,PEA,.52,.49,.49,,
Preferred Capital perls iii,PCAPA,197.32,194.00,195.10,,
Sheffield Res,SFX,.82,.725,.705,,
Sierra Min,SRM,.38,.335,.29,,
  opt dec14,SRMOA,.27,.225,.20,,
SP AusNet stp,SPN,1.35,1.337,1.34,,
Talga Res,TLG,.235,.18,.23,,
Tassal Grp,TGR,4.19,4.17,4.02,,
Telecom Corp of NZ,TEL,2.47,2.44,2.37,,
TTG Fintech cdi,TUP,2.65,2.27,2.36,,
Woodside Petroleum,WPL,39.69,39.48,39.18,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
AGB Jan18,GSBA18,109.763,-,-,,
AGB Oct14,GSBS14,100.917,-,-,,
Bathurst Res NZ,BRL,.062,.066,.071,,
Carbon Energy,CNX,.013,.015,.016,,
Circadian Tech,CIR,.17,.19,.185,,
Classic Minerals,CLZ,.039,.05,.05,,
Cleveland Min,CDG,.075,.088,.09,,
Delta SBD,DSB,.175,.20,.20,,
Discovery Africa opt dec16,DAFO,.006,.015,.015,,
Dragon Min,DRA,.12,.13,.15,,
ETFS Copper,ETPCOP,32.52,33.93,33.33,,
Ethane Pipeline stp,EPX,.725,.95,.96,,
Geodynamics,GDY,.065,.068,.068,,
Great Western Expl,GTE,.021,.034,.032,,
Hot Chili,HCH,.29,.295,.375,,
Kangaroo Res,KRL,.009,.01,.01,,
Kazakhstan Corp,KPC,.225,.24,1.00,,
LogiCamms,LCM,.74,.83,.88,,
MBD Corp,MBD,.021,.023,.024,,
McAleese,MCS,.39,.525,.475,,
Midas Res def,MDSDA,.16,.175,-,,
Octanex ctg,OXXCB,.04,.06,.06,,
Patties Foods,PFL,1.155,1.18,1.29,,
Prana Biotech,PBT,.18,.19,1.005,,
Resource Generation,RES,.15,.165,.165,,
Sabre Res,SBR,.03,.035,.035,,
World Oil Res,WLR,.003,.004,.004,,
Yancoal Aust,YAL,.36,.385,.38,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
