ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5446.4 at 2014-06-19T16:38:36. Report at Thursday, June 19, 2014. Processed Friday at 2014-06-20T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Abacus Prop stp,ABP,2.565,2.53,2.51,,
Academies A'asia,AKG,1.12,1.10,1.10,,
ANZ Banking Grp pref cps2,ANZPA,102.80,102.00,102.75,,
AP Eagers,APE,6.25,5.535,5.51,,
APA Grp stp,APA,7.13,7.09,7.03,,
Austal,ASB,1.315,1.235,1.18,,
AusTex Oil,AOK,.205,.19,.18,,
Bendigo & Adelaide Bk,BEN,12.20,12.14,11.80,,
Bentham IMF bnd jun19,IMFHA,105.00,104.00,103.30,,
Botswana Metals,BML,.029,.019,.017,,
  opt dec16,BMLOB,.01,.007,.007,,
Challenger,CGF,7.46,7.44,7.43,,
DUET Grp forus,DUE,2.48,2.46,2.45,,
Intercept Minerals,IZM,.004,.002,.002,,
Investa Office Fd stp,IOF,3.48,3.415,3.41,,
iShares UBS Treasury etf unt,IGB,102.32,101.40,102.07,,
Kibaran Resources opt aug15,KNLO,.10,.05,.05,,
Liquefied Natural,LNG,2.59,1.73,1.14,,
Macq Atlas Roads stp,MQA,3.41,3.29,3.35,,
Macquarie Grp,MQG,61.19,60.79,60.88,,
Matsa Res,MAT,.41,.325,.295,,
Minrex Res,MRR,.12,.091,.06,,
MRL Corp,MRF,.12,.105,.09,,
OceanaGold Corp cdi,OGC,3.18,3.16,2.82,,
Oil Search,OSH,9.88,9.835,9.56,,
Pilbara Minerals,PLS,.028,.01,.023,,
Red Hill Iron,RHI,1.50,1.40,1.44,,
Reward Minerals,RWD,.80,.69,.65,,
SCA Property Grp stp,SCP,1.775,1.767,1.76,,
Shine rts27jund,SHJR,.285,-,-,,
Sirius Res,SIR,3.43,3.15,3.26,,
Sky Network TV,SKT,6.41,6.17,6.25,,
SPDRWrldexAuHdgd etf unt,WXHG,18.31,18.16,17.89,,
Syndicated Metals,SMD,.06,.055,.058,,
World Reach,WRR,.315,.255,.30,,
Yellow Brick Road,YBR,.685,.645,.67,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aspermont,ASP,.037,.04,.04,,
Ausenco,AAX,.47,.50,.495,,
Black Range Min,BLR,.004,.005,.006,,
Black Star Pet,BSP,.013,.015,.10,,
Blackgold Int'l,BGG,.09,.10,.13,,
Blue Sky opt dec15,BAFO,.028,-,-,,
Citigold Corp,CTO,.02,.022,.031,,
Diatreme Res,DRX,.008,.009,.009,,
Dourado Res,DUO,.02,.105,.105,,
East Energy Res,EER,.019,.023,.02,,
Global Petroleum,GBP,.066,.081,.081,,
Greenland Min & Energy,GGG,.10,.111,.116,,
  rts26jund,GGGR,.01,.03,-,,
IMX Res,IXR,.022,.04,.04,,
Indochine Min,IDC,.03,.032,.042,,
Intra Energy,IEC,.026,.035,.04,,
Kidman Res,KDR,.05,.056,.062,,
Kinetiko Energy,KKO,.06,.085,.10,,
King Solomon Mines,KSO,.002,.003,.003,,
Kula Gold,KGD,.076,.08,.085,,
Lionhub Grp,LHB,.13,.165,.24,,
Lycopodium,LYL,2.06,2.20,2.30,,
Magnum Gas & Power,MPE,.003,.007,.008,,
Middle Island Res,MDI,.016,.021,.021,,
Minbos Res,MNB,.002,.003,.003,,
NEXTDC,NXT,1.62,1.755,1.65,,
Octanex ctg,OXXCB,.028,.03,.04,,
Paladin Energy,PDN,.305,.315,.38,,
Platina Res opt sep15,PGMO,.008,.01,.01,,
REVA Medical cdi,RVA,.12,.145,.15,,
Starpharma Hldgs,SPL,.535,.59,.60,,
Stellar Res,SRZ,.037,.041,.043,,
Sth Boulder Mines,STB,.155,.16,.175,,
Sunbridge Grp,SBB,.071,.09,.18,,
Tag Pacific,TAG,.09,.135,.135,,
Thor Min Plc cdi,THR,.002,.003,.003,,
Unity Min,UML,.009,.01,.012,,
Vietnam Industrial,VII,.10,.11,.11,,
WAM Research opt jun15,WAXO,.02,.022,.024,,
Wild Acre Metals,WAC,.017,.018,.02,,
Wollongong Coal,WLC,.015,.032,.04,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
