ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5504.5 at 2014-07-16T16:38:35. Report at Wednesday, July 16, 2014. Processed Thursday at 2014-07-17T01:00:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
ANZ Banking Grp pref cps3,ANZPC,104.70,104.45,104.42,,
Aristocrat Leisure,ALL,5.77,5.42,5.54,,
ASK Funding,AKF,.18,.16,.16,,
Audio Pixels,AKP,6.10,5.20,5.00,,
Aust Ethical,AEF,40.80,38.83,35.50,,
Barra Res,BAR,.014,.01,.011,,
Besra Gold cdi,BEZ,.07,.04,.04,,
Buxton Res opt jan16,BUXO,.175,.13,.03,,
Capilano Honey,CZZ,6.25,6.20,6.10,,
Diversified United Inv,DUI,3.72,3.71,3.65,,
Djerriwarrh Invest,DJW,4.94,4.91,4.79,,
eBet,EBT,4.18,4.00,3.95,,
Elanor Investors stp,ENN,1.31,1.29,-,,
Elders,ELD,.27,.265,.22,,
ETS Exxon Mobil,ETSXOM,109.00,101.378,101.378,,
Folkestone Edu unt,FET,1.775,1.73,1.74,,
Gowing Bros,GOW,2.78,2.71,2.76,,
Green Rock Energy,GRK,.005,.004,.001,,
Ironbark Zinc,IBG,.085,.075,.07,,
iShares MSCI Em Mkt cdi,IEM,47.36,47.15,47.19,,
Kibaran Resources,KNL,.385,.255,.195,,
  opt aug15,KNLO,.20,.065,.10,,
Konekt,KKT,.14,.13,.13,,
Macquarie Bank inc sec,MBLHB,89.00,88.99,88.48,,
Macquarie Grp cap.nte,MQGPA,106.30,105.849,105.50,,
Mantra Grp,MTR,1.89,1.845,1.85,,
Metals Of Africa,MTA,.235,.21,.125,,
  opt jan17,MTAO,.08,.055,.026,,
National Aust Bank natincsec,NABHA,81.00,80.849,79.449,,
Orocobre,ORE,2.82,2.47,2.39,,
Poseidon Nickel,POS,.187,.165,.088,,
RBS JPMorgan Chase,RBSJPM,62.20,56.638,57.00,,
RBS Walt Disney,RBSDIS,92.00,86.66,86.66,,
Refresh Grp,RGP,.056,.055,.054,,
Scentre Grp stp,SCG,3.47,3.39,3.25,,
Sirius Res,SIR,4.10,3.75,3.43,,
Sovereign Metals,SVM,.425,.42,.405,,
SPDR Prop Fund etf unt,SLF,10.20,10.06,10.09,,
Suncorp Grp,SUN,13.87,13.82,13.70,,
Talisman Min,TLM,.26,.24,.23,,
Telstra Corp,TLS,5.41,5.35,5.39,,
United Uranium,UUL,.09,.078,.066,,
Uranex,UNX,.255,.20,.205,,
  opt may17,UNXO,.145,.097,.091,,
Vngd FTSE Emerging etf unt,VGE,53.24,53.00,52.99,,
Westpac TPS Tr pref,WCTPA,97.65,97.39,97.50,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aguia Res,AGR,.039,.042,.04,,
Bathurst Res NZ,BRL,.041,.044,.045,,
Beadell Resources,BDR,.565,.59,.57,,
Bell Financial Grp,BFG,.49,.53,.54,,
Boart Longyear,BLY,.085,.145,.185,,
Cohiba Min,CHK,.035,.036,.062,,
Fitzroy River,FZR,.26,.305,.32,,
Freelancer,FLN,.81,.90,.865,,
Heritage Bank 10%3mth19,HBSHA,101.25,103.33,102.85,,
Hughes Drilling,HDX,.16,.18,.18,,
Japara Healthcare,JHC,2.24,2.37,2.25,,
Maverick Drilling,MAD,.147,.16,.195,,
MZI Resources,MZI,.007,.008,.008,,
Nomad Bldg Solutions,NOD,.035,.045,.044,,
Novogen,NRT,.14,.145,.145,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
