ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5431.1 at 2014-10-29T16:37:06. Report at Wednesday, October 29, 2014. Processed Thursday at 2014-10-30T01:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Alternative Invest unt,AIQ,.155,.145,.145,,
Amcor,AMC,11.67,11.43,11.54,,
AUS Dairy Farms stp,AHF,.26,.04,.04,,
Aust Pharmaceutical,API,.79,.74,.725,,
Avexa,AVX,.027,.016,.018,,
Corporate Travel,CTD,9.50,8.92,7.86,,
CSL,CSL,78.50,75.82,75.13,,
Ellerston Global,EGI,1.10,1.025,-,,
Eureka Gold Hldgs,EGH,.265,.23,.165,,
Infomedia,IFM,1.275,1.225,1.20,,
InvoCare,IVC,11.99,11.71,11.62,,
Kangaroo Isl Timber,KPT,3.65,3.60,3.60,,
Lend Lease Grp stp,LLC,15.59,15.47,14.61,,
Lindsay Aust,LAU,.44,.37,.40,,
Lodestar Min opt mar16,LSRO,.006,.003,-,,
Mantra Grp,MTR,2.40,2.36,2.39,,
Meridian Energy irs,MEZCA,1.625,1.54,1.44,,
Metaliko Res,MKO,.04,.032,.035,,
Metro Perform Glass,MPP,1.79,1.75,1.75,,
Mighty River Power,MYT,2.56,2.55,2.39,,
Money3 Corp,MNY,1.39,1.24,1.28,,
My Net Fone,MNF,3.43,3.25,3.30,,
Nexus Bonds nexus4,NXBHD,96.999,96.00,96.01,,
Phileo Aust,PHI,4.90,4.35,3.65,,
Qantas Airways,QAN,1.66,1.435,1.605,,
Quantum Energy,QTM,.025,.023,.013,,
Regis Healthcare,REG,4.44,4.20,-,,
Retail Food Grp,RFG,5.59,4.89,5.04,,
Shaw River Manganese,SRR,.028,.027,.017,,
Sirtex Medical,SRX,26.20,24.04,23.33,,
Sonic Healthcare,SHL,18.82,18.50,17.79,,
Spark New Zealand,SPK,2.85,2.80,2.81,,
SPDR S&P 500 ETF cdi,SPY,223.82,221.75,-,,
Tabcorp Hldgs,TAH,4.06,3.97,3.69,,
Tamawood,TWD,3.90,3.85,3.65,,
Webjet,WEB,3.56,3.39,3.24,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Alara Res,AUQ,.024,.026,.035,,
Anatara Lifesciences,ANR,.36,.37,-,,
Antipa Min,AZY,.004,.007,.011,,
Azonto Petroleum,APY,.008,.011,.013,,
Bathurst Res NZ,BRL,.032,.034,.039,,
BC Iron,BCI,1.105,1.33,1.61,,
Beadell Resources,BDR,.265,.315,.395,,
Cardno,CDD,5.34,5.40,5.99,,
Cazaly Res,CAZ,.042,.045,.055,,
Citigold Corp,CTO,.015,.016,.017,,
Condor Blanco Min,CDB,.001,.002,.002,,
Countplus,CUP,1.16,1.18,1.30,,
Coventry Grp,CYG,2.44,2.45,2.65,,
Engenco,EGN,.10,.12,.11,,
Galicia Engy Corp  jun15,GALO,.001,.002,.002,,
GPT Metro Office Fnd def,GMF,1.955,2.00,-,,
Green Invest,GNV,.017,.02,.02,,
Hammer Metals,HMX,.092,.105,.13,,
Hunter Hall Int'l,HHL,1.68,1.735,1.97,,
MaxiTRANS Ind,MXI,.62,.66,.84,,
Monash IVF Grp,MVF,1.31,1.505,1.63,,
Monax Min,MOX,.016,.019,.018,,
Northern Iron,NFE,.067,.075,.072,,
Prime Media Grp,PRT,.835,.84,.902,,
Rawson Res,RAW,.02,.026,.032,,
RTG Mining cdi,RTG,.87,.92,.99,,
Rum Jungle Res,RUM,.069,.071,.082,,
Tlou Energy,TOU,.25,.265,.26,,
Vocation,VET,.83,2.22,2.35,,
Windward Res,WIN,.15,.16,.20,,
,
[1] high/low in the previous calendar week                           [2] high/low in the previous calendar month,
