ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5849.5 at 2015-02-16T16:42:36. Report at Monday, February 16, 2015. Processed Tuesday at 2015-02-17T01:00:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Acuvax def,ACUDA,.022,.02,-,,
AMP,AMP,6.42,6.38,5.86,,
ANZ Banking Grp,ANZ,35.87,35.75,33.27,,
AP Eagers,APE,6.58,6.39,6.32,,
APN Prop Grp,APD,.395,.39,.38,,
Aristocrat Leisure,ALL,7.41,7.255,7.18,,
ASF Grp,AFA,.26,.25,.255,,
ASX,ASX,41.25,40.73,38.55,,
AusQuest,AQD,.021,.019,.016,,
Aust Pharmaceutical,API,1.165,1.14,.92,,
Bellamys Aust,BAL,2.05,2.00,1.815,,
Bendigo & Adelaide Bk,BEN,14.45,14.41,13.61,,
BetaShares DivHarv etf unt,HVST,26.17,26.02,25.38,,
BetaShares Financials etf unt,QFN,12.61,12.51,11.89,,
BetaShares Aus 200 etf unt,QOZ,13.40,13.31,12.77,,
BetaShares Geared Aust,GEAR,23.50,23.41,21.23,,
Blue Sky Alt Invest,BLA,3.55,3.40,2.95,,
BSA,BSA,.165,.16,.15,,
BT Invest Mgt,BTT,8.29,7.99,7.31,,
Burson Grp,BAP,2.85,2.74,2.55,,
Capilano Honey,CZZ,10.37,10.20,8.00,,
Centuria Metropolitan stp,CMA,2.39,2.25,2.18,,
Cobre Montana,CXB,.062,.058,.045,,
Collection House,CLH,2.35,2.33,2.12,,
Collins Foods,CKF,2.80,2.73,2.55,,
Commodities Grp,COZ,.089,.081,.071,,
Corporate Travel,CTD,12.25,11.50,10.73,,
CSG,CSV,1.405,1.27,1.20,,
CSR,CSR,4.34,4.32,4.05,,
Diversified United Inv new,DUIN,3.62,3.60,3.39,,
Domino's Pizza,DMP,36.14,34.79,26.51,,
Elanor Investors stp,ENN,1.85,1.80,1.64,,
