ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5926.3 at 2015-03-02T16:39:36. Report at Monday, March 2, 2015. Processed Tuesday at 2015-03-03T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
3D Medical,3DM,.14,.098,.10,,
3P Learning,3PL,2.68,2.50,2.50,,
Air New Zealand,AIZ,2.83,2.77,2.77,,
Altium,ALU,4.18,4.04,4.04,,
AMA Grp,AMA,.48,.475,.475,,
Amalgamated Hldgs,AHD,12.49,12.33,12.33,,
ANZ Banking Grp,ANZ,35.88,35.52,35.87,,
APA Grp stp,APA,9.67,9.21,9.21,,
APN News & Media,APN,.985,.98,.98,,
ASX,ASX,44.77,44.36,44.36,,
Auckland Airport,AIA,4.42,4.22,4.34,,
Aust Gov Index Fund,AQF,2.09,2.06,2.07,,
AusNet Services stp,AST,1.495,1.47,1.47,,
Automotive Hldgs,AHE,4.235,4.18,4.18,,
Beacon Lighting Grp,BLX,1.96,1.95,1.95,,
BetaShares S&P 500 etf unt,UMAX,17.38,17.31,17.31,,
BetaShares Financials etf unt,QFN,12.85,12.70,12.70,,
BetaShares Aus 200 etf unt,QOZ,13.72,13.64,13.64,,
BetaShares Geared Aust,GEAR,24.66,24.32,24.32,,
Blackmores,BKL,46.30,45.91,45.91,,
Boral,BLD,6.185,6.17,6.17,,
Brambles,BXB,11.19,11.12,11.12,,
BT Invest Mgt,BTT,8.78,8.75,8.75,,
Caltex Aust,CTX,38.17,37.50,37.70,,
Carnegie Wave Energy,CWE,.072,.069,.069,,
Centuria Capital,CNI,1.09,1.06,1.06,,
Century Aust,CYA,.96,.955,.955,,
Charter Hall Ret REIT unt,CQR,4.65,4.57,4.57,,
CIC Aust,CNB,.93,.905,.905,,
CSL,CSL,93.15,92.715,92.715,,
Domino's Pizza,DMP,37.04,35.25,36.74,,
DTI Grp,DTI,.47,.40,.40,,
DuluxGroup,DLX,6.27,6.26,6.26,,
Emerging Markets MF unt,EMF,1.95,1.94,1.945,,
Enerji,ERJ,.034,.033,.033,,
Excelsior Gold,EXG,.105,.10,.10,,
GBST Hldgs,GBT,5.10,5.00,5.00,,
Globe Int'l,GLB,.95,.90,.90,,
Growthpoint Prop stp,GOZ,3.09,3.08,3.08,,
Gulf Industrials,GLF,.003,.002,.002,,
Harvey Norman,HVN,4.46,4.45,4.45,,
Healthscope,HSO,3.06,2.95,2.95,,
Henderson Grp cdi,HGG,5.23,5.22,5.22,,
Hunter Hall Int'l,HHL,2.49,2.20,2.30,,
IMF Bentham,IMF,2.485,2.47,2.47,,
Independence Grp,IGO,5.80,5.72,5.72,,
Integrated Research,IRI,1.75,1.64,1.64,,
InvoCare,IVC,14.01,13.89,13.89,,
iShares Global 100 etf unt,IHOO,99.52,99.44,99.44,,
iShares MSCI Aus 200,IOZ,25.97,25.84,25.84,,
iShares S&P 500 cdi,IVV,274.04,273.98,273.98,,
iShares S&P/ASX 20,ILC,27.22,27.12,27.12,,
iShares S&P SmCap cdi,IJR,150.83,150.77,150.77,,
iShares China LCap cdi,IZZ,56.70,56.65,56.65,,
iShares MSCI Bric cdi,IBK,48.20,47.71,47.85,,
iShares MSCI EAFE cdi,IVE,83.95,83.73,83.73,,
iShares MSCI Em Mkt cdi,IEM,53.20,52.59,52.72,,
James Hardie Ind cdi,JHX,15.34,15.18,15.18,,
Landmark White,LMW,.53,.50,.52,,
Latam Autos,LAA,.32,.30,.30,,
Life Healthcare Grp,LHC,2.97,2.96,2.96,,
M2 Grp,MTU,10.15,9.99,9.99,,
Macquarie Grp,MQG,75.07,72.95,72.95,,
Magellan Flagship opt oct17,MFFO,.90,.88,.88,,
Martin Aircraft,MJP,2.02,.91,.91,,
Market Vectors Banks etf unt,MVB,30.27,29.95,29.95,,
Market Vectors Eq Wt etf unt,MVW,23.36,23.24,23.24,,
Market Vectors WexAu Qual etf unt,QUAL,18.34,18.33,18.33,,
Naracoota Res,NRR,.04,.034,.034,,
National Aust Bank,NAB,38.42,38.00,38.02,,
Nemex Res,NXR,.115,.102,.105,,
News Corp b voting,NWS,21.77,21.69,21.69,,
NEXTDC,NXT,2.65,2.60,2.60,,
Nick Scali,NCK,3.57,3.48,3.48,,
Northern Star Res,NST,2.43,2.38,2.38,,
Nufarm,NUF,7.52,7.34,7.34,,
Onevue Hldgs,OVH,.365,.35,.35,,
PAC Smiles Grp,PSQ,2.67,2.50,2.50,,
Paragon Care,PGC,.595,.53,.53,,
Perpetual,PPT,54.99,54.83,54.83,,
Praemium,PPS,.31,.30,.305,,
Premier Invest,PMV,12.18,11.85,11.85,,
QV Equities opt mar16,QVEO,.095,.092,.092,,
Ramsay Health Care,RHC,68.36,68.31,68.31,,
Rand Mining,RND,1.30,1.20,1.20,,
Red 5,RED,.12,.115,.115,,
Retail Food Grp,RFG,7.77,7.62,7.62,,
Russell  Aust Value etf unt,RVL,35.40,34.81,34.81,,
Russell High Div etf unt,RDV,33.10,33.04,33.04,,
Sedgman,SDM,.79,.765,.765,,
Silver Chef,SIV,7.85,7.70,7.70,,
SPDR 200 Financials etf unt,OZF,23.75,23.50,23.50,,
SPDR 200 Fund etf unt,STW,55.94,55.59,55.59,,
