ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5873.7 at 2015-03-05T16:42:36. Report at Thursday, March 5, 2015. Processed Friday at 2015-03-06T01:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
1-Page,1PG,1.69,1.28,1.30,,
3D Medical,3DM,.145,.098,.10,,
A1 Gold opt nov19,AYCO,.016,.011,.013,,
Adelaide Brighton,ABC,4.45,4.33,4.33,,
AP Eagers,APE,7.03,6.96,6.96,,
ASF Grp,AFA,.30,.28,.28,,
Aust Pharmaceutical,API,1.42,1.145,1.165,,
Blackmores,BKL,48.80,45.91,45.91,,
Blue Sky Alt Invest,BLA,4.05,4.00,4.00,,
Brambles,BXB,11.25,11.12,11.12,,
BSA,BSA,.18,.17,.17,,
Buderim Ginger,BUG,.71,.70,.70,,
Capitol Health,CAJ,1.02,.965,.98,,
Codan,CDA,1.02,.985,.985,,
Dacian Gold,DCN,.505,.405,.405,,
Elanor Investors stp,ENN,1.94,1.85,1.85,,
Etherstack cdi,ESK,.68,.65,.65,,
European Metals opt jun16,EMHO,.007,.005,.005,,
Folkestone Edu unt,FET,2.32,2.25,2.25,,
Godfreys Grp,GFY,3.55,3.50,3.50,,
Gowing Bros,GOW,3.23,3.20,3.20,,
Growthpoint Prop stp,GOZ,3.12,3.08,3.08,,
Highfield Res,HFR,.945,.90,.91,,
Hunter Hall Int'l,HHL,2.50,2.20,2.30,,
iSelect,ISU,1.655,1.52,1.52,,
Macquarie Bank cap note,MBLPA,100.44,100.10,100.39,,
Mayne Pharma,MYX,1.02,.96,.96,,
Mighty River Power,MYT,3.49,3.41,3.41,,
National Storage REIT stp,NSR,1.665,1.552,1.64,,
Pacific Star Network,PNW,.35,.31,.31,,
Praemium,PPS,.325,.30,.305,,
Recall Hldgs,REC,8.05,7.98,7.98,,
Reece Aust,REH,34.80,34.50,34.50,,
Refresh Grp,RGP,.069,.068,.068,,
Retail Food Grp,RFG,8.00,7.62,7.62,,
Select Harvests,SHV,7.70,7.58,7.58,,
Sonic Healthcare,SHL,20.09,19.66,19.91,,
Tabcorp Hldgs new,TAHN,4.79,4.66,4.66,,
Titan Energy,TTE,.034,.03,.032,,
Viralytics,VLA,.51,.40,.40,,
Vngd  MSCI Intl Sh H etf unt,VGAD,53.76,53.69,53.69,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
99 Wuxian cdi,NNW,.207,.305,.305,,
AG Financial,AHA,.01,.02,.017,,
Aust Masters YF3,AYJ,86.50,87.77,87.77,,
Applabs Tech opt may16,ALAO,.024,.029,.029,,
Aquarius Platinum,AQP,.215,.245,.235,,
Aurora Funds,AFV,.45,.525,.525,,
Ausenco,AAX,.32,.33,.33,,
Aust Oil Co,AOC,.05,.055,.055,,
Aust Wealth Invest,AWI,.15,.18,.18,,
BlueScope Steel,BSL,4.53,4.80,4.80,,
Callabonna Res,CUU,.009,.012,.011,,
Cannindah Res,CAE,.013,.015,.015,,
First Growth Funds,FGF,.004,.005,.005,,
Frontier Res,FNT,.004,.006,.005,,
Hammer Metals,HMX,.072,.077,.077,,
NAOS Absolute Opp,NAC,.94,.99,.99,,
NRW Hldgs,NWH,.24,.26,.26,,
Prairie Mining,PDZ,.25,.30,.295,,
Red Metal,RDM,.043,.05,.05,,
RNI NL,RNI,.051,.06,.06,,
Stream Grp,SGO,.08,.09,.09,,
Tlou Energy,TOU,.19,.195,.195,,
Traffic Tech,TTI,.038,.041,.04,,
US Residential Fund stp,USR,.76,.89,.89,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
