ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5934.5 at 2015-03-24T16:37:06. Report at Tuesday, March 24, 2015. Processed Wednesday at 2015-03-25T01:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
1-Page,1PG,2.20,2.06,1.30,,
8I Hldgs cdi,8IH,.535,.505,.41,,
Aconex,ACX,2.06,1.91,2.00,,
Adelaide Brighton,ABC,4.58,4.49,4.33,,
AMP Capital China unt,AGF,1.35,1.315,1.20,,
Ansell,ANN,27.94,27.75,25.70,,
Aristocrat Leisure,ALL,7.97,7.80,7.65,,
Aust Foundation,AFI,6.32,6.24,6.27,,
Australian Ind Reit unt,ANI,2.45,2.30,2.37,,
Boral,BLD,6.36,6.33,6.17,,
Burson Grp,BAP,3.35,3.09,2.85,,
BWP Trust unt,BWP,3.11,3.05,3.10,,
Capitol Health,CAJ,1.095,1.075,.98,,
Catapult Grp Intl,CAT,.88,.84,.60,,
Charter Hall Grp forus,CHC,5.32,5.27,5.12,,
Energy Devs,ENE,7.13,7.00,6.48,,
ETS Walt Disney,ETSDIS,138.00,131.161,131.161,,
GBST Hldgs,GBT,5.65,5.64,5.00,,
Genesis Energy,GNE,2.45,2.30,2.25,,
Global Construct,GCS,.62,.60,.555,,
Globe Int'l,GLB,1.365,1.15,.90,,
GME Resources,GME,.035,.03,.025,,
Havilah Res,HAV,.26,.24,.22,,
Incitec Pivot,IPL,4.165,4.07,4.09,,
Isignthis,ISX,.115,.102,.003,,
Macquarie Grp,MQG,78.74,77.96,72.95,,
Mount Adrah Gold,MTL,.25,.001,.001,,
Metro Min,MMI,.055,.049,.044,,
Nanosonics,NAN,2.02,1.94,1.85,,
Northern Star Res,NST,2.56,2.45,2.38,,
Osprey Med cdi,OSP,.71,.58,.62,,
Premier Invest,PMV,12.86,12.20,11.85,,
Pro Medicus,PME,1.60,1.57,1.53,,
RCG Corp,RCG,1.07,.74,.795,,
REVA Medical cdi,RVA,.58,.53,.55,,
Sigma Pharmaceut,SIP,1.007,.962,.94,,
Spotless Group,SPO,2.39,2.29,2.15,,
TPG Telecom,TPM,9.32,9.01,7.73,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Aleator Energy,AWD,.002,.003,.003,,
ANZ Banking Grp cap note2,ANZPE,97.25,97.62,98.25,,
Aquarius Platinum,AQP,.175,.18,.235,,
Brockman Min,BCK,.032,.045,.045,,
Canyon Res opt jan17,CAYOA,.005,.006,.006,,
Challenger cap note,CGFPA,97.40,97.62,97.50,,
CogState,CGS,.14,.15,.16,,
C'wlth Bank  of Aust perls vii,CBAPD,94.80,95.00,95.50,,
Cullen Res,CUL,.004,.005,.005,,
Delta SBD,DSB,.06,.12,.09,,
Fatfish Internet Grp opt jul16,FFGO,.017,.02,.018,,
Intrepid Mines,IAU,.11,.115,.12,,
KIM Diamonds,KDL,.067,.071,.091,,
Malachite Res,MAR,.005,.006,.006,,
National Aust Bank def,NABPC,99.60,-,-,,
NZ Oil & Gas,NZO,.53,.555,.58,,
Prescient Therapeut,PTX,.085,.091,.095,,
Pryme Energy,PYM,.005,.006,.006,,
Q Technology,QTG,.005,.006,.009,,
Royal Res,ROY,.022,.024,.023,,
RungePincckMinrco,RUL,.54,.56,.56,,
Sovereign Gold,SOC,.002,.003,.003,,
Specialty Fashion,SFH,.62,.63,.65,,
World.Net Services,WNS,.01,.011,.011,,
Zeta Pet cdi,ZTA,.001,.002,.002,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
