ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5901.5 at 2015-04-09T16:40:36. Report at Thursday, April 9, 2015. Processed Friday at 2015-04-10T01:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Altium,ALU,4.645,4.49,4.50,,
AMP Capital China unt,AGF,1.46,1.395,1.375,,
Ansell,ANN,29.75,29.10,28.04,,
ARB,ARB,13.00,12.57,12.74,,
Aristocrat Leisure,ALL,8.57,8.54,8.50,,
Asian Masters Fund,AUF,1.47,1.43,1.41,,
Auckland Airport,AIA,4.55,4.48,4.48,,
Austal,ASB,1.95,1.87,1.787,,
Automotive Hldgs,AHE,4.32,4.29,4.31,,
Aziana,AZK,.145,.107,.107,,
BT Invest Mgt,BTT,9.95,9.73,9.42,,
Covata,CVT,.645,.545,.60,,
Dubber Corp,DUB,.43,.40,.395,,
Eneabba Gas,ENB,.045,.042,.042,,
Eureka Gold Hldgs,EGH,.45,.39,.39,,
GBST Hldgs,GBT,6.63,6.15,6.00,,
GUD Hldgs,GUD,8.72,8.59,8.57,,
Henderson Grp cdi,HGG,5.68,5.55,5.57,,
HFA Hldgs,HFA,2.25,2.23,2.10,,
Highlands Pacific,HIG,.094,.077,.075,,
HRL Hldgs,HRL,.075,.07,.006,,
Incitec Pivot,IPL,4.40,4.17,4.18,,
iShares Asia 50 cdi,IAA,68.79,67.01,66.00,,
iShares China LCap cdi,IZZ,66.07,59.67,58.80,,
iShares MSCI Bric cdi,IBK,52.00,49.04,48.20,,
iShares MSCI Em Mkt cdi,IEM,56.20,53.88,53.20,,
iShares MSCI HK cdi,IHK,31.22,29.38,28.75,,
K2 Asset Mgt,KAM,.78,.63,.65,,
Macquarie Grp,MQG,80.90,78.84,78.82,,
Marathon Res,MTN,.16,.09,.084,,
Newfield Res,NWF,.87,.865,.83,,
Novogen,NRT,.345,.24,.235,,
Perpetual,PPT,57.20,56.42,56.09,,
Premier Invest,PMV,13.39,13.15,12.91,,
Qantas Airways,QAN,3.34,3.30,3.12,,
Rand Mining,RND,1.65,1.40,1.365,,
RCG Corp,RCG,1.17,1.06,1.13,,
Ridley Corp,RIC,1.18,1.12,1.12,,
Russaustrespinvetf etf ,RARI,25.42,-,-,,
SmartTrans Hldgs,SMA,.026,.022,.018,,
SPDR Emerging Mkts,WEMG,19.71,18.84,18.67,,
SPDR Wldex AuHdgd,WXHG,20.05,19.67,19.85,,
St Barbara,SBM,.30,.225,.23,,
Stonehenge Metals,SHE,.023,.017,.014,,
Sydney Airport forus,SYD,5.39,5.29,5.38,,
Technology One,TNE,4.31,4.18,4.05,,
The Citadel Grp,CGL,2.45,2.35,2.35,,
UBS IQ MSCI Au etf unt,UBA,20.35,-,-,,
UBS IQ MSCI WexAu etf ,UBW,20.55,20.25,20.39,,
Virgin Australia,VAH,.56,.55,.52,,
Vngd MSCI Intl Sh etf unt,VGS,63.40,59.49,60.10,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Altura Mining,AJM,.016,.02,.02,,
Arrium,ARI,.14,.15,.16,,
Ashley Services Grp,ASH,1.19,1.25,1.30,,
BC Iron,BCI,.26,.34,.35,,
Cash Convert,CCV,.77,.82,.86,,
Clover Corp,CLV,.15,.22,.22,,
DWS,DWS,.79,.83,.88,,
ETFS Natural Gas,ETPGAS,.095,.10,.099,,
Huon Aquaculture,HUO,4.45,4.53,4.53,,
Macquarie Bank inc sec,MBLHB,78.45,78.50,78.50,,
Mesoblast,MSB,3.19,3.51,3.50,,
Pancontinental Oil,PCL,.011,.013,.013,,
Perpetual Equity Inv,PIC,.95,.965,.965,,
RungePincckMinrco,RUL,.52,.55,.54,,
Salmat,SLM,.90,.915,.915,,
Sthn X Elect Engnr,SXE,.295,.30,.34,,
Titan Energy Service,TTN,.087,.095,.095,,
Western Areas,WSA,3.11,3.27,3.475,,
,
[1] high/low in the previous calendar week [                                                         2] high/low in the previous calendar month,
