ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5734.0 at 2015-06-01T16:37:36. Report at Monday, June 1, 2015. Processed Tuesday at 2015-06-02T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Advanced Share Reg,ASW,.70,.69,.69,,
Amalgamated Hldgs,AHD,13.37,13.00,13.29,,
AP Eagers,APE,9.85,9.80,9.80,,
Automotive Hldgs,AHG,4.68,4.67,4.67,,
Betasharesnasdaq100 etf unt,NDQ,10.30,10.29,10.29,,
Circadian Tech opt nov18,CIRO,.049,.04,.04,,
CSG,CSV,1.735,1.72,1.72,,
Ellerston Global opt apr18,EGIO,.33,.30,.30,,
ENV Clean Tech,ESI,.026,.022,.022,,
  opt jul17,ESIOA,.018,.015,.015,,
  opt jul17,ESIOB,.016,.012,.012,,
ERM Power,EPW,2.61,2.60,2.60,,
Falcon Minerals,FCN,.02,.017,.017,,
GB Energy,GBX,.006,.005,.005,,
Generation Health unt,GHC,1.74,1.68,1.70,,
GME Resources,GME,.07,.057,.057,,
GUD Hldgs,GUD,9.70,9.56,9.56,,
Hawthorn Res,HAW,.045,.04,.04,,
iShares Glb Health cdi,IXJ,146.88,146.40,146.40,,
Kangaroo Isl Timber,KPT,6.50,6.00,6.00,,
Kip McGrath Edu Cntr,KME,.57,.56,.56,,
Konekt,KKT,.24,.22,.22,,
Nomad Bldg Solns,NOD,.078,.073,.077,,
Nuplex Industries,NPX,3.80,3.67,3.67,,
Objective Corp,OCL,2.00,1.88,1.90,,
Phileo Aust,PHI,7.90,7.50,7.50,,
Rand Mining,RND,1.86,1.835,1.835,,
Ridley Corp,RIC,1.215,1.207,1.207,,
Siburan Res,SBU,.084,.082,.082,,
Sth Boulder Mines,STB,.425,.40,.40,,
Tomizone,TOM,.20,.005,.005,,
Tribune Res,TBR,4.00,3.90,3.90,,
UBS IQ MSCI Asia APEX 50 etf unt,UBP,20.46,19.38,19.94,,
Viralytics,VLA,.62,.565,.565,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Affinity Education,AFJ,.995,1.01,1.01,,
Aurora Div Inc Tr mfunt,AOD,.85,.865,.865,,
Aust Leaders Fund,ALF,1.20,1.22,1.22,,
BetaShares Agriculture etf unt,QAG,7.80,7.96,7.96,,
Clime Capital lpvr6qut,CAMPA,1.80,1.84,1.84,,
Colorpak,CKL,.405,.43,.43,,
DWS,DWS,.65,.655,.655,,
E & A,EAL,.19,.20,.20,,
Enverro,ERR,.28,.35,.35,,
Finbar Grp,FRI,1.21,1.24,1.22,,
Fonterra S/H Fund ord unt,FSF,4.41,4.43,4.43,,
Future Fibre Tech,FFT,.71,.79,.79,,
Mandalong Res,MDD,.03,.042,.042,,
Minotaur Explore,MEP,.077,.078,.078,,
Mint Payments,MNW,.041,.045,.045,,
Mktvectsmallcapdiv etf unt,MVS,16.92,17.00,17.00,,
National Aust Bank hyr3qu,NABHA,73.30,75.10,75.10,,
OBJ,OBJ,.053,.054,.054,,
Ozgrowth opt aug15,OZGO,.003,.007,.007,,
RMG,RMG,.025,.03,.03,,
Royal Res,ROY,.011,.012,.012,,
Suda,SUD,.027,.029,.028,,
Tasmania Mines,TMM,1.205,1.26,1.26,,
Tissue Therapies,TIS,.048,.065,.06,,
,
[1] high/low in the previous calendar week [                                                                                                                                                                             2] high/low in the previous calendar month,
