ROLLING YEAR RECORDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5506.5 at 2015-06-05T16:39:37. Report at Friday, June 5, 2015. Processed Saturday at 2015-06-06T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CompanyName,ASXCode,NewHigh,LastWk[1],LastMth[2],,
,
Aconex,ACX,2.82,2.62,2.62,,
AVZ Minerals,AVZ,.012,.009,.01,,
Bellamys Aust,BAL,3.80,3.59,3.79,,
Beta Aust Str Bear tmf unt,BBOZ,28.98,26.74,27.99,,
Carlton Invest,CIN,32.15,32.00,32.10,,
Danakali,DNK,.485,.40,.40,,
ENV Clean Tech,ESI,.028,.022,.022,,
  opt jul17,ESIOA,.019,.015,.015,,
Generation Health new,GHCN,1.75,-,-,,
K2 Energy,KTE,.027,.026,.026,,
Magnolia Res,MGB,.24,.225,.225,,
Noni B,NBL,.70,.65,.65,,
Objective Corp,OCL,2.10,1.88,1.90,,
Pilbara Minerals,PLS,.075,.055,.06,,
Resources&Energy,REZ,.11,.084,.084,,
Rutila Res,RTA,.29,.28,.285,,
St George Min opt jun17,SGQOA,.05,.026,.026,,
Unity Min,UML,.021,.018,.019,,
Viralytics,VLA,.75,.565,.565,,
,
CompanyName,ASXCode,NewLow,LastWk[1],LastMth[2],,
,
Altech Chemicals,ATC,.045,.06,.05,,
Applabs Tech,ALA,.095,.105,.105,,
Aurora Div Inc Tr mfunt,AOD,.84,.865,.865,,
Aust Finance Grp,AFG,1.095,1.13,1.13,,
Beadell Resources,BDR,.165,.202,.202,,
BetaShares DivHarv etf unt,HVST,23.10,23.67,23.30,,
BetaShares YldMax,YMAX,10.33,10.70,10.50,,
BlueScope Steel,BSL,3.02,3.32,3.28,,
Callabonna Res,CUU,.005,.008,.008,,
Cape Lambert Res,CFE,.026,.029,.029,,
Cash Convert,CCV,.71,.76,.73,,
Clime Capital lpvr6qut,CAMPA,1.73,1.84,1.84,,
Coventry Grp,CYG,1.55,1.60,1.60,,
Crusader Res,CAS,.145,.15,.15,,
E & A,EAL,.16,.20,.20,,
Energy Action,EAX,1.10,1.29,1.11,,
Fatfish Internet Grp opt jul16,FFGO,.009,.012,.012,,
Federation Cntres def x nvn,FDCN,2.81,-,-,,
FFI Hldgs,FFI,3.55,3.60,3.60,,
Gage Roads Brewing,GRB,.048,.049,.049,,
Horizon Oil,HZN,.092,.098,.098,,
Huon Aquaculture,HUO,3.42,3.53,3.53,,
IMF Bentham,IMF,1.77,1.815,1.815,,
Insurance Aust Grp,IAG,5.38,5.56,5.43,,
Kathmandu Hldgs,KMD,1.225,1.295,1.295,,
Kula Gold,KGD,.03,.04,.04,,
Lakes Oil 10% cn17,LKOGA,9.00,9.89,9.89,,
Maverick Drilling,MAD,.087,.091,.09,,
McPherson's,MCP,.70,.95,.95,,
Metcash,MTS,1.07,1.35,1.235,,
Mktvectsmallcapdiv etf unt,MVS,16.36,17.00,17.00,,
National Aust Bank fym3qut,NABHB,102.14,103.45,103.22,,
  def,NABN,31.50,33.00,33.00,,
Potash Min,POK,.015,.018,.017,,
Redstone Res,RDS,.005,.008,.008,,
Regis Res,RRL,1.13,1.165,1.165,,
Shree Minerals,SHH,.021,.03,.03,,
Simonds Grp,SIO,1.355,1.38,1.38,,
Smartpay Hldgs,SMP,.165,.19,.185,,
Stanmore Coal,SMR,.055,.062,.06,,
Sthn Hem Min,SUH,.009,.011,.011,,
STW Comms,SGN,.505,.57,.56,,
Suda,SUD,.024,.029,.028,,
Sumatra Copper cdi,SUM,.033,.045,.045,,
Suncorp-Metway nyr3qu,SBKHB,75.62,76.00,76.00,,
Swala Energy,SWE,.071,.095,.088,,
Tissue Therapies,TIS,.039,.065,.06,,
Treyo Leisure,TYO,.11,.15,.15,,
Westpac Banking,WBC,31.00,32.47,31.92,,
Winchester Engy,WEL,.065,.068,.068,,
,
[1] high/low in the previous calendar week [2] high/low in the previous calendar month,
